מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,זירת מסחר,ענף מסחר,נכס בסיס,תאריך פקיעה,בעל עניין/צד קשור,מטבע פעילות,שער מימוש,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 24,סוף מידע
1328,2196.0,CME Group Inc,529900H4DWG3KWMB5I12,LEI,S&P500 EMINI OPTN Nov25P,SCX5P 6100 INDEX,טיקר,מדד,"חו""ל",גלובלי,CME,Other,מניות לרבות מדדי מניות,2025-11-28,לא,USD,6100.0,-0.14,3.306,3275.0,-0.8,5.163805,-6.8e-05,,
1328,2196.0,WELLS FARGO & COMPANY,PBLD0EJDB5FWOLXP3B76,LEI,WFC US 10/17/25 C80 ,WFC US 10/17/25 C80 EQUITY,טיקר,מניה,"חו""ל",גלובלי,NYSE,Banks,מניות לרבות מדדי מניות,2025-10-17,לא,USD,80.0,-0.31,3.306,520.0,-0.537,3.468971,-4.6e-05,,
1328,2196.0,CME Group Inc,529900H4DWG3KWMB5I12,LEI,US 10yr Ultra Opt Dec25P,UXYZ5P 109.50 COMDTY,טיקר,מדד,"חו""ל",גלובלי,CME,Other,"ריבית ואג""ח",2025-11-21,לא,USD,109.5,-0.52,3.306,7.812,-0.134,0.86737,-1.1e-05,,
1328,2196.0,CME Group Inc,529900H4DWG3KWMB5I12,LEI,S&P500 EMINI OPTN Nov25P,SCX5P 6300 INDEX,טיקר,מדד,"חו""ל",גלובלי,CME,Other,מניות לרבות מדדי מניות,2025-11-28,לא,USD,6300.0,0.14,3.306,4975.0,1.215,-7.844254,0.000104,,
1328,2196.0,CME Group Inc,529900H4DWG3KWMB5I12,LEI,NASD100 Min EOM O NOV25P,QNAX5P 23500 INDEX,טיקר,מדד,"חו""ל",גלובלי,CME,Other,מניות לרבות מדדי מניות,2025-11-28,לא,USD,23500.0,-0.01,3.306,31800.0,-0.42,2.707815,-3.6e-05,,
1328,2196.0,CME Group Inc,529900H4DWG3KWMB5I12,LEI,NKY 10/10/25 C45000 ,NKY 10/10/25 C45000 INDEX,טיקר,מדד,"חו""ל",גלובלי,CME,Other,מניות לרבות מדדי מניות,2025-10-10,לא,JPY,45000.0,-0.01,0.022332,62500000.0,-0.228,1.470376,-1.9e-05,,
1328,2196.0,CME Group Inc,529900H4DWG3KWMB5I12,LEI,NKY 10/10/25 C43000 ,NKY 10/10/25 C43000 INDEX,טיקר,מדד,"חו""ל",גלובלי,CME,Other,מניות לרבות מדדי מניות,2025-10-10,לא,JPY,43000.0,0.01,0.022332,212000000.0,0.773,-4.987518,6.6e-05,,
1328,2196.0,CME Group Inc,529900H4DWG3KWMB5I12,LEI,S&P500 EMINI OPTN Oct25P,SCV5P 6300 INDEX,טיקר,מדד,"חו""ל",גלובלי,CME,Other,מניות לרבות מדדי מניות,2025-10-31,לא,USD,6300.0,0.29,3.306,2275.0,1.111,-7.173701,9.5e-05,,
1328,2196.0,CME Group Inc,529900H4DWG3KWMB5I12,LEI,NKY 10/10/25 C44000 ,NKY 10/10/25 C44000 INDEX,טיקר,מדד,"חו""ל",גלובלי,CME,Other,מניות לרבות מדדי מניות,2025-10-10,לא,JPY,44000.0,-0.01,0.022332,128500000.0,-0.468,3.023094,-4e-05,,
1328,2196.0,CME Group Inc,529900H4DWG3KWMB5I12,LEI,S&P500 EMINI OPTN Dec25P,ESZ5P 6200 INDEX,טיקר,מדד,"חו""ל",גלובלי,CME,Other,מניות לרבות מדדי מניות,2025-12-19,לא,USD,6200.0,0.08,3.306,6125.0,0.898,-5.794499,7.7e-05,,
