מספר קרן,מספר מסלול,מאפיין עיקרי,חודש הנפקת שכבה,חודש הבדיקה,"שווי הנכסים באפיק (באלפי ש""ח)",שיעור מסך נכסי ההשקעה,Unnamed: 7,סוף מידע
1328,2196.0,החזקה באפיק השקעה מובטח תשואה,,,79.908,0.006877,,
1328,2196.0,החזקה באפיק השקעה מובטח תשואה,,,150.652,0.012965,,
1328,2196.0,החזקה באפיק השקעה מובטח תשואה,,,82.855,0.00713,,
1328,2196.0,החזקה באפיק השקעה מובטח תשואה,,,25.218,0.00217,,
1328,2196.0,החזקה באפיק השקעה מובטח תשואה,,,64.242,0.005528,,
1328,9757.0,החזקה באפיק השקעה מובטח תשואה,,,22200.864,0.00116,,
1328,9757.0,החזקה באפיק השקעה מובטח תשואה,,,72941.662,0.003811,,
1328,9757.0,החזקה באפיק השקעה מובטח תשואה,,,56555.072,0.002955,,
1328,9757.0,החזקה באפיק השקעה מובטח תשואה,,,132626.349,0.00693,,
1328,9757.0,החזקה באפיק השקעה מובטח תשואה,,,70346.944,0.003676,,
1328,9758.0,החזקה באפיק השקעה מובטח תשואה,,,19043.613,0.00369,,
1328,9758.0,החזקה באפיק השקעה מובטח תשואה,,,35903.263,0.006957,,
1328,9758.0,החזקה באפיק השקעה מובטח תשואה,,,19746.029,0.003826,,
1328,9758.0,החזקה באפיק השקעה מובטח תשואה,,,15310.017,0.002966,,
1328,9758.0,החזקה באפיק השקעה מובטח תשואה,,,6009.993,0.001164,,
1328,9759.0,החזקה באפיק השקעה מובטח תשואה,,,2685.092,0.001181,,
1328,9759.0,החזקה באפיק השקעה מובטח תשואה,,,6840.074,0.003009,,
1328,9759.0,החזקה באפיק השקעה מובטח תשואה,,,8821.956,0.003881,,
1328,9759.0,החזקה באפיק השקעה מובטח תשואה,,,16040.542,0.007057,,
1328,9759.0,החזקה באפיק השקעה מובטח תשואה,,,8508.136,0.003743,,
1328,9760.0,החזקה באפיק השקעה מובטח תשואה,,,1085.484,0.003697,,
1328,9760.0,החזקה באפיק השקעה מובטח תשואה,,,1125.521,0.003833,,
1328,9760.0,החזקה באפיק השקעה מובטח תשואה,,,2046.482,0.00697,,
1328,9760.0,החזקה באפיק השקעה מובטח תשואה,,,342.569,0.001166,,
1328,9760.0,החזקה באפיק השקעה מובטח תשואה,,,872.669,0.002972,,
1328,12138.0,החזקה באפיק השקעה מובטח תשואה,,,18415.93,0.006463,,
1328,12138.0,החזקה באפיק השקעה מובטח תשואה,,,7229.229,0.002537,,
1328,12138.0,החזקה באפיק השקעה מובטח תשואה,,,23751.867,0.008336,,
1328,12138.0,החזקה באפיק השקעה מובטח תשואה,,,43186.888,0.015156,,
1328,12138.0,החזקה באפיק השקעה מובטח תשואה,,,22906.954,0.008039,,
1328,12419.0,החזקה באפיק השקעה מובטח תשואה,,,15165.603,0.003694,,
1328,12419.0,החזקה באפיק השקעה מובטח תשואה,,,28591.982,0.006965,,
1328,12419.0,החזקה באפיק השקעה מובטח תשואה,,,15724.98,0.00383,,
1328,12419.0,החזקה באפיק השקעה מובטח תשואה,,,4786.128,0.001166,,
1328,12419.0,החזקה באפיק השקעה מובטח תשואה,,,12192.31,0.00297,,
1328,13819.0,החזקה באפיק השקעה מובטח תשואה,,,1504.876,0.001174,,
1328,13819.0,החזקה באפיק השקעה מובטח תשואה,,,3833.56,0.00299,,
1328,13819.0,החזקה באפיק השקעה מובטח תשואה,,,4944.318,0.003857,,
1328,13819.0,החזקה באפיק השקעה מובטח תשואה,,,8990.017,0.007013,,
1328,13819.0,החזקה באפיק השקעה מובטח תשואה,,,4768.436,0.00372,,
1328,14302.0,החזקה באפיק השקעה מובטח תשואה,,,72.845,0.00366,,
1328,14302.0,החזקה באפיק השקעה מובטח תשואה,,,137.336,0.006901,,
1328,14302.0,החזקה באפיק השקעה מובטח תשואה,,,75.532,0.003795,,
1328,14302.0,החזקה באפיק השקעה מובטח תשואה,,,58.563,0.002942,,
1328,14302.0,החזקה באפיק השקעה מובטח תשואה,,,22.989,0.001155,,
1328,14303.0,החזקה באפיק השקעה מובטח תשואה,,,64.438,0.001168,,
1328,14303.0,החזקה באפיק השקעה מובטח תשואה,,,164.151,0.002975,,
1328,14303.0,החזקה באפיק השקעה מובטח תשואה,,,211.713,0.003838,,
1328,14303.0,החזקה באפיק השקעה מובטח תשואה,,,384.947,0.006978,,
