מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מספר מזהה לווה,סוג מספר מזהה לווה,שם הלוואה,מספר הלוואה,מאפיין עיקרי,מאפיין הלוואות מתואמות עבור זכויות מקרקעין,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,ענף מסחר,בעל עניין/צד קשור,קונסורציום/ סינדיקציה,מספר קונסורציום/ סינדיקציה,תאריך העמדת הלוואה,דירוג,שם מדרג,דירוג הלוואה/המנפיק,מטבע פעילות,"מח""מ",סוג הריבית,שיעור ריבית,סוג הצמדה,ריבית עוגן,שיעור תוספת/הפחתה לריבית העוגן,תשואה לפדיון,מועד פדיון,נחיתות חוזית,סוג בטוחה,שווי הבטוחות העומדות כנגד ההלוואה,שיעור הבטוחות מהחוב,מועד עדכון אחרון לשווי הבטוחות,זכות חזרה,מבנה לוח סילוקין,יעוד הלוואה,זכות פירעון מוקדם,סוג גורם משערך,שם גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,תאריך אחרון בו נבחנה בפועל ירידת ערך,שיעור ריבית בגין אי-ניצול מסגרת האשראי,ערך נקוב,שער הלוואה,שער חליפין,"שווי הוגן (באלפי ש""ח)",שווי הוגן (במטבע הפעילות),"עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),האם סווג כחוב בעייתי,השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 53,סוף מידע
1328,9757.0,,,,28999180.0,תאגיד,,ישראל,,תשתיות,לא,כן,,2022-02-18,A1,מידרוג Moodys,הלוואה,ILS,6.05,קבועה,0.029621,,,,0.0306,2038-09-30,החוב לא נחות,,,,,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,,,1617944.28,107.83,1.0,1744.629,1744.62931,,,,שווי הוגן,0.006835,9.1e-05,,
1328,9757.0,,,,28999240.0,תאגיד,,ישראל,,תשתיות,לא,כן,,2023-11-30,A1,מידרוג Moodys,הלוואה,ILS,5.93,קבועה,0.038269,,,,0.0303,2038-09-30,החוב לא נחות,,,,,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,,,597970.34,111.43,1.0,666.318,666.31834,,,,שווי הוגן,0.00261,3.4e-05,,
1328,9757.0,,,,28999257.0,תאגיד,תשתיות - שלב הקמה,ישראל,,תשתיות,לא,כן,,2024-05-15,A2,מידרוג Moodys,הלוואה,ILS,0.58,משתנה,0.0675,,,,0.021,2027-10-26,החוב לא נחות,,,,,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,,,1933261.05,100.4,1.0,1940.994,1940.99409,,,,שווי הוגן,0.007605,0.000101,,
1328,9757.0,,,,28999284.0,תאגיד,,ישראל,,תשתיות,לא,כן,,2024-10-29,A1,מידרוג Moodys,הלוואה,ILS,5.7,קבועה,0.045688,,,,0.0428,2038-09-30,החוב לא נחות,,,,,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,,,1101443.22,105.12,1.0,1157.837,1157.83711,,,,שווי הוגן,0.004536,6e-05,,
1328,9757.0,,,,28999256.0,תאגיד,,ישראל,,תשתיות,לא,כן,,2024-04-17,A1,מידרוג Moodys,הלוואה,ILS,5.97,קבועה,0.037073,,,,0.0304,2038-09-30,החוב לא נחות,,,,,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,,,370917.14,108.33,1.0,401.815,401.81453,,,,שווי הוגן,0.001574,2e-05,,
1328,9757.0,,,,29992952.0,תאגיד,,ישראל,,רשויות מקומיות,לא,כן,,2018-01-16,AA+,S&P מעלות,הלוואה,ILS,2.05,קבועה,0.0282,,,,0.0489,2030-02-01,החוב לא נחות,,,,,,,,לא,חברת ציטוט,,אי-תלות,2025-09-30,,,260768.32,96.55,1.0,251.772,251.77181,,,,שווי הוגן,0.000986,1.3e-05,,
1328,9757.0,,,,28999225.0,תאגיד,,ישראל,,תשתיות,לא,כן,,2023-07-20,A1,מידרוג Moodys,הלוואה,ILS,5.99,קבועה,0.035939,,,,0.0305,2038-09-30,החוב לא נחות,,,,,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,,,343404.97,108.56,1.0,372.8,372.80043,,,,שווי הוגן,0.00146,1.9e-05,,
1328,9757.0,,,,28999229.0,תאגיד,תשתיות - שלב הקמה,ישראל,,תשתיות,לא,כן,,2023-08-31,A2,מידרוג Moodys,הלוואה,ILS,0.58,משתנה,0.0675,,,,0.0147,2027-10-26,החוב לא נחות,,,,,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,,,1358255.78,100.76,1.0,1368.579,1368.57852,,,,שווי הוגן,0.005362,7.1e-05,,
1328,9757.0,,,,28999255.0,תאגיד,תשתיות - שלב הקמה,ישראל,,ביטחוניות,לא,כן,,2024-03-26,A1,מידרוג Moodys,הלוואה,EUR,0.97,משתנה,0.0412,,,,0.0428,2026-09-25,החוב לא נחות,,,,,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,,,9592274.87,100.04,3.8807,37239.631,9596.11177,,,,שווי הוגן,0.145913,0.001946,,
1328,9757.0,,,,28999181.0,תאגיד,,ישראל,,תשתיות,לא,כן,,2022-10-03,A1,מידרוג Moodys,הלוואה,ILS,9.15,קבועה,0.03964,,,,0.039,2045-12-31,החוב לא נחות,,,,,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,,,2021570.7,104.93,1.0,2121.234,2121.23413,,,,שווי הוגן,0.008311,0.00011,,
