מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,ענף מסחר,בעל עניין/צד קשור,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,תאריך אחרון בו נבחנה בפועל ירידת ערך,שיעור אחזקה באמצעי שליטה,"שווי מאזני (באלפי ש""ח)","שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 23,סוף מידע
1328,9757.0,,,,,,,,,,,,,,,,,,,,,,,
1329,9761.0,,,,,,,,,,,,,,,,,,,,,,,
1328,9758.0,,,,,,,,,,,,,,,,,,,,,,,
1328,9759.0,,,,,,,,,,,,,,,,,,,,,,,
1328,2196.0,,,,,,,,,,,,,,,,,,,,,,,
1328,9760.0,,,,,,,,,,,,,,,,,,,,,,,
1329,9762.0,,,,,,,,,,,,,,,,,,,,,,,
1329,9763.0,,,,,,,,,,,,,,,,,,,,,,,
1329,8580.0,,,,,,,,,,,,,,,,,,,,,,,
1328,12138.0,,,,,,,,,,,,,,,,,,,,,,,
1329,12139.0,,,,,,,,,,,,,,,,,,,,,,,
1328,12419.0,,,,,,,,,,,,,,,,,,,,,,,
1329,13212.0,,,,,,,,,,,,,,,,,,,,,,,
1329,13211.0,,,,,,,,,,,,,,,,,,,,,,,
1328,13819.0,,,,,,,,,,,,,,,,,,,,,,,
1329,13820.0,,,,,,,,,,,,,,,,,,,,,,,
1329,14304.0,,,,,,,,,,,,,,,,,,,,,,,
1329,14305.0,,,,,,,,,,,,,,,,,,,,,,,
1328,14302.0,,,,,,,,,,,,,,,,,,,,,,,
1328,14303.0,,,,,,,,,,,,,,,,,,,,,,,
1329,14854.0,,,,,,,,,,,,,,,,,,,,,,,
1328,14850.0,,,,,,,,,,,,,,,,,,,,,,,
1328,15314.0,,,,,,,,,,,,,,,,,,,,,,,
1329,15313.0,,,,,,,,,,,,,,,,,,,,,,,
סוף מידע,,,,,,,,,,,,,,,,,,,,,,,,
