מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם הנכס,מאפיין עיקרי,"מדינת מיקום נדל""ן",בעל עניין/צד קשור,תאריך רכישה,שימוש עיקרי בנכס,מחזור חיי הנכס,כתובת הנכס,שיעור תשואה בפועל במהלך הרבעון,השיטה שבאמצעותה נקבע שווי הנכס,סוג גורם משערך,שם גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,מטבע פעילות,שווי הוגן (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 24,סוף מידע
1328,9757.0,ריאליטי קרקע חקלאית גמל - נס ציונה 1 גוש 3755,"נדל""ן לא מניב",ישראל,לא,2020-01-20,קרקע/זכויות מקרקעין,בשימוש,ישראל נס ציונה גוש 3755,-0.01436,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,459.93662,459.937,,,שווי הוגן,0.055758,2.4e-05,,
1328,9757.0,ריאליטי קרקע חקלאית גמל  - ראשלצ גוש 3630,"נדל""ן לא מניב",ישראל,לא,2020-08-02,קרקע/זכויות מקרקעין,בשימוש,ישראל ראשון לציון גוש 3630,-0.00703,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,1112.21323,1112.213,,,שווי הוגן,0.134834,5.8e-05,,
1328,9757.0,Ludwigshafen Real Estate,"נדל""ן מניב",גרמניה,לא,2014-06-09,משרדים,בשימוש,"Germany Ludwigshafen am Rhein Rheinallee 11, 67061",0.01651,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,EUR,310.83732,1206.266,,,שווי הוגן,0.146236,6.3e-05,,
1328,9757.0,ריאליטי קרקע חקלאית גמל - נס ציונה 2 גוש 3768,"נדל""ן לא מניב",ישראל,לא,2020-01-28,קרקע/זכויות מקרקעין,אחר,ישראל נס ציונה גוש 3768,-0.00827,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,1680.40549,1680.405,,,שווי הוגן,0.203716,8.7e-05,,
1328,9757.0,ריאליטי קרקע חקלאית גמל -  בנימניה גוש 10165,"נדל""ן לא מניב",ישראל,לא,2022-02-02,קרקע/זכויות מקרקעין,בשימוש, ישראל בנימניה גוש 10165,-0.00082,,מומחה בלתי תלוי,,אי-תלות,2024-12-05,ILS,820.88361,820.884,,,שווי הוגן,0.099516,4.2e-05,,
1328,9757.0,נדלן בזק – גמל,"נדל""ן מניב",ישראל,לא,2014-06-02,משרדים,בשימוש, ישראל חיפה דרך בר גיורא 31,0.02113,,מומחה בלתי תלוי,,אי-תלות,2025-04-29,ILS,1169.30699,1169.307,,,שווי הוגן,0.141755,6.1e-05,,
1328,9757.0,Lander -Dortmund,"נדל""ן מניב",גרמניה,לא,2013-07-29,משרדים,בשימוש,"Germany Dortmund Kammerstuck 15, 44357",-0.00495,,מומחה בלתי תלוי,,אי-תלות,2024-12-12,EUR,19.8431,77.005,,,שווי הוגן,0.009335,4e-06,,
1328,9757.0,ריאליטי קרקע חקלאית גמל -  פת 2 גוש 6391,"נדל""ן לא מניב",ישראל,לא,2022-08-08,קרקע/זכויות מקרקעין,אחר,ישראל  פתח תקווה גוש 6391,-0.0011,,מומחה בלתי תלוי,,אי-תלות,2025-08-05,ILS,577.26182,577.262,,,שווי הוגן,0.069981,3e-05,,
1328,9757.0,"ריאליטי קרקע חקלאית גמל- נס ציונה 3, גוש 3754","נדל""ן לא מניב",ישראל,לא,2020-06-17,קרקע/זכויות מקרקעין,בשימוש,ישראל  נס ציונה גוש 3754,-0.00696,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,1145.45652,1145.457,,,שווי הוגן,0.138864,5.9e-05,,
1328,9758.0,"ריאליטי קרקע חקלאית גמל- נס ציונה 3, גוש 3754","נדל""ן לא מניב",ישראל,לא,2020-06-17,קרקע/זכויות מקרקעין,בשימוש,ישראל  נס ציונה גוש 3754,-0.00696,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,78.24928,78.249,,,שווי הוגן,0.197622,1.5e-05,,
