מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,זירת מסחר,נכס בסיס,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 20,סוף מידע
1328,2196.0,CME Group Inc,529900H4DWG3KWMB5I12,LEI,US ULTRA BOND CBT Dec25,WNZ5 COMDTY,טיקר,"חו""ל",גלובלי,CME,"ריבית ואג""ח",לא,USD,0.4,3.306,12006.25,-0.268,-0.022036,-2.3e-05,,
1328,2196.0,CME Group Inc,529900H4DWG3KWMB5I12,LEI,NASDAQ 100 E-MINI Dec25,NQZ5 INDEX,טיקר,"חו""ל",גלובלי,CME,מניות לרבות מדדי מניות,לא,USD,0.3,3.306,2490175.0,8.597,0.707713,0.0007390000000000001,,
1328,2196.0,CME Group Inc,529900H4DWG3KWMB5I12,LEI,US 10yr Ultra Fut Dec25,UXYZ5 COMDTY,טיקר,"חו""ל",גלובלי,CME,"ריבית ואג""ח",לא,USD,0.68,3.306,11507.812,2.539,0.209045,0.000218,,
1328,2196.0,OSE-OSAKA EXCHANGE,353800W7TUC6U3Q1GT19,LEI,TOPIX INDX FUTR Dec25,TPZ5 INDEX,טיקר,"חו""ל",גלובלי,JPX,מניות לרבות מדדי מניות,לא,JPY,0.04,0.022332,314100.0,0.206,0.016946,1.7e-05,,
1328,2196.0,CME Group Inc,529900H4DWG3KWMB5I12,LEI,S&P500 EMINI FUT DEC25,ESZ5 INDEX,טיקר,"חו""ל",גלובלי,CME,מניות לרבות מדדי מניות,לא,USD,0.0,3.306,673875.0,0.01,0.000849,0.0,,
1328,2196.0,OSE-OSAKA EXCHANGE,353800W7TUC6U3Q1GT19,LEI,NIKKEI 225 (OSE) DEC25,NKZ5 INDEX,טיקר,"חו""ל",גלובלי,JPX,מניות לרבות מדדי מניות,לא,JPY,0.03,0.022332,4499000.0,1.063,0.08748,9.1e-05,,
1328,9757.0,CME Group Inc,529900H4DWG3KWMB5I12,LEI,S&P500 EMINI FUT DEC25,ESZ5 INDEX,טיקר,"חו""ל",גלובלי,CME,מניות לרבות מדדי מניות,לא,USD,6.21,3.306,673875.0,69.485,0.001003,3e-06,,
1328,9757.0,CME Group Inc,529900H4DWG3KWMB5I12,LEI,NASDAQ 100 E-MINI Dec25,NQZ5 INDEX,טיקר,"חו""ל",גלובלי,CME,מניות לרבות מדדי מניות,לא,USD,2131.1,3.306,2490175.0,57832.572,0.8356870000000001,0.0030210000000000002,,
1328,9757.0,OSE-OSAKA EXCHANGE,353800W7TUC6U3Q1GT19,LEI,TOPIX INDX FUTR Dec25,TPZ5 INDEX,טיקר,"חו""ל",גלובלי,JPX,מניות לרבות מדדי מניות,לא,JPY,298.26,0.022332,314100.0,1384.811,0.02001,7.2e-05,,
1328,9757.0,OSE-OSAKA EXCHANGE,353800W7TUC6U3Q1GT19,LEI,NIKKEI 225 (OSE) DEC25,NKZ5 INDEX,טיקר,"חו""ל",גלובלי,JPX,מניות לרבות מדדי מניות,לא,JPY,220.7,0.022332,4499000.0,7148.724,0.103299,0.000373,,
1328,9757.0,CME Group Inc,529900H4DWG3KWMB5I12,LEI,US 10yr Ultra Fut Dec25,UXYZ5 COMDTY,טיקר,"חו""ל",גלובלי,CME,"ריבית ואג""ח",לא,USD,837.55,3.306,11507.812,3094.12,0.04471,0.000161,,
1328,9757.0,CME Group Inc,529900H4DWG3KWMB5I12,LEI,US ULTRA BOND CBT Dec25,WNZ5 COMDTY,טיקר,"חו""ל",גלובלי,CME,"ריבית ואג""ח",לא,USD,496.86,3.306,12006.25,-326.167,-0.004713,-1.7e-05,,
1328,9758.0,CME Group Inc,529900H4DWG3KWMB5I12,LEI,US ULTRA BOND CBT Dec25,WNZ5 COMDTY,טיקר,"חו""ל",גלובלי,CME,"ריבית ואג""ח",לא,USD,246.17,3.306,12006.25,-161.6,-0.008829,-3.1e-05,,
1328,9758.0,CME Group Inc,529900H4DWG3KWMB5I12,LEI,NASDAQ 100 E-MINI Dec25,NQZ5 INDEX,טיקר,"חו""ל",גלובלי,CME,מניות לרבות מדדי מניות,לא,USD,543.08,3.306,2490175.0,14738.024000000001,0.805276,0.002855,,
1328,9758.0,CME Group Inc,529900H4DWG3KWMB5I12,LEI,US 10yr Ultra Fut Dec25,UXYZ5 COMDTY,טיקר,"חו""ל",גלובלי,CME,"ריבית ואג""ח",לא,USD,414.96,3.306,11507.812,1532.984,0.083761,0.000297,,
1328,9758.0,OSE-OSAKA EXCHANGE,353800W7TUC6U3Q1GT19,LEI,TOPIX INDX FUTR Dec25,TPZ5 INDEX,טיקר,"חו""ל",גלובלי,JPX,מניות לרבות מדדי מניות,לא,JPY,76.01,0.022332,314100.0,352.905,0.019282,6.8e-05,,
1328,9758.0,CME Group Inc,529900H4DWG3KWMB5I12,LEI,S&P500 EMINI FUT DEC25,ESZ5 INDEX,טיקר,"חו""ל",גלובלי,CME,מניות לרבות מדדי מניות,לא,USD,1.58,3.306,673875.0,17.708,0.000966,3e-06,,
1328,9758.0,OSE-OSAKA EXCHANGE,353800W7TUC6U3Q1GT19,LEI,NIKKEI 225 (OSE) DEC25,NKZ5 INDEX,טיקר,"חו""ל",גלובלי,JPX,מניות לרבות מדדי מניות,לא,JPY,56.24,0.022332,4499000.0,1821.777,0.09954,0.000353,,
1328,9759.0,CME Group Inc,529900H4DWG3KWMB5I12,LEI,S&P500 EMINI FUT DEC25,ESZ5 INDEX,טיקר,"חו""ל",גלובלי,CME,מניות לרבות מדדי מניות,לא,USD,0.33999999999999997,3.306,673875.0,3.862,0.000797,1e-06,,
1328,9759.0,CME Group Inc,529900H4DWG3KWMB5I12,LEI,NASDAQ 100 E-MINI Dec25,NQZ5 INDEX,טיקר,"חו""ל",גלובלי,CME,מניות לרבות מדדי מניות,לא,USD,118.44,3.306,2490175.0,3214.518,0.664184,0.001414,,
1328,9759.0,OSE-OSAKA EXCHANGE,353800W7TUC6U3Q1GT19,LEI,NIKKEI 225 (OSE) DEC25,NKZ5 INDEX,טיקר,"חו""ל",גלובלי,JPX,מניות לרבות מדדי מניות,לא,JPY,12.26,0.022332,4499000.0,397.349,0.0821,0.000174,,
1328,9759.0,OSE-OSAKA EXCHANGE,353800W7TUC6U3Q1GT19,LEI,TOPIX INDX FUTR Dec25,TPZ5 INDEX,טיקר,"חו""ל",גלובלי,JPX,מניות לרבות מדדי מניות,לא,JPY,16.57,0.022332,314100.0,76.972,0.015904,3.3e-05,,
1328,9759.0,CME Group Inc,529900H4DWG3KWMB5I12,LEI,US 10yr Ultra Fut Dec25,UXYZ5 COMDTY,טיקר,"חו""ל",גלובלי,CME,"ריבית ואג""ח",לא,USD,347.09,3.306,11507.812,1282.262,0.264941,0.000564,,
1328,9759.0,CME Group Inc,529900H4DWG3KWMB5I12,LEI,US ULTRA BOND CBT Dec25,WNZ5 COMDTY,טיקר,"חו""ל",גלובלי,CME,"ריבית ואג""ח",לא,USD,205.9,3.306,12006.25,-135.17,-0.027928,-5.9e-05,,
1328,9760.0,CME Group Inc,529900H4DWG3KWMB5I12,LEI,US ULTRA BOND CBT Dec25,WNZ5 COMDTY,טיקר,"חו""ל",גלובלי,CME,"ריבית ואג""ח",לא,USD,13.05,3.306,12006.25,-8.573,-0.008311,-2.9e-05,,
1328,9760.0,CME Group Inc,529900H4DWG3KWMB5I12,LEI,NASDAQ 100 E-MINI Dec25,NQZ5 INDEX,טיקר,"חו""ל",גלובלי,CME,מניות לרבות מדדי מניות,לא,USD,30.740000000000002,3.306,2490175.0,834.534,0.809103,0.002842,,
1328,9760.0,OSE-OSAKA EXCHANGE,353800W7TUC6U3Q1GT19,LEI,TOPIX INDX FUTR Dec25,TPZ5 INDEX,טיקר,"חו""ל",גלובלי,JPX,מניות לרבות מדדי מניות,לא,JPY,4.3,0.022332,314100.0,19.983,0.019374,6.8e-05,,
1328,9760.0,CME Group Inc,529900H4DWG3KWMB5I12,LEI,S&P500 EMINI FUT DEC25,ESZ5 INDEX,טיקר,"חו""ל",גלובלי,CME,מניות לרבות מדדי מניות,לא,USD,0.08,3.306,673875.0,1.002,0.0009710000000000001,3e-06,,
1328,9760.0,CME Group Inc,529900H4DWG3KWMB5I12,LEI,US 10yr Ultra Fut Dec25,UXYZ5 COMDTY,טיקר,"חו""ל",גלובלי,CME,"ריבית ואג""ח",לא,USD,22.01,3.306,11507.812,81.324,0.078846,0.000277,,
1328,9760.0,OSE-OSAKA EXCHANGE,353800W7TUC6U3Q1GT19,LEI,NIKKEI 225 (OSE) DEC25,NKZ5 INDEX,טיקר,"חו""ל",גלובלי,JPX,מניות לרבות מדדי מניות,לא,JPY,3.18,0.022332,4499000.0,103.157,0.100014,0.000351,,
1328,12138.0,CME Group Inc,529900H4DWG3KWMB5I12,LEI,NASDAQ 100 E-MINI Dec25,NQZ5 INDEX,טיקר,"חו""ל",גלובלי,CME,מניות לרבות מדדי מניות,לא,USD,89.17,3.306,2490175.0,2419.935,0.713525,0.000849,,
1328,12138.0,CME Group Inc,529900H4DWG3KWMB5I12,LEI,S&P500 EMINI FUT DEC25,ESZ5 INDEX,טיקר,"חו""ל",גלובלי,CME,מניות לרבות מדדי מניות,לא,USD,0.25,3.306,673875.0,2.9080000000000004,0.000856,0.0,,
1328,12138.0,OSE-OSAKA EXCHANGE,353800W7TUC6U3Q1GT19,LEI,NIKKEI 225 (OSE) DEC25,NKZ5 INDEX,טיקר,"חו""ל",גלובלי,JPX,מניות לרבות מדדי מניות,לא,JPY,9.23,0.022332,4499000.0,299.13,0.088199,0.000104,,
1328,12138.0,CME Group Inc,529900H4DWG3KWMB5I12,LEI,US 10yr Ultra Fut Dec25,UXYZ5 COMDTY,טיקר,"חו""ל",גלובלי,CME,"ריבית ואג""ח",לא,USD,185.06,3.306,11507.812,683.67,0.201582,0.000239,,
