מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מאפיין עיקרי,שם שותף כללי קרן השקעות,מספר מזהה שותף כללי קרן השקעות,סוג מספר מזהה שותף כללי קרן השקעות,שם קרן השקעה,מספר מזהה קרן השקעה,סוג מספר מזהה קרן השקעות,מטבע פעילות,תאריך העמדת התחייבות לקרן השקעה,סכום המחויבות הראשוני (במטבע הדיווח של קרן ההשקעה),"סכום המחויבות הראשוני (באלפי ש""ח)",יתרת המחויבות לתקופת הדיווח (במטבע הדיווח של קרן ההשקעה),"יתרת המחויבות לתקופת הדיווח (באלפי ש""ח)",שיעור יתרת המחויבות,תאריך פקיעת מחויבות להשקעה,Unnamed: 17,סוף מידע
1328,9757.0,התחייבות להשקעה,Reality Debt General Partner Ltd,,ח.פ.,ריאליטי מימון,28999108.0,פנימי,ILS,2022-03-31,36792.0,36792.0,9197.99999,9197.99999,0.00249999999728201,2032-12-27 00:00:00,,
1328,9757.0,התחייבות להשקעה,"Stage One Capital (GP) IV, L.P",,"מספר תאגיד או שותפות בחו""ל",Stage One Annex (Opportunity),28999148.0,פנימי,USD,2021-09-30,2907.493,9388.294897,2758.14135,9118.4153031,0.00948632154918343,2033-09-30 00:00:00,,
1328,9757.0,התחייבות להשקעה,"Fortissimo Capital Fund VI GP, LP",,מספר שותפות,FORTISSIMO 6,28999153.0,פנימי,USD,2023-10-24,7705.33333,31306.76931979,4353.51333,14392.71506898,0.00564999999811818,2034-10-24 00:00:00,,
1328,9757.0,התחייבות להשקעה,"קוגיטו קפיטל פאנד 2 שותף כללי בע""מ",,ח.פ.,COGITO2,28999102.0,פנימי,ILS,2022-02-06,36790.2,36790.2,23357.28875,23357.28875,0.00634878004196769,2032-09-22 00:00:00,,
1328,9757.0,התחייבות להשקעה,"Thoma Bravo Explore Partners II[-P]9, L.P.",,"מספר תאגיד או שותפות בחו""ל",Thoma Bravo Explore 2,28999124.0,פנימי,USD,2022-05-18,4922.0,16508.388,3396.18,11227.77108,0.0069,2035-06-30 00:00:00,,
1328,9757.0,התחייבות להשקעה,CVC CREDIT PARTNERS EUROPEAN DIRECT LENDING FEEDER FUND IV (E) SCSp,,"מספר תאגיד או שותפות בחו""ל",CVC 4,28999298.0,פנימי,EUR,2025-06-23,8007.49038,32230.949528538,6005.61767,23306.000491969,0.00749999985638446,2033-10-13 00:00:00,,
1328,9757.0,התחייבות להשקעה,ICG North American Private Debt (Offshore) GP LP,,"מספר תאגיד או שותפות בחו""ל",ICG NA,29992232.0,פנימי,USD,2014-08-07,259.0,893.55,47.15174,155.88365244,0.0018205305019305,2026-05-14 00:00:00,,
1328,9757.0,התחייבות להשקעה,Pontifax V GP L.P.,,מספר שותפות,Pontifax 5,29992982.0,פנימי,USD,2018-02-14,1325.83247,4684.16611651,92.80828,306.82417368,0.00070000005355126,2031-02-15 00:00:00,,
1328,9757.0,התחייבות להשקעה,Glendower Capital SOF IV (GP) Limited,,"מספר תאגיד או שותפות בחו""ל",Glendower SOF 4,29993274.0,פנימי,USD,2018-12-13,5256.00236,19725.77685708,1218.31443,4027.74750558,0.00231794878798342,2031-07-30 00:00:00,,
1328,9757.0,התחייבות להשקעה,Glilot Investment III L.P.,,"מספר תאגיד או שותפות בחו""ל",Glilot 3,29993297.0,פנימי,USD,2018-03-29,1053.88573,3703.35445522,37.676429999,124.558277576694,0.000357500143767958,2032-03-29 00:00:00,,
1328,9757.0,התחייבות להשקעה,"KPS INVESTORS VI, LP",,"מספר תאגיד או שותפות בחו""ל",KPS 6,28999281.0,פנימי,USD,2024-09-30,2661.20608,9857.10732032,2336.25509,7723.65932754,0.00877893338497107,2037-09-27 00:00:00,,
1328,9757.0,התחייבות להשקעה,Kedma Capital III G.P.L.P Limited Partnership,,מספר שותפות,Kedma 3,29993397.0,פנימי,USD,2019-02-13,3491.0016,12696.7728192,1111.51952,3674.68353312,0.00318395591683487,2029-03-01 00:00:00,,
1328,9757.0,התחייבות להשקעה,"OEP IX General Partner, L.P.",,"מספר תאגיד או שותפות בחו""ל",ONE EQUITY IX,28999297.0,פנימי,USD,2024-08-02,6854.58169,26046.724963831,4806.27887,15889.55794422,0.00701177560843979,2038-06-30 00:00:00,,
1328,9757.0,התחייבות להשקעה,Meridia Real Estate IV GP,,"מספר תאגיד או שותפות בחו""ל",Meridia 4,29993417.0,פנימי,EUR,2019-05-07,2584.07423,10374.799626027,415.18601,1611.212349007,0.00160671084901458,2028-05-13 00:00:00,,
