מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,נכס בסיס (כתב אופציה),ענף מסחר,תאריך פקיעה,בעל עניין/צד קשור,מטבע פעילות,שער מימוש,יחס המרה,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 25,סוף מידע
1328,2196.0,"נאוויטס פטרוליום, שותפות מוגבלת",550263107,ח.פ.,נאוויטס פט אפ 6,IL0012288242,ISIN,ישראל,ישראל,סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,לא,ILS,11641.04,1.0,2.06,1.0,1609.0,0.033,0.093311,2e-06,,
1328,2196.0,"קיסטון אינפרא בע""מ",515983476,ח.פ.,קיסטון אינ אפ 2,IL0012039918,ISIN,ישראל,ישראל,סחיר,TASE,IL0011759342,השקעה ואחזקות,2026-02-11,לא,ILS,5.9858,1.0,30.9,1.0,403.0,0.125,0.349786,1e-05,,
1328,2196.0,"מפעלים פטרוכימיים בישראל בע""מ",520029315,ח.פ.,פטרוכימים  אפ 1,IL0011903056,ISIN,ישראל,ישראל,סחיר,TASE,IL0007560159,אנרגיה,2026-10-25,לא,ILS,0.375,1.0,6.82,1.0,134.3,0.009,0.025741,0.0,,
1328,2196.0,"אלוני-חץ נכסים והשקעות בע""מ",520038506,ח.פ.,אלוני חץ אפ 16,IL0012084047,ISIN,ישראל,ישראל,סחיר,TASE,IL0003900136,"נדל""ן מניב בישראל",2025-12-31,לא,ILS,120.0,1.0,5.89,1.0,944.9,0.056,0.156367,4e-06,,
1328,2196.0,SEMANTIX INC-CL A,70523,פנימי,Semantix Inc,KYG6332A1141,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,STIXF US Equity,Software,2027-08-04,לא,USD,11.5,1.0,6.93,3.306,0.0001,0.0,0.0,0.0,,
1328,2196.0,Plum Acquisition Corp I,13801,פנימי,Veea Inc,US6934891143,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US6934891226,Diversified Telecommunication Services,2029-09-17,לא,USD,11.5,1.0,1.75,3.306,7.0,0.0,0.001142,0.0,,
1328,2196.0,CLASSOVER HOLDINGS INC-CL B,96899,פנימי,Classover Holdings Inc,US1827441106,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US1827441023,Interactive Media & Services,2030-04-07,לא,USD,11.5,1.0,8.8,3.306,8.02,0.002,0.006556,0.0,,
1328,2196.0,Investcorp Europe Acquisition,14180,פנימי,Investcorp Europe Acquisition,KYG4923T1132,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,KYG4923T1058,Financial Services,2028-11-23,לא,USD,11.5,1.0,5.17,3.306,1.0,0.0,0.00048,0.0,,
1328,2196.0,Ginkgo Bioworks Holdings Inc,254900B6L3GN956CY454,LEI,Ginkgo Bioworks Holdings Inc,US37611X1182,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,US37611X2099,Biotechnology,2026-09-16,לא,USD,11.5,1.0,10.28,3.306,0.73,0.0,0.000696,0.0,,
1328,2196.0,SLAM CORP-A,13860,פנימי,Slam Corp,KYG8210L1216,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,KYG8210L1059,Financial Services,2026-02-23,לא,USD,11.5,1.0,2.55,3.306,0.5,0.0,0.000118,0.0,,
