מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,ענף מסחר,נכס בסיס,תאריך פקיעה,בעל עניין/צד קשור,תאריך רכישה,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,שער מימוש,יחס המרה,ערך נקוב (יחידות),שער נייר הערך,שער חליפין,"שווי הוגן (בש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 28,סוף מידע
1328,2196.0,Goldman Sachs Group Inc,11778.0,פנימי,אופציה לס אירו שקל GS P3.9 03/10/25,750000011.0,פנימי,"מט""ח","חו""ל",אירופה,Financial Services,"מט""ח",2025-10-03,לא,2025-04-03,EUR,גורם תלוי/פנימי,קיימת תלות,2025-09-30,3.9,1.0,4539.05,0.6786,3.8807,0.12,-0.078077,1e-05,,
1328,2196.0,Goldman Sachs Group Inc,11778.0,פנימי,אופציה לס אירו שקל GS P3.7 03/10/25,750000012.0,פנימי,"מט""ח","חו""ל",אירופה,Financial Services,"מט""ח",2025-10-03,לא,2025-04-03,EUR,גורם תלוי/פנימי,קיימת תלות,2025-09-30,3.7,1.0,-4539.05,0.0001,3.8807,0.0,2e-06,0.0,,
1328,2196.0,"בנק דיסקונט לישראל בע""מ",520007030.0,ח.פ.,אופציה לס דולר שקל DISCOUNT P3.65 08/10/25 SELL,750000045.0,פנימי,"מט""ח",ישראל,"ארה""ב",שירותים פיננסיים,"מט""ח",2025-10-08,לא,2025-05-21,USD,גורם תלוי/פנימי,קיימת תלות,2025-09-30,3.65,1.0,-10878.48,10.391,3.306,-3.737,2.440987,-0.000321,,
1328,2196.0,"בנק הפועלים בע""מ",520000118.0,ח.פ.,אופציה לס דולר שקל POALIM P3.5 06/10/25 BUY,750000057.0,פנימי,"מט""ח",ישראל,"ארה""ב",שירותים פיננסיים,"מט""ח",2025-10-06,לא,2025-06-04,USD,גורם תלוי/פנימי,קיימת תלות,2025-09-30,3.5,1.0,5439.27,5.8625,3.306,1.054,-0.688558,9e-05,,
1328,2196.0,Goldman Sachs Group Inc,11778.0,פנימי,אופציה לס אירו שקל GS C4.2 03/10/25,750000010.0,פנימי,"מט""ח","חו""ל",אירופה,Financial Services,"מט""ח",2025-10-03,לא,2025-04-03,EUR,גורם תלוי/פנימי,קיימת תלות,2025-09-30,4.2,1.0,-1815.62,0.0001,3.8807,0.0,4e-06,0.0,,
1328,2196.0,"בנק לאומי לישראל בע""מ",520018078.0,ח.פ.,אופציה לס דולר שקל LEUMI P3.6 13/10/25 S,750000027.0,פנימי,"מט""ח",ישראל,"ארה""ב",שירותים פיננסיים,"מט""ח",2025-10-13,לא,2025-04-09,USD,גורם תלוי/פנימי,קיימת תלות,2025-09-30,3.6,1.0,-5439.06,8.8731,3.306,-1.596,1.042109,-0.000137,,
1328,2196.0,"בנק הפועלים בע""מ",520000118.0,ח.פ.,אופציה לס דולר שקל POALIM P3.6 06/10/25 SELL,750000056.0,פנימי,"מט""ח",ישראל,"ארה""ב",שירותים פיננסיים,"מט""ח",2025-10-06,לא,2025-06-04,USD,גורם תלוי/פנימי,קיימת תלות,2025-09-30,3.6,1.0,-5439.27,8.8822,3.306,-1.597,1.043224,-0.000137,,
1328,2196.0,"בנק דיסקונט לישראל בע""מ",520007030.0,ח.פ.,אופציה לס דולר שקל DISCOUNT C3.58 23/12/25 BUY,750000076.0,פנימי,"מט""ח",ישראל,"ארה""ב",שירותים פיננסיים,"מט""ח",2025-12-23,לא,2025-06-26,USD,גורם תלוי/פנימי,קיימת תלות,2025-09-30,3.58,1.0,2719.71,0.1439,3.306,0.013,-0.008448,1e-06,,
1328,2196.0,"בנק לאומי לישראל בע""מ",520018078.0,ח.פ.,אופציה לס דולר שקל Leumi P3.6 13/10/25 L,750000041.0,פנימי,"מט""ח",ישראל,"ארה""ב",שירותים פיננסיים,"מט""ח",2025-10-13,לא,2025-05-08,USD,גורם תלוי/פנימי,קיימת תלות,2025-09-30,3.6,1.0,5439.06,8.8777,3.306,1.596,-1.042649,0.000137,,
1328,2196.0,"בנק דיסקונט לישראל בע""מ",520007030.0,ח.פ.,אופציה לס דולר שקל DISCOUNT P3.55 08/10/25 BUY,750000046.0,פנימי,"מט""ח",ישראל,"ארה""ב",שירותים פיננסיים,"מט""ח",2025-10-08,לא,2025-05-21,USD,גורם תלוי/פנימי,קיימת תלות,2025-09-30,3.55,1.0,10878.48,7.3726,3.306,2.652,-1.731831,0.000228,,
1328,2196.0,"בנק לאומי לישראל בע""מ",520018078.0,ח.פ.,אופציה לס דולר שקל LEUMI C3.73 01/12/25 BUY,750000053.0,פנימי,"מט""ח",ישראל,"ארה""ב",שירותים פיננסיים,"מט""ח",2025-12-01,לא,2025-05-29,USD,גורם תלוי/פנימי,קיימת תלות,2025-09-30,3.73,1.0,5421.08,0.004,3.306,0.001,-0.00047,0.0,,
