מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מאפיין עיקרי,שם נייר ערך,מספר נייר ערך,תאריך רכישה,"מח""מ",סוג הצמדה,מועד פדיון,שיעור ריבית,תשואה לפדיון,ערך נקוב (יחידות),שער נייר הערך,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 18,סוף מידע
1328,2196.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8786 01.01.2027,71116487.0,2012-01-01,1.217882540909771,צמוד למדד המחירים לצרכן,2027-01-01,0.048,0.0485,581.57,123.856326,0.72,0.72,עלות מופחתת,9.3e-05,6.1e-05,,
1328,2196.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8783 01.10.2026,71116503.0,2011-10-01,0.9678825409097713,צמוד למדד המחירים לצרכן,2026-10-01,0.048,0.0485,174.57,125.8044,0.22,0.22,עלות מופחתת,2.8e-05,1.8e-05,,
1328,2196.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8782 01.09.2026,71116511.0,2011-09-01,0.9077229004927079,צמוד למדד המחירים לצרכן,2026-09-01,0.048,0.0485,146.98,122.976548,0.181,0.181,עלות מופחתת,2.3e-05,1.5e-05,,
1328,2196.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8821 01.12.2029,71121784.0,2014-12-01,3.769364383776447,צמוד למדד המחירים לצרכן,2029-12-01,0.048,0.0485,2327.35,120.272787,2.799,2.799,עלות מופחתת,0.000365,0.00024,,
1328,2196.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8835 01.02.2031,71123061.0,2016-02-01,4.733970182613099,צמוד למדד המחירים לצרכן,2031-02-01,0.048,0.0485,285.48,120.760879,0.345,0.345,עלות מופחתת,4.4e-05,2.9e-05,,
1328,2196.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8828 01.07.2030,71122550.0,2015-07-01,4.256417817008314,צמוד למדד המחירים לצרכן,2030-07-01,0.048,0.0485,1152.0,120.640651,1.39,1.39,עלות מופחתת,0.000181,0.000119,,
1328,2196.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8840 01.07.2031,71123350.0,2016-07-01,5.035574882157443,צמוד למדד המחירים לצרכן,2031-07-01,0.048,0.0485,1544.14,121.617498,1.878,1.878,עלות מופחתת,0.000244,0.000161,,
1328,2196.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8845 01.12.2031,71123533.0,2016-12-01,5.328113717401077,צמוד למדד המחירים לצרכן,2031-12-01,0.048,0.0485,5644.33,121.476869,6.857,6.857,עלות מופחתת,0.000894,0.00059,,
1328,2196.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8847 01.02.2032,71123665.0,2017-02-01,5.494780384067743,צמוד למדד המחירים לצרכן,2032-02-01,0.048,0.0485,6832.42,121.005087,8.268,8.268,עלות מופחתת,0.001078,0.000711,,
1328,2196.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8857 01.12.2032,71124127.0,2017-12-01,6.053496951908582,צמוד למדד המחירים לצרכן,2032-12-01,0.048,0.0485,14839.13,121.240736,17.991,17.991,עלות מופחתת,0.002347,0.001548,,
1328,2196.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8868 01.11.2033,71124689.0,2018-11-01,6.661746169657317,צמוד למדד המחירים לצרכן,2033-11-01,0.048,0.0485,1362.66,120.647903,1.644,1.644,עלות מופחתת,0.000214,0.000141,,
