מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,ענף מסחר,בעל עניין/צד קשור,תאריך רכישה,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,"מח""מ",מועד פדיון,תשואה לפדיון,שיעור ריבית,נחיתות חוזית,האם סווג כחוב בעייתי,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,תאריך אחרון בו נבחנה בפועל ירידת ערך,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 38,סוף מידע
1328,2196.0,"חברת החשמל לישראל בע""מ",520000472.0,ח.פ.,ISRELE 4.1 01/14/32,70551049.0,פנימי,"צמוד למט""ח",ישראל,ישראל,לא סחיר,חשמל,לא,2020-09-24,BBB+,S&P,נייר ערך,JPY,5.54,2032-01-14,0.0513,0.0375,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,507379.53,0.022332,95.65,10.838,,,שווי הוגן,0.487935,0.000932,,
1328,2196.0,"חברת החשמל לישראל בע""מ",520000472.0,ח.פ.,ISRELE 4 06/19/28,70716105.0,פנימי,"צמוד למט""ח",ישראל,ישראל,לא סחיר,חשמל,לא,2015-08-04,BBB+,S&P,נייר ערך,JPY,2.58,2028-06-19,0.0433,0.0425,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,507379.53,0.022332,100.38,11.374,,,שווי הוגן,0.512064,0.000978,,
1328,9757.0,"חברת החשמל לישראל בע""מ",520000472.0,ח.פ.,ISRELE 4 06/19/28,70716105.0,פנימי,"צמוד למט""ח",ישראל,ישראל,לא סחיר,חשמל,לא,2015-08-04,BBB+,S&P,נייר ערך,JPY,2.58,2028-06-19,0.0433,0.0425,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,246216773.43,0.022332,100.38,5519.407,,,שווי הוגן,0.18144,0.000288,,
1328,9757.0,"חברת החשמל לישראל בע""מ",520000472.0,ח.פ.,ISRELE 4.1 01/14/32,70551049.0,פנימי,"צמוד למט""ח",ישראל,ישראל,לא סחיר,חשמל,לא,2020-09-24,BBB+,S&P,נייר ערך,JPY,5.54,2032-01-14,0.0513,0.0375,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,246216773.43,0.022332,95.65,5259.328,,,שווי הוגן,0.17289,0.000274,,
1328,9757.0,"אורמת טכנולוגיות, אינק",880326081.0,ח.פ.,אורמת אגח 4 -רמ,1167212.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,אנרגיה מתחדשת,לא,2020-07-01,AA-,S&P מעלות,נייר ערך,ILS,2.95,2031-06-15,0.0518,0.0335,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,13738200.86,1.0,95.91,13176.308,,,שווי הוגן,0.433147,0.000688,,
1328,9757.0,"נתיבי הגז הטבעי לישראל בע""מ",513436394.0,ח.פ.,נתיבי גז אגח א-רמ,1103084.0,פנימי,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,שירותים,לא,2009-03-15,Aaa,מידרוג Moodys,נייר ערך,ILS,0.58,2026-12-29,0.0283,0.056,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,21626.83,1.0,147.67,31.936,,,שווי הוגן,0.001049,1e-06,,
1328,9757.0,"ביטוח ישיר - השקעות פיננסיות בע""מ",520044439.0,ח.פ.,ביט ישיראגיא-רמ,1138825.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,השקעה ואחזקות,לא,2016-07-21,A2,מידרוג Moodys,נייר ערך,ILS,2.0,2028-06-30,0.0529,0.046,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,623200.06,1.0,99.93,622.764,,,שווי הוגן,0.020472,3.2e-05,,
1328,9757.0,"מתם מרכז תעשיות מדע חיפה בע""מ",510687403.0,ח.פ.,מתם  אגח א -רמ,1138999.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,"נדל""ן מניב בישראל",לא,2016-08-16,Aa2,מידרוג Moodys,נייר ערך,ILS,1.22,2027-06-30,0.0464,0.031,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,5913688.52,1.0,98.25,5810.199,,,שווי הוגן,0.190999,0.000303,,
1328,9758.0,"נתיבי הגז הטבעי לישראל בע""מ",513436394.0,ח.פ.,נתיבי גז אגח א-רמ,1103084.0,פנימי,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,שירותים,לא,2009-03-15,Aaa,מידרוג Moodys,נייר ערך,ILS,0.58,2026-12-29,0.0283,0.056,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,5743.33,1.0,147.67,8.481,,,שווי הוגן,0.001798,1e-06,,
1328,9758.0,"מתם מרכז תעשיות מדע חיפה בע""מ",510687403.0,ח.פ.,מתם  אגח א -רמ,1138999.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,"נדל""ן מניב בישראל",לא,2016-08-16,Aa2,מידרוג Moodys,נייר ערך,ILS,1.22,2027-06-30,0.0464,0.031,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,735555.51,1.0,98.25,722.683,,,שווי הוגן,0.153221,0.00014,,
