מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,נכס בסיס (כתב אופציה),ענף מסחר,תאריך פקיעה,בעל עניין/צד קשור,תאריך רכישה,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,שער מימוש,יחס המרה,ערך נקוב (יחידות),שער נייר הערך,שער חליפין,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 28,סוף מידע
1328,2196.0,"פז קמעונאות ואנרגיה בע""מ",510216054.0,ח.פ.,פז אנרגיה - אופציה לא סחירה 31.01.2026,28999301.0,פנימי,ישראל,ישראל,לא סחיר,1100007,אנרגיה,2026-01-31,לא,2025-07-24,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,67000.0,1.0,0.69,5699.720814,1.0,0.04,1.0,3e-06,,
1328,9757.0,"סולו ג'לטו בע""מ",515229409.0,ח.פ.,אופציה Solo Gelato Ltd,28999224.0,פנימי,ישראל,קנדה,לא סחיר,IL001081165,ביוטכנולוגיה,2028-10-31,לא,2021-06-15,USD,גורם תלוי/פנימי,קיימת תלות,2025-09-30,25.65,1.0,5908.85,252.253041,3.306,49.277,0.032962,2e-06,,
1328,9757.0,"סולו ג'לטו בע""מ",515229409.0,ח.פ.,כתב אופציה סולאטו עד 23/08/2026,28999290.0,פנימי,ישראל,קנדה,לא סחיר,28999292,ביוטכנולוגיה,2026-08-23,לא,2025-05-05,USD,גורם תלוי/פנימי,קיימת תלות,2025-09-30,0.0,1.0,9247.0,69.609261,3.306,21.28,0.014234,1e-06,,
1328,9757.0,"סולו ג'לטו בע""מ",515229409.0,ח.פ.,אופציה Solo Gelato Ltd,29994290.0,פנימי,ישראל,קנדה,לא סחיר,29994289,ביוטכנולוגיה,2028-10-31,לא,2021-06-15,USD,גורם תלוי/פנימי,קיימת תלות,2025-09-30,25.65,1.0,106358.81,252.2532,3.306,886.978,0.593326,4.6e-05,,
1328,9757.0,"פז קמעונאות ואנרגיה בע""מ",510216054.0,ח.פ.,פז אנרגיה - אופציה לא סחירה 31.01.2026,28999301.0,פנימי,ישראל,ישראל,לא סחיר,1100007,אנרגיה,2026-01-31,לא,2025-07-24,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,67000.0,1.0,9428.36,5699.720814,1.0,537.39,0.359476,2.8e-05,,
1328,9758.0,"סולו ג'לטו בע""מ",515229409.0,ח.פ.,כתב אופציה סולאטו עד 23/08/2026,28999290.0,פנימי,ישראל,קנדה,לא סחיר,28999292,ביוטכנולוגיה,2026-08-23,לא,2025-05-05,USD,גורם תלוי/פנימי,קיימת תלות,2025-09-30,0.0,1.0,776.0,69.609261,3.306,1.786,0.008886,0.0,,
1328,9758.0,"סולו ג'לטו בע""מ",515229409.0,ח.פ.,אופציה Solo Gelato Ltd,28999224.0,פנימי,ישראל,קנדה,לא סחיר,IL001081165,ביוטכנולוגיה,2028-10-31,לא,2021-06-15,USD,גורם תלוי/פנימי,קיימת תלות,2025-09-30,25.65,1.0,496.01,252.253041,3.306,4.136,0.020585,0.0,,
1328,9758.0,"פז קמעונאות ואנרגיה בע""מ",510216054.0,ח.פ.,פז אנרגיה - אופציה לא סחירה 31.01.2026,28999301.0,פנימי,ישראל,ישראל,לא סחיר,1100007,אנרגיה,2026-01-31,לא,2025-07-24,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,67000.0,1.0,2115.3,5699.720814,1.0,120.566,0.599995,2.3e-05,,
1328,9758.0,"סולו ג'לטו בע""מ",515229409.0,ח.פ.,אופציה Solo Gelato Ltd,29994290.0,פנימי,ישראל,קנדה,לא סחיר,29994289,ביוטכנולוגיה,2028-10-31,לא,2021-06-15,USD,גורם תלוי/פנימי,קיימת תלות,2025-09-30,25.65,1.0,8928.22,252.2532,3.306,74.457,0.370532,1.4e-05,,
1328,9759.0,"סולו ג'לטו בע""מ",515229409.0,ח.פ.,אופציה Solo Gelato Ltd,29994290.0,פנימי,ישראל,קנדה,לא סחיר,29994289,ביוטכנולוגיה,2028-10-31,לא,2021-06-15,USD,גורם תלוי/פנימי,קיימת תלות,2025-09-30,25.65,1.0,1520.53,252.2532,3.306,12.68,0.319002,5e-06,,
