מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,נכס בסיס,תאריך רכישה,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,"מח""מ",שיעור ריבית,תשואה לפדיון,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 30,סוף מידע
1328,9757.0,"Sound Point CLO XXXI, Ltd",70239.0,פנימי,SNDPT 2020-1X AR MTGE (CLO),70105862.0,פנימי,שכבת חוב (Tranche) בדרוג AA- ומעלה,"חו""ל","ארה""ב",לא,אחר,2021-07-02,AAA,S&P,נייר ערך,USD,3.25,0.0540639,0.0538,מומחה בלתי תלוי,אי-תלות,2025-01-30,3833724.0,3.306,100.25,12705.977,0.228462,0.000663,,
1328,9757.0,Octagon Investment Partners 46 LLC,70236.0,פנימי,Oct46 2020-2X AR MT (CLO),70109107.0,פנימי,שכבת חוב (Tranche) בדרוג AA- ומעלה,"חו""ל","ארה""ב",לא,אחר,2021-08-05,AAA,S&P,נייר ערך,USD,3.5,0.0539799,0.0537,מומחה בלתי תלוי,אי-תלות,2025-09-30,3474000.0,3.306,100.249,11513.642,0.207023,0.000601,,
1328,9757.0,Sound Point XXIV LTD,70350.0,פנימי,SNDPT 2019-3X AR (CLO),70117567.0,פנימי,שכבת חוב (Tranche) בדרוג AA- ומעלה,"חו""ל","ארה""ב",לא,אחר,2021-10-27,AAA,Moodys,נייר ערך,USD,3.38,0.0541639,0.0704,מומחה בלתי תלוי,אי-תלות,2024-09-30,2489000.0,3.306,99.98,8226.988,0.147927,0.000429,,
1328,9757.0,ARES CLO Ltd,12623.0,פנימי,ARES 2017-43X A1R2 Mtge (CLO),70206307.0,פנימי,שכבת חוב (Tranche) בדרוג AA- ומעלה,"חו""ל","ארה""ב",לא,אחר,2024-12-13,AAA,S&P,נייר ערך,USD,4.94,0.0555,0.0524,מומחה בלתי תלוי,אי-תלות,2025-09-30,3071000.0,3.306,100.39,10192.322,0.183265,0.000532,,
1328,9757.0,"Sound Point CLO XXXI, Ltd",70239.0,פנימי,SNDPT 2021-3X A (CLO),70109369.0,פנימי,שכבת חוב (Tranche) בדרוג AA- ומעלה,"חו""ל","ארה""ב",לא,אחר,2021-08-10,AAA,Moodys,נייר ערך,USD,3.23,0.0540639,0.069,מומחה בלתי תלוי,אי-תלות,2025-09-02,2313000.0,3.306,100.22,7663.601,0.137796,0.0004,,
1328,9757.0,MADISON AVENUE TRUST,11411.0,פנימי,MAD 2015-11/144A/D (US CMBS),70707559.0,פנימי,שכבת חוב (Tranche) בדרוג BB+ ומטה,"חו""ל","ארה""ב",לא,משכנתאות או תיקי משכנתאות,2015-09-21,NR,NR,NR,USD,0.02,0.036733,0.1244,מומחה בלתי תלוי,אי-תלות,2024-09-30,282000.0,3.306,98.705,920.219,0.016546,4.8e-05,,
1328,9757.0,TAURUS CMBS,12489.0,פנימי,TAURS 2020-NL1X (NL CMBS),70514757.0,פנימי,שכבת חוב (Tranche) בדרוג AA- ומעלה,"חו""ל",הולנד,לא,משכנתאות או תיקי משכנתאות,2020-03-03,A+,Fitch,נייר ערך,EUR,0.39,0.0342,0.0467,מומחה בלתי תלוי,אי-תלות,2025-09-30,2211000.0,3.8807,51.192226,4392.41,0.078978,0.000229,,
1328,9758.0,MADISON AVENUE TRUST,11411.0,פנימי,MAD 2015-11/144A/D (US CMBS),70707559.0,פנימי,שכבת חוב (Tranche) בדרוג BB+ ומטה,"חו""ל","ארה""ב",לא,משכנתאות או תיקי משכנתאות,2015-09-21,NR,NR,NR,USD,0.02,0.036733,0.1244,מומחה בלתי תלוי,אי-תלות,2024-09-30,44000.0,3.306,98.705,143.58,0.01111,2.7e-05,,
1328,9758.0,TAURUS CMBS,12489.0,פנימי,TAURS 2020-NL1X (NL CMBS),70514757.0,פנימי,שכבת חוב (Tranche) בדרוג AA- ומעלה,"חו""ל",הולנד,לא,משכנתאות או תיקי משכנתאות,2020-03-03,A+,Fitch,נייר ערך,EUR,0.39,0.0342,0.0467,מומחה בלתי תלוי,אי-תלות,2025-09-30,277000.0,3.8807,51.192226,550.293,0.042581,0.000106,,
1328,9758.0,"Sound Point CLO XXXI, Ltd",70239.0,פנימי,SNDPT 2021-3X A (CLO),70109369.0,פנימי,שכבת חוב (Tranche) בדרוג AA- ומעלה,"חו""ל","ארה""ב",לא,אחר,2021-08-10,AAA,Moodys,נייר ערך,USD,3.23,0.0540639,0.069,מומחה בלתי תלוי,אי-תלות,2025-09-02,582000.0,3.306,100.22,1928.325,0.149213,0.000373,,
1328,9758.0,Sound Point XXIV LTD,70350.0,פנימי,SNDPT 2019-3X AR (CLO),70117567.0,פנימי,שכבת חוב (Tranche) בדרוג AA- ומעלה,"חו""ל","ארה""ב",לא,אחר,2021-10-27,AAA,Moodys,נייר ערך,USD,3.38,0.0541639,0.0704,מומחה בלתי תלוי,אי-תלות,2024-09-30,644000.0,3.306,99.98,2128.638,0.164713,0.000412,,
1328,9758.0,ARES CLO Ltd,12623.0,פנימי,ARES 2017-43X A1R2 Mtge (CLO),70206307.0,פנימי,שכבת חוב (Tranche) בדרוג AA- ומעלה,"חו""ל","ארה""ב",לא,אחר,2024-12-13,AAA,S&P,נייר ערך,USD,4.94,0.0555,0.0524,מומחה בלתי תלוי,אי-תלות,2025-09-30,995000.0,3.306,100.39,3302.299,0.255531,0.000639,,
1328,9758.0,Octagon Investment Partners 46 LLC,70236.0,פנימי,Oct46 2020-2X AR MT (CLO),70109107.0,פנימי,שכבת חוב (Tranche) בדרוג AA- ומעלה,"חו""ל","ארה""ב",לא,אחר,2021-08-05,AAA,S&P,נייר ערך,USD,3.5,0.0539799,0.0537,מומחה בלתי תלוי,אי-תלות,2025-09-30,674000.0,3.306,100.249,2233.792,0.17285,0.000432,,
1328,9758.0,"Sound Point CLO XXXI, Ltd",70239.0,פנימי,SNDPT 2020-1X AR MTGE (CLO),70105862.0,פנימי,שכבת חוב (Tranche) בדרוג AA- ומעלה,"חו""ל","ארה""ב",לא,אחר,2021-07-02,AAA,S&P,נייר ערך,USD,3.25,0.0540639,0.0538,מומחה בלתי תלוי,אי-תלות,2025-01-30,795452.0,3.306,100.25,2636.339,0.203999,0.00051,,
1328,9759.0,"Sound Point CLO XXXI, Ltd",70239.0,פנימי,SNDPT 2020-1X AR MTGE (CLO),70105862.0,פנימי,שכבת חוב (Tranche) בדרוג AA- ומעלה,"חו""ל","ארה""ב",לא,אחר,2021-07-02,AAA,S&P,נייר ערך,USD,3.25,0.0540639,0.0538,מומחה בלתי תלוי,אי-תלות,2025-01-30,411197.0,3.306,100.25,1362.816,0.184238,0.000599,,
1328,9759.0,Octagon Investment Partners 46 LLC,70236.0,פנימי,Oct46 2020-2X AR MT (CLO),70109107.0,פנימי,שכבת חוב (Tranche) בדרוג AA- ומעלה,"חו""ל","ארה""ב",לא,אחר,2021-08-05,AAA,S&P,נייר ערך,USD,3.5,0.0539799,0.0537,מומחה בלתי תלוי,אי-תלות,2025-09-30,369000.0,3.306,100.249,1222.952,0.16533,0.000538,,
1328,9759.0,ARES CLO Ltd,12623.0,פנימי,ARES 2017-43X A1R2 Mtge (CLO),70206307.0,פנימי,שכבת חוב (Tranche) בדרוג AA- ומעלה,"חו""ל","ארה""ב",לא,אחר,2024-12-13,AAA,S&P,נייר ערך,USD,4.94,0.0555,0.0524,מומחה בלתי תלוי,אי-תלות,2025-09-30,763000.0,3.306,100.39,2532.316,0.342343,0.001114,,
1328,9759.0,"Sound Point CLO XXXI, Ltd",70239.0,פנימי,SNDPT 2021-3X A (CLO),70109369.0,פנימי,שכבת חוב (Tranche) בדרוג AA- ומעלה,"חו""ל","ארה""ב",לא,אחר,2021-08-10,AAA,Moodys,נייר ערך,USD,3.23,0.0540639,0.069,מומחה בלתי תלוי,אי-תלות,2025-09-02,271000.0,3.306,100.22,897.897,0.121386,0.000395,,
1328,9759.0,Sound Point XXIV LTD,70350.0,פנימי,SNDPT 2019-3X AR (CLO),70117567.0,פנימי,שכבת חוב (Tranche) בדרוג AA- ומעלה,"חו""ל","ארה""ב",לא,אחר,2021-10-27,AAA,Moodys,נייר ערך,USD,3.38,0.0541639,0.0704,מומחה בלתי תלוי,אי-תלות,2024-09-30,305000.0,3.306,99.98,1008.128,0.136288,0.000443,,
