מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,ענף מסחר,בעל עניין/צד קשור,תאריך רכישה,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,תאריך אחרון בו נבחנה בפועל ירידת ערך,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 26,סוף מידע
1328,2196.0,וויו גרופ,832652993.0,ח.פ.,וויו גרופ,1171107.0,פנימי,מניות לא סחירות,ישראל,"ארה""ב",לא סחיר,השקעות בהיי-טק,לא,2021-10-21,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,,560.94,1.0,1e-06,0.0,1.0,0.0,,
1328,9757.0,וויו גרופ,832652993.0,ח.פ.,וויו גרופ,1171107.0,פנימי,מניות לא סחירות,ישראל,"ארה""ב",לא סחיר,השקעות בהיי-טק,לא,2021-10-21,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,,3773563.54,1.0,1e-06,0.0,0.0,0.0,,
1328,9757.0,"קיי אס פי בע""מ",512409689.0,ח.פ.,"פי.אס.די.אס יזמות בע""מ (KSP)",28999300.0,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,מסחר,לא,2025-08-04,ILS,מומחה בלתי תלוי,אי-תלות,2025-08-06,,437.19,1.0,9831932.772462,42984.227,0.394733,0.002246,,
1328,9757.0,"לייטריקס בע""מ",514879071.0,ח.פ.,Lightricks - D,29994357.0,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,השקעות בהיי-טק,לא,2021-09-22,USD,מומחה בלתי תלוי,אי-תלות,2025-06-18,,281366.42,3.306,700.6531,6517.457,0.059851,0.00034,,
1328,9757.0,"מדיקה אקסל בע""מ",516023207.0,ח.פ.,נארה מדיקל סנטר בעמ,29992737.0,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,שירותים,לא,2017-01-26,ILS,מומחה בלתי תלוי,אי-תלות,2025-04-24,,446037.81,1.0,438.5287,1956.004,0.017962,0.000102,,
1328,9757.0,"סמארט שוטר בע""מ",514615590.0,ח.פ.,SMART SHOTER,299933670.0,פנימי,מניות בכורה לא סחירות,ישראל,ישראל,לא סחיר,ביטחוניות,לא,2019-04-01,USD,מומחה בלתי תלוי,אי-תלות,2025-03-13,,176775.0,3.306,612.8325,3581.504,0.032889,0.000187,,
1328,9757.0,"פיקסלוט בע""מ",514896372.0,ח.פ.,Pixellot,29993743.0,פנימי,מניות בכורה לא סחירות,ישראל,ישראל,לא סחיר,השקעות בהיי-טק,לא,2020-05-21,USD,מומחה בלתי תלוי,אי-תלות,2025-07-31,,37670.78,3.306,395.404258,492.435,0.004522,2.5e-05,,
1328,9757.0,"אייצ' פי ג'י מו""פ בע""מ",516129939.0,ח.פ.,HyperGuest,29994242.0,פנימי,מניות בכורה לא סחירות,ישראל,ישראל,לא סחיר,השקעות בהיי-טק,לא,2021-04-12,USD,גורם תלוי/פנימי,קיימת תלות,2025-08-05,,2645996.08,3.306,24.995913,2186.558,0.020079,0.000114,,
1328,9757.0,"סולו ג'לטו בע""מ",515229409.0,ח.פ.,Solo Gelato,29994289.0,פנימי,מניות לא סחירות,ישראל,קנדה,לא סחיר,ביוטכנולוגיה,לא,2021-06-15,USD,מומחה בלתי תלוי,אי-תלות,2025-08-07,,173785.0,3.306,911.000007,5233.998,0.048064,0.000273,,
1328,9757.0,"דאטוס הלת' בע""מ",515199412.0,ח.פ.,Datos Health,29994336.0,פנימי,מניות בכורה לא סחירות,ישראל,ישראל,לא סחיר,השקעות במדעי החיים,לא,2021-08-16,USD,גורם תלוי/פנימי,קיימת תלות,2025-08-05,,263272.55,3.306,208.554596,1815.216,0.016669,9.4e-05,,
