מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם הבנק,מספר מזהה בנק,סוג מספר מזהה בנק,מאפיין עיקרי,"ישראל/חו""ל",בעל עניין/צד קשור,דירוג הבנק,שם מדרג,מטבע פעילות,שווי מטבעי,שער חליפין,שיעור ריבית,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 17,Unnamed: 18,Unnamed: 19,סוף מידע
1328,2196.0,לאומי,10-800,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,AAA,S&P מעלות,ILS,0.48724,1.0,,0.487,-0.000426,4.1e-05,,,,
1328,2196.0,לאומי,10-800,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,AAA,S&P מעלות,ILS,-180.25245,1.0,,-180.252,0.157812,-0.015513,,,,
1328,2196.0,לאומי,10-800,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,AAA,S&P מעלות,ILS,-1108.81446,1.0,,-1108.814,0.970777,-0.095427,,,,
1328,2196.0,לאומי,10-800,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,AAA,S&P מעלות,EUR,3.24336,3.8807,,12.587,-0.011019,0.001083,,,,
1328,2196.0,לאומי,10-800,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,AAA,S&P מעלות,EUR,0.26977,3.8807,,1.047,-0.000916,9e-05,,,,
1328,2196.0,לאומי,10-800,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,AAA,S&P מעלות,USD,0.20002,3.306,,0.661,-0.000578,5.6e-05,,,,
1328,2196.0,לאומי,10-800,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,AAA,S&P מעלות,USD,30.68223,3.306,,101.435,-0.088807,0.008729,,,,
1328,2196.0,פועלים,12-800,סימול בנק,בטחונות שוטפים,ישראל,לא,Aa2,מידרוג Moodys,USD,0.49446,3.306,,1.635,-0.001431,0.00014,,,,
1328,2196.0,לאומי,10-800,סימול בנק,"פק""מ לתקופה של עד שלושה חודשים",ישראל,לא,AAA,S&P מעלות,ILS,0.89875,1.0,,0.899,-0.000786,7.7e-05,,,,
1328,2196.0,דיסקונט,11-800,סימול בנק,בטחונות שוטפים,ישראל,לא,Aa2,מידרוג Moodys,USD,-0.79685,3.306,,-2.634,0.002306,-0.000226,,,,
1328,2196.0,לאומי,10-800,סימול בנק,"פק""מ לתקופה של עד שלושה חודשים",ישראל,לא,AAA,S&P מעלות,ILS,0.18798,1.0,,0.188,-0.000164,1.6e-05,,,,
1328,2196.0,לאומי,10-800,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,AAA,S&P מעלות,JPY,120.0714,0.022332,,2.681,-0.002347,0.00023,,,,
1328,2196.0,לאומי,10-800,סימול בנק,בטחונות שוטפים,ישראל,לא,AAA,S&P מעלות,USD,-7.50201,3.306,,-24.802,0.021714,-0.002134,,,,
1328,2196.0,לאומי,10-800,סימול בנק,בטחונות שוטפים,ישראל,לא,AAA,S&P מעלות,USD,7.02389,3.306,,23.221,-0.02033,0.001998,,,,
1328,2196.0,"Citibank, NA",CITIUS33XXX,SWIFT,בטחונות שוטפים,"חו""ל",לא,A+,S&P,USD,0.39398,3.306,,1.302,-0.00114,0.000112,,,,
