מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,ענף מסחר,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,סכום לקבל (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)",שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 24,סוף מידע
1328,2196.0,"אנרג'יקס-אנרגיות מתחדשות בע""מ",513901371,ח.פ.,אנרג'יקס,IL0011233553,ISIN,מניות,ישראל,ישראל,סחיר,TASE,אנרגיה מתחדשת,לא,ILS,6.93,1.0,1428.0,,0.099,1.25713889e-10,0.000187,8e-06,,
1328,2196.0,"יעקב פיננסים והשקעות בע""מ",514288661,ח.פ.,יעקב פיננסים,IL0011850570,ISIN,מניות,ישראל,ישראל,סחיר,TASE,אשראי חוץ בנקאי,לא,ILS,48.12,1.0,3555.0,,1.711,1.9573550422e-08,0.003246,0.000147,,
1328,2196.0,"נובה מכשירי מדידה בע""מ",511812463,ח.פ.,נובה,IL0010845571,ISIN,מניות,ישראל,ישראל,סחיר,TASE,מוליכים למחצה,לא,ILS,3.84,1.0,104950.0,,4.036,1.303843295e-09,0.00766,0.000347,,
1328,2196.0,"פז קמעונאות ואנרגיה בע""מ",510216054,ח.פ.,פז אנרגיה,IL0011000077,ISIN,מניות,ישראל,ישראל,סחיר,TASE,אנרגיה,לא,ILS,3.63,1.0,67880.0,0.05052,2.515,2.625694642e-09,0.004773,0.000216,,
1328,2196.0,"פוקס-ויזל בע""מ",512157603,ח.פ.,פוקס,IL0010870223,ISIN,מניות,ישראל,ישראל,סחיר,TASE,רשתות שיווק,לא,ILS,8.0,1.0,35060.0,,2.806,5.769658361e-09,0.005326,0.000241,,
1328,2196.0,"קבוצת אחים יעקובי (ואי.אס.בי) בע""מ",514010081,ח.פ.,יעקובי קבוצה,IL0011424210,ISIN,מניות,ישראל,ישראל,סחיר,TASE,בנייה,לא,ILS,85.18,1.0,60.8,,0.052,4.729538077e-09,9.8e-05,4e-06,,
1328,2196.0,"ריט 1 בע""מ",513821488,ח.פ.,ריט 1,IL0010989205,ISIN,מניות,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ILS,71.19,1.0,2450.0,,1.744,3.552604217e-09,0.00331,0.00015,,
1328,2196.0,"כרמל קורפ בע""מ",515818524,ח.פ.,כרמל קורפ,IL0011476855,ISIN,מניות,ישראל,ישראל,סחיר,TASE,מזון,לא,ILS,13.09,1.0,1977.0,,0.259,6.535459862e-09,0.000491,2.2e-05,,
1328,2196.0,"גולן תעשיות מתחדשות בע""מ",513029975,ח.פ.,גולן תעשיות,IL0010919335,ISIN,מניות,ישראל,ישראל,סחיר,TASE,"כימיה, גומי ופלסטיק",לא,ILS,26.16,1.0,1061.0,,0.278,7.642008588e-09,0.000526,2.3e-05,,
1328,2196.0,"אלביט מערכות בע""מ- דואלית",520043027,ח.פ.,אלביט מערכות,IL0010811243,ISIN,מניות,ישראל,ישראל,סחיר,TASE,ביטחוניות,לא,ILS,5.77,1.0,167700.0,,9.68,1.244357367e-09,0.018371,0.000833,,
