מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מספר מזהה לווה,סוג מספר מזהה לווה,שם הלוואה,מספר הלוואה,תאריך העמדת מסגרת אשראי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,דירוג,שם מדרג,דירוג הלוואה/המנפיק,מטבע פעילות,שער חליפין,שיעור ריבית,סוג הריבית,סכום מסגרת האשראי הראשוני (במטבע הפעילות),"סכום מסגרת האשראי הראשוני (באלפי ש""ח)",שיעור יתרת מסגרת אשראי,Unnamed: 20,סוף מידע
1328,9757.0,,ח.פ.,,29994231.0,2022-01-31,ישראל,,לא,A1,מידרוג Moodys,הלוואה,ILS,1.0,0.007,קבועה,34879.9999808048,34879.9999808048,0.879851,,
1328,9757.0,,ח.פ.,,29994390.0,2021-10-26,ישראל,,לא,A1,מידרוג Moodys,הלוואה,EUR,3.8807,0.006,קבועה,9608.00224797899,37285.7743237321,0.00163667,,
1328,9757.0,,ח.פ.,,28999230.0,2020-11-05,ישראל,,לא,A2,מידרוג Moodys,הלוואה,ILS,1.0,0.006,קבועה,16204.6285957147,16204.6285957147,0.26257,,
1328,9757.0,,ח.פ.,,29993932.0,2020-11-30,ישראל,,לא,A2,מידרוג Moodys,הלוואה,ILS,1.0,0.006,קבועה,16206.3480414782,16206.3480414782,0.277283,,
1328,9757.0,,פנימי,,29994314.0,2021-07-19,"חו""ל",,לא,NR,NR,NR,GBP,4.4409,0.0135,קבועה,8629.54667607955,38322.9538338017,0.0307286,,
1328,9757.0,,פנימי,,28999145.0,2022-04-04,"חו""ל",,לא,NR,NR,NR,NOK,0.3311,0.015,קבועה,54308.6004572088,17981.5776113818,0.11454,,
1328,9758.0,,ח.פ.,,29994231.0,2022-01-31,ישראל,,לא,A1,מידרוג Moodys,הלוואה,ILS,1.0,0.007,קבועה,4323.9999812342,4323.9999812342,0.879851,,
1328,9758.0,,ח.פ.,,29994390.0,2021-10-26,ישראל,,לא,A1,מידרוג Moodys,הלוואה,EUR,3.8807,0.006,קבועה,1145.00167138142,4443.40798612989,0.00163667,,
1328,9758.0,,ח.פ.,,28999230.0,2020-11-05,ישראל,,לא,A2,מידרוג Moodys,הלוואה,ILS,1.0,0.006,קבועה,1666.28566724296,1666.28566724296,0.26257,,
1328,9758.0,,ח.פ.,,29993932.0,2020-11-30,ישראל,,לא,A2,מידרוג Moodys,הלוואה,ILS,1.0,0.006,קבועה,1671.976992395,1671.976992395,0.277283,,
