מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם הנכס האחר,מספר הנכס האחר,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,תאריך עסקה,מטבע פעילות,תאריך שערוך אחרון,שווי מטבעי,שער חליפין,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 18,סוף מידע
1328,2196.0,חייבים זכאים דמי ניהול צבירה,330001799.0,חייבים וזכאים,ישראל,ישראל,לא,,ILS,2025-09-30,-4.832,1.0,-4.832,,שווי הוגן,-0.00294463598020094,-0.000415,,
1328,2196.0,יתרות חייבים/זכאים,330000888.0,חייבים וזכאים,ישראל,ישראל,לא,2024-03-31 00:00:00,ILS,2025-09-30,1684.125,1.0,1684.125,,שווי הוגן,1.02623460187352,0.14494,,
1328,2196.0,"חו""ז ""ריפו CITI  ""PEMEX 6.84",708312351.0,חייבים וזכאים,"חו""ל",מקסיקו,לא,2025-01-07 00:00:00,USD,2025-09-30,-4.406,3.306,-14.565,,שווי הוגן,-0.00887548499399306,-0.001253,,
1328,2196.0,"חו""ז OCINCC 7.95% 06/13/2028 ריפו",701036621.0,חייבים וזכאים,"חו""ל","ארה""ב",לא,2025-09-05 00:00:00,USD,2025-09-30,-4.493,3.306,-14.853,,שווי הוגן,-0.00905060854287997,-0.001278,,
1328,2196.0,"חו""ז PEMEX 5.95% 01/28/2031 CITI  ריפו",708320841.0,חייבים וזכאים,"חו""ל","ארה""ב",לא,2025-01-14 00:00:00,USD,2025-09-30,-2.663,3.306,-8.803,,שווי הוגן,-0.00536387235645186,-0.000757,,
1328,9757.0,DATOS SAFE,28999221.0,חייבים בגין תקבולים ,ישראל,ישראל,לא,2023-06-06 00:00:00,USD,2025-06-04,68.633,3.306,226.902,,שווי הוגן,0.000938446985097421,1.1e-05,,
1328,9757.0,הרכבת הקלה – מסחרי חייבים משתנה,28999230.0,חייבים בגין תקבולים ,ישראל,ישראל,לא,2020-11-05 00:00:00,ILS,2025-09-30,4262.617,1.0,4262.617,,שווי הוגן,0.0176298170043589,0.000222,,
1328,9757.0,הרכבת הקלה – מסחרי חייבים קבועה,28999231.0,חייבים בגין תקבולים ,ישראל,ישראל,לא,2023-08-31 00:00:00,ILS,2025-09-30,-4254.844,1.0,-4254.844,,שווי הוגן,-0.0175976687091271,-0.000222,,
1328,9757.0,חייבים אשראי קבועה הרכבת הקלה,29993933.0,אחר,ישראל,ישראל,לא,2020-11-05 00:00:00,ILS,2025-09-30,-4493.753,1.0,-4493.753,,שווי הוגן,-0.0185857747054923,-0.000234,,
1328,9757.0,חייבים אשראי שואבה מנרה משתנה,29994231.0,חייבים בגין תקבולים ,ישראל,ישראל,לא,31/03/2021,ILS,2025-09-30,30742.913,1.0,30742.913,,שווי הוגן,0.127150050590109,0.001606,,
