קובץ דיווח עבור רשימת נכסים ברמת הנכס הבודד (חוזר גופים מוסדיים 2015-9-14),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,סוף מידע
,,,,,,,,,
יש לבחור תחום:,,,נכסי עמיתים - קרנות פנסיה,,,,,,
,,,,,,,,,
האם מדובר בקובץ לממומנה או לציבור:,,,לממונה,,,,,,
,,,,,,,,,
יש לבחור את רבעון הדיווח:,,,3,,,,,,
,,,,,,,,,
יש לבחור את שנת הדיווח:,,,2025,,,,,,
,,,,,,,,,
יש לבחור את הגוף המוסדי:,,,"אלטשולר שחם גמל ופנסיה בע""מ",,,,,,
,,,,,,,,,
ח.פ. הגוף המוסדי:,,,513173393,,,,,,
,,,,,,,,,
שם קובץ לשמירה,,,513173393_pn_0325.xls,,,,,,
,,,,,,,,,
פרטי האחראי על הדיווח בגוף המוסדי,שם:,,ליטל דהן,,,,,,
,,,,,,,,,
,מספר טלפון:,,073-2331500,,,,,,
,,,,,,,,,
,כתובת מייל:,,Litalda@altshul.co.il,,,,,,
,,,,,,,,,
הוראות למילוי הדיווח:,,,"יש לדווח לפי ההנחיות בחלק ג' לנספח 5.4.3.2 שבפרק 3 שבחלק 4 לשער 5 בחוזר המאוחד - ""רשימת נכסים ברמת הנכס הבודד"".",,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
סוף מידע,,,,,,,,,
