מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם הבנק,מספר מזהה בנק,סוג מספר מזהה בנק,מאפיין עיקרי,תאריך פקיעת פיקדון,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,דירוג הבנק,שם מדרג,מטבע פעילות,"מח""מ",שיעור ריבית,תשואה לפדיון,שווי מטבעי,שער חליפין,שער פיקדון,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 22,סוף מידע
1328,9757.0,מזרחי טפחות,20-477,סימול בנק,לא צמוד למדד המחירים לצרכן,2028-05-24,ישראל,ישראל,לא,AAA,S&P מעלות,ILS,1.51,,0.0262,449.44118,1.0,14.4554,449.441,1.0,2.3e-05,,
1328,9758.0,מזרחי טפחות,20-477,סימול בנק,לא צמוד למדד המחירים לצרכן,2028-05-24,ישראל,ישראל,לא,AAA,S&P מעלות,ILS,1.51,,0.0262,65.67368,1.0,14.4554,65.674,1.0,1.2e-05,,
1328,9759.0,מזרחי טפחות,20-477,סימול בנק,לא צמוד למדד המחירים לצרכן,2028-05-24,ישראל,ישראל,לא,AAA,S&P מעלות,ILS,1.51,,0.0262,19.7387,1.0,14.4554,19.739,1.0,8e-06,,
1329,9761.0,מזרחי טפחות,20-477,סימול בנק,לא צמוד למדד המחירים לצרכן,2028-05-24,ישראל,ישראל,לא,AAA,S&P מעלות,ILS,1.51,,0.0262,9.38568,1.0,14.4554,9.386,1.0,1.9e-05,,
1329,9762.0,מזרחי טפחות,20-477,סימול בנק,לא צמוד למדד המחירים לצרכן,2028-05-24,ישראל,ישראל,לא,AAA,S&P מעלות,ILS,1.51,,0.0262,6.87586,1.0,14.4554,6.876,1.0,3.8e-05,,
1329,9763.0,מזרחי טפחות,20-477,סימול בנק,לא צמוד למדד המחירים לצרכן,2028-05-24,ישראל,ישראל,לא,AAA,S&P מעלות,ILS,1.51,,0.0262,4.26146,1.0,14.4554,4.261,1.0,6.4e-05,,
1328,2196.0,,,,,,,,,,,,,,,,,,,,,,
1328,9760.0,,,,,,,,,,,,,,,,,,,,,,
1329,8580.0,,,,,,,,,,,,,,,,,,,,,,
1328,12138.0,,,,,,,,,,,,,,,,,,,,,,
1329,12139.0,,,,,,,,,,,,,,,,,,,,,,
1328,12419.0,,,,,,,,,,,,,,,,,,,,,,
1329,13212.0,,,,,,,,,,,,,,,,,,,,,,
1329,13211.0,,,,,,,,,,,,,,,,,,,,,,
1328,13819.0,,,,,,,,,,,,,,,,,,,,,,
1329,13820.0,,,,,,,,,,,,,,,,,,,,,,
1329,14304.0,,,,,,,,,,,,,,,,,,,,,,
1329,14305.0,,,,,,,,,,,,,,,,,,,,,,
1328,14302.0,,,,,,,,,,,,,,,,,,,,,,
1328,14303.0,,,,,,,,,,,,,,,,,,,,,,
1329,14854.0,,,,,,,,,,,,,,,,,,,,,,
1328,14850.0,,,,,,,,,,,,,,,,,,,,,,
1328,15314.0,,,,,,,,,,,,,,,,,,,,,,
1329,15313.0,,,,,,,,,,,,,,,,,,,,,,
סוף מידע,,,,,,,,,,,,,,,,,,,,,,,
