מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם שותף כללי קרן השקעות,מספר מזהה שותף כללי קרן השקעות,סוג מספר מזהה שותף כללי קרן השקעות,שם קרן השקעה,מספר מזהה קרן השקעה,סוג מספר מזהה קרן השקעות,מאפיין עיקרי,אסטרטגיית קרן ההשקעה,"ישראל/חו""ל",מדינת התאגדות קרן השקעה,מיקום משרד השותף הכללי,מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,תאריך רכישה,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,שער חליפין,NAV (במטבע הדיווח של קרן ההשקעה),"שווי הוגן (באלפי ש""ח)",שיעור החזקה בקרן השקעה,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 26,סוף מידע
1328,9757.0,Reality Debt General Partner Ltd,,,ריאליטי מימון,28999108.0,פנימי,קרן חוב,,ישראל,,,ישראל,לא,2022-03-31,ILS,דיווח מנהל הקרן,אי-תלות,2025-08-14,1.0,31129.029,29561.344,0.00036792,0.021949,0.001544,,
1328,9757.0,"Fortissimo Capital Fund VI GP, LP",,,FORTISSIMO 6,28999153.0,פנימי,פרייבט אקוויטי,,ישראל,,,ישראל,לא,2023-10-24,USD,דיווח מנהל הקרן,אי-תלות,2025-08-14,3.306,3835.646,12680.646,7.26918238679245e-05,0.009415,0.000662,,
1328,9757.0,"קוגיטו קפיטל פאנד 2 שותף כללי בע""מ",,,COGITO2,28999102.0,פנימי,קרן חוב,,ישראל,,,ישראל,לא,2022-02-06,ILS,דיווח מנהל הקרן,אי-תלות,2025-08-31,1.0,22108.543,19347.992,0.000387265263157894,0.014366,0.001011,,
1328,9757.0,Pontifax V GP L.P.,,,Pontifax 5,29992982.0,פנימי,פרייבט אקוויטי,,ישראל,,,ישראל,לא,2018-02-14,USD,דיווח מנהל הקרן,אי-תלות,2025-08-21,3.306,660.243,2226.596,5.30332988e-05,0.001653,0.000116,,
1328,9757.0,Copia Agro and Food Ltd.,,,Copia,29993135.0,פנימי,פרייבט אקוויטי,,ישראל,,,ישראל,לא,2018-05-01,USD,דיווח מנהל הקרן,אי-תלות,2025-08-06,3.306,574.374,1898.881,0.000189000966707735,0.001409,9.9e-05,,
1328,9757.0,Keshet International Management Ltd.,,,MPDI Fund (KI),29993268.0,פנימי,קרן השקעה אחרת,,ישראל,,,גלובלי,לא,2018-09-16,USD,דיווח מנהל הקרן,אי-תלות,2025-04-03,3.306,30.217,99.897,5.13633984e-05,7.4e-05,5e-06,,
1328,9757.0,Glilot Investment III L.P.,,,Glilot 3,29993297.0,פנימי,פרייבט אקוויטי,,ישראל,,,ישראל,לא,2018-03-29,USD,דיווח מנהל הקרן,אי-תלות,2025-08-31,3.306,567.182,1875.104,9.58077936363636e-05,0.001392,9.7e-05,,
1328,9757.0,Kedma Capital III G.P.L.P Limited Partnership,,,Kedma 3,29993397.0,פנימי,פרייבט אקוויטי,,ישראל,,,ישראל,לא,2019-02-13,USD,דיווח מנהל הקרן,אי-תלות,2025-08-31,3.306,3255.314,10762.067,0.000174027996011964,0.00799,0.000562,,
1328,9757.0,Pontifax Medison Finance GP L.P.,,,Pontifax Medison,29993408.0,פנימי,קרן חוב,,ישראל,,,גלובלי,לא,2019-05-02,USD,דיווח מנהל הקרן,אי-תלות,2025-08-31,3.306,121.105,391.101,0.0001212,0.00029,2e-05,,
1328,9757.0,Israel Infrastructure G.P. Management II L.P.,,,IIF 2,29991728.0,פנימי,קרן אנרגיה ותשתיות,,ישראל,,,ישראל,לא,2011-08-08,USD,דיווח מנהל הקרן,אי-תלות,2025-08-27,3.306,1.352,4.47,5.68181818181818e-06,3e-06,0.0,,
1328,9757.0,"קרדיטו בע""מ",,,קרדיטו,29993691.0,פנימי,קרן חוב,,ישראל,,,ישראל,לא,2020-03-19,ILS,דיווח מנהל הקרן,אי-תלות,2025-08-31,1.0,19117.619,14770.053,0.000246460656741573,0.010966,0.000771,,
1328,9757.0,"Fortissimo Capital Fund V GP, LP",,,Fortissimo 5,29993715.0,פנימי,פרייבט אקוויטי,,ישראל,,,ישראל,לא,2020-04-16,USD,דיווח מנהל הקרן,אי-תלות,2025-08-14,3.306,5449.38,18015.649,7.90546505472674e-05,0.013376,0.000941,,
1328,9757.0,Kedma Capital S.C.S.M Limited Partnership,,,Kedma Capital 2,29992344.0,פנימי,פרייבט אקוויטי,,ישראל,,,ישראל,לא,2015-04-02,ILS,דיווח מנהל הקרן,אי-תלות,2025-08-31,1.0,2278.066,2278.066,4.125210875162e-05,0.001691,0.000119,,
1328,9757.0,"יסודות אנקס 1 ג',.פי",,,יסודות א אנקס 1,29992728.0,פנימי,קרן חוב,,ישראל,,,ישראל,לא,2016-09-29,ILS,דיווח מנהל הקרן,אי-תלות,2025-08-31,1.0,110.215,110.215,7.6679519701277e-05,8.1e-05,5e-06,,
1328,9757.0,"Noy E.I Infrastructure and Energy G.P, Limited Partnership",,,נוי כוכב הירדן,29992808.0,פנימי,קרן אנרגיה ותשתיות,,ישראל,,,ישראל,לא,2017-07-19,ILS,דיווח מנהל הקרן,אי-תלות,2025-08-18,1.0,4436.211,4436.211,8.21609526436781e-05,0.003293,0.000231,,
1328,9757.0,"Stage One Capital  (G.P.) IV, L.P",,,STAGEONE4,29994429.0,פנימי,פרייבט אקוויטי,,ישראל,,,ישראל,לא,2022-03-21,USD,דיווח מנהל הקרן,אי-תלות,2025-08-19,3.306,1189.892,4316.443,0.0002674,0.003205,0.000225,,
1328,9757.0,Peregrine Ventures Growth GP L.P.,,,Peregrine Growth,29993946.0,פנימי,פרייבט אקוויטי,,ישראל,,,ישראל,לא,2021-03-14,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,6290.714,21606.318,0.000324900000666666,0.016042,0.001129,,
1328,9757.0,State of minds ventures momentum GP LP,,,SOMV Momentum,29994360.0,פנימי,פרייבט אקוויטי,,ישראל,,,ישראל,לא,2021-12-08,USD,דיווח מנהל הקרן,אי-תלות,2025-08-28,3.306,1848.893,6304.871,0.000601333333333333,0.004681,0.000329,,
1328,9757.0,יסודות מעטפת פיננסית ג'י.פי שותפות מוגבלת,,,יסודות א,29992351.0,פנימי,קרן חוב,,ישראל,,,ישראל,לא,2014-12-01,ILS,דיווח מנהל הקרן,אי-תלות,2025-08-31,1.0,12.758,12.758,5.63005115789825e-05,9e-06,0.0,,
