מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך ,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,סיווג הקרן,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 23,סוף מידע
1328,2196.0,VisionFund - Japan Equity Valu,549300MLFO9DA22U6X10,LEI,VisionFund - Japan Equity Valu,LU2407273668,ISIN,מניות,"חו""ל",יפן,סחיר,אחר,Equity Funds,לא,JPY,4.35,0.022332,1923144.0,1.871,5.600465639e-09,0.037185,0.000161,,
1328,2196.0,India Acorn ICAV - Ashoka Indi,213800M3HXZ3RG189568,LEI,Ashoka WhiteOak ICAV - Ashoka,IE00BH3N4915,ISIN,מניות,"חו""ל",הודו,סחיר,אחר,Equity Funds,לא,USD,6.3,3.306,25948.0,5.408,7.619668969e-09,0.107467,0.000465,,
1328,2196.0,Artemis UK Select Fund,QXLNS35572JXFT415E26,LEI,ARTEMIS UK SELECT FUND-INS A,GB00B2PLJG05,ISIN,מניות,"חו""ל",בריטניה,סחיר,אחר,Equity Funds,לא,GBP,250.55,4.4409,1310.29,14.58,8.570259303e-09,0.289696,0.001254,,
1328,2196.0,Liontrust European Dynamic Fun,549300PN0HPAEQKWRP25,LEI,Liontrust European Dynamic Fun,GB00BKPQVT86,ISIN,מניות,"חו""ל",אירופה,סחיר,אחר,Equity Funds,לא,GBP,780.71,4.4409,152.7,5.294,5.692343478e-09,0.105197,0.000455,,
1328,2196.0,Lazard Global Active Funds PLC,549300SUR2UP5JCRR148,LEI,LAZARD JAPA STRA EQIT-J ACCJ,IE000935MXF3,ISIN,מניות,"חו""ל",יפן,סחיר,אחר,Equity Funds,לא,JPY,14.52,0.022332,1123243.58,3.643,5.801985548e-09,0.072396,0.000313,,
1328,2196.0,Nomura Funds Ireland - India E,549300HXR7QJEDLJQG22,LEI,Nomura Funds Ireland - India E,IE00B3SHFF36,ISIN,מניות,"חו""ל",הודו,סחיר,אחר,Equity Funds,לא,USD,4.74,3.306,24101.87,3.784,8.869074353e-09,0.075179,0.000325,,
1328,2196.0,HBM Healthcare Investments AG,549300IFDFSDRT4D3076,LEI,HBM Healthcare Investments AG,CH0012627250,ISIN,מניות,"חו""ל",שוויץ,סחיר,SIX,Equity Funds,לא,CHF,4.5,4.1427,18080.0,3.376,4.949464923e-09,0.067081,0.00029,,
1328,2196.0,Goehring & Rozencwajg Resource,97006,פנימי,Goehring & Rozencwajg Resource,IE000KQNS6Z3,ISIN,מניות,"חו""ל",גלובלי,סחיר,EURONEXT,Equity Funds,לא,USD,15.91,3.306,1292.23,0.68,7.882406844e-09,0.013507,5.8e-05,,
1328,2196.0,Arcus SICAV Fund Arcus Japan F,5493006LRMEMRJ2WI665,LEI,Arcus SICAV Fund Arcus Japan F,LU0243544235,ISIN,מניות,"חו""ל",יפן,סחיר,אחר,Equity Funds,לא,JPY,1.63,0.022332,5064900.0,1.854,2.6496699e-09,0.036847,0.000159,,
1328,2196.0,Kotak Funds - India Midcap Fun,549300P1V22EKK1UCL34,LEI,Kotak Funds - India Midcap Fun,LU0675383409,ISIN,מניות,"חו""ל",הודו,סחיר,אחר,Equity Funds,לא,USD,50.97,3.306,3297.08,5.557,4.84858127e-09,0.110408,0.000478,,
