מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,זירת מסחר,סיווג הקרן,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,סכום לקבל (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)",שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 23,סוף מידע
1328,2196.0,"קסם קרנות נאמנות בע""מ",510938608,ח.פ.,קסם NASDAQ 100 ETF,IL0011465056,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,"ארה""ב",TASE,"NASDAQ 100 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,0.0,1.0,77790.0,,0.001,0.0,1.1e-05,0.0,,
1328,2196.0,"מור ניהול קרנות נאמנות (2013) בע""מ",514884485,ח.פ.,מור סל י S&P 500,IL0011658106,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,"ארה""ב",TASE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,0.05,1.0,10950.0,,0.006,7.29927e-12,9.2e-05,0.0,,
1328,2196.0,"מיטב קרנות נאמנות בע""מ",513534974,ח.פ.,תכלית סל ‏‏‏NASDAQ 100,IL0011444010,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,"ארה""ב",TASE,"NASDAQ 100 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,0.01,1.0,42380.0,,0.004,5.882352e-12,6.9e-05,0.0,,
1328,2196.0,"מור ניהול קרנות נאמנות (2013) בע""מ",514884485,ח.פ.,מור סל י NASDAQ 100,IL0011658361,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,"ארה""ב",TASE,"NASDAQ 100 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,0.04,1.0,12290.0,,0.005,4.2105263e-11,8.1e-05,0.0,,
1328,2196.0,"מגדל קרנות נאמנות בע""מ",511303661,ח.פ.,MTF סל Nasdaq 100,IL0011813875,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,"ארה""ב",TASE,"NASDAQ 100 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,0.35,1.0,5680.0,,0.02,1.75e-10,0.000315,1e-06,,
1328,2196.0,"מיטב קרנות נאמנות בע""מ",513534974,ח.פ.,תכלית סל י STOXX Europe 600,IL0011447245,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,אירופה,TASE,"STOXX EUROPE 600 -מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-אירופה כללי",לא,ILS,0.11,1.0,2842.0,,0.003,2.0024194e-11,5.2e-05,0.0,,
1328,2196.0,Health Care Select Sector SPDR,549300EJNY3KKJHPOY44,LEI,Health Care Select Sector SPDR,US81369Y2090,ISIN,"עוקב אחר מדדי מניות בחו""ל","חו""ל","ארה""ב",NYSE,Index Funds,לא,USD,8.74,3.306,13917.0,,4.026,3.50713992e-10,0.062546,0.000346,,
1328,2196.0,Daiwa ETF-Nikkei 225,549300IFDFSDRT4D3076,LEI,iFree ETF-Nikkei 225,JP3027640006,ISIN,"עוקב אחר מדדי מניות בחו""ל","חו""ל",יפן,TSE,Index Funds,לא,JPY,0.0,0.022332,4649000.0,,0.001,0.0,1.7e-05,0.0,,
1328,2196.0,Energy Select Sector SPDR Fund,54930064FLK0RD4TRU75,LEI,Energy Select Sector SPDR Fund,US81369Y5069,ISIN,"עוקב אחר מדדי מניות בחו""ל","חו""ל","ארה""ב",NYSE,Index Funds,לא,USD,43.03,3.306,8934.0,,12.71,1.431328257e-09,0.19747,0.001093,,
1328,2196.0,Invesco QQQ Trust Series 1,549300VY6FEJBCIMET58,LEI,Invesco QQQ Trust Series 1,US46090E1038,ISIN,"עוקב אחר מדדי מניות בחו""ל","חו""ל","ארה""ב",NASDAQ,Index Funds,לא,USD,0.14,3.306,60037.0,6e-05,0.285,2.180671e-12,0.004431,2.4e-05,,
