מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,שם נייר ערך,מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,זירת מסחר,דירוג,שם מדרג,מטבע פעילות,"מח""מ",מועד פדיון,שיעור ריבית,תשואה לפדיון,סכום לקבל (במטבע הפעילות),ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",השיטה שיושמה בדוח הכספי,שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
170,9655,מדינת ישראל,ממצמ 0841,IL0011205833,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,13.23,2041-08-30,2.750%,2.020%,0.0,19091.008,1.0,139.93,26.71405,,,0.000%,0.004%,0.000%
170,9655,מדינת ישראל,ממצמ 0545,IL0011348658,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,17.67,2045-05-31,1.000%,2.070%,0.0,308346.687,1.0,99.57,307.0208,,,0.001%,0.044%,0.002%
170,9655,מדינת ישראל,ממצמ 1025,IL0011359127,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,0.08,2025-10-31,0.750%,9.560%,0.0,696863.512,1.0,119.27,831.14911,,,0.007%,0.120%,0.005%
170,9655,מדינת ישראל,ממצמ 0527,IL0011408478,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,1.65,2027-05-31,0.750%,2.090%,0.0,85530613.013,1.0,117.66,100635.31927,,,0.351%,14.578%,0.608%
170,9655,מדינת ישראל,ממצמ 0529,IL0011570236,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,3.63,2029-05-31,0.500%,1.930%,0.0,33172319.153,1.0,113.0,37484.72064,,,0.113%,5.430%,0.226%
170,9655,מדינת ישראל,ממצמ 1151,IL0011683013,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,23.99,2051-11-30,0.500%,2.140%,0.0,2405104.156,1.0,80.45,1934.90629,,,0.008%,0.280%,0.012%
170,9655,מדינת ישראל,ממצמ 0726,IL0011695645,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,0.82,2026-07-31,0.100%,2.670%,0.0,13810889.108,1.0,116.31,16063.44512,,,0.068%,2.327%,0.097%
170,9655,מדינת ישראל,ממצמ 1131,IL0011722209,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,6.14,2031-11-30,0.100%,1.900%,0.0,75067422.421,1.0,106.54,79976.83185,,,0.219%,11.585%,0.483%
170,9655,מדינת ישראל,ממצמ 1028,IL0011973265,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,3.01,2028-10-31,1.100%,1.990%,0.0,161936151.763,1.0,105.65,171085.54434,,,0.481%,24.783%,1.034%
170,9655,מדינת ישראל,ממצמ 1033,IL0012043795,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,7.53,2033-10-31,1.600%,1.950%,0.0,23126.002,1.0,105.4,24.37481,,,0.000%,0.004%,0.000%
