מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מספר מזהה לווה,סוג מספר מזהה לווה,שם הלוואה,מספר הלוואה,מאפיין עיקרי,מאפיין הלוואות מתואמות עבור זכויות מקרקעין,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,ענף מסחר,בעל עניין/צד קשור,קונסורציום/ סינדיקציה,מספר קונסורציום/ סינדיקציה,תאריך העמדת הלוואה,דירוג,שם מדרג,דירוג הלוואה/המנפיק,מטבע פעילות,"מח""מ",סוג הריבית,שיעור ריבית,סוג הצמדה,ריבית עוגן,שיעור תוספת/הפחתה לריבית העוגן,תשואה לפדיון,מועד פדיון,נחיתות חוזית,סוג בטוחה,שווי הבטוחות העומדות כנגד ההלוואה,שיעור הבטוחות מהחוב,מועד עדכון אחרון לשווי הבטוחות,זכות חזרה,מבנה לוח סילוקין,יעוד הלוואה,זכות פירעון מוקדם,סוג גורם משערך,שם גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,תאריך אחרון בו נבחנה בפועל ירידת ערך,שיעור ריבית בגין אי-ניצול מסגרת האשראי,ערך נקוב,שער הלוואה,שער חליפין,"שווי הוגן (באלפי ש""ח)",שווי הוגן (במטבע הפעילות),"עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),האם סווג כחוב בעייתי,השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
170,2002,197.0,פנימי,הלוואה לגורם 197,999000067,עמית/מבוטח,,ישראל,,אנשים פרטיים,לא,לא,,2021-04-08,AA+,פנימי,הלוואה,ILS,0.0,אחר,0.000%,,,,0.000%,2030-10-21,החוב לא נחות,,,,,,,,לא,אחר,,אי-תלות,2025-09-01,,,132370534.67,123.51995812936455,1.0,163504.0286,163504.029,,,,,5.108%,0.295%
170,2002,198.0,פנימי,הלוואה לגורם 198,333460100,אחר,,ישראל,,אנשים פרטיים,לא,לא,,2018-03-01,AA+,אחר,הלוואה,ILS,4.5,אחר,3.640%,,,,3.640%,2037-10-21,החוב לא נחות,,,,,,,,לא,אחר,,אי-תלות,2025-09-30,,,43874100.6381411,121.1393994,1.0,53148.82227,53148.822,,,,,1.661%,0.096%
170,2002,198.0,פנימי,הלוואה לגורם 198,333460004,אחר,,ישראל,,אנשים פרטיים,לא,לא,,2018-03-01,AA+,אחר,הלוואה,ILS,4.5,אחר,3.630%,,,,3.600%,2037-10-21,החוב לא נחות,,,,,,,,לא,אחר,,אי-תלות,2025-09-30,,,23048223.7271718,110.5926005,1.0,25489.62987,25489.63,,,,,0.796%,0.046%
170,2002,199.0,פנימי,הלוואה לגורם 199,2080261,אחר,,ישראל,,אנשים פרטיים,לא,לא,,2018-01-31,NR,NR,NR,ILS,5.05,משתנה,8.827%,,,,7.070%,2034-01-01,החוב לא נחות,,,,,,,,לא,חברת ציטוט,,אי-תלות,2025-09-30,,,4536420.32,99.98,1.0,4535.51303,4535.513,,,,,0.142%,0.008%
170,2002,199.0,פנימי,הלוואה לגורם 199,2080262,אחר,,ישראל,,אנשים פרטיים,לא,לא,,2018-01-31,NR,NR,NR,ILS,6.14,קבועה,2.500%,,,,6.960%,2034-01-01,החוב לא נחות,,,,,,,,לא,חברת ציטוט,,אי-תלות,2025-09-30,,,2074834.2,97.6,1.0,2025.03818,2025.038,,,,,0.063%,0.004%
170,2002,199.0,פנימי,הלוואה לגורם 199,2080263,אחר,,ישראל,,אנשים פרטיים,לא,לא,,2018-01-31,NR,NR,NR,ILS,6.11,קבועה,4.090%,,,,5.780%,2045-05-31,החוב לא נחות,,,,,,,,לא,חברת ציטוט,,אי-תלות,2025-09-30,,,1980309.06,106.19,1.0,2102.89019,2102.89,,,,,0.066%,0.004%
170,2002,199.0,פנימי,הלוואה לגורם 199,2080264,אחר,,ישראל,,אנשים פרטיים,לא,לא,,2018-01-31,NR,NR,NR,ILS,3.55,קבועה,4.950%,,,,6.150%,2035-05-31,החוב לא נחות,,,,,,,,לא,חברת ציטוט,,אי-תלות,2025-09-30,,,884261.85,97.73,1.0,864.1891,864.189,,,,,0.027%,0.002%
170,2002,199.0,פנימי,הלוואה לגורם 199,20802611,אחר,,ישראל,,אנשים פרטיים,לא,לא,,2019-05-02,NR,NR,NR,ILS,7.27,אחר,8.827%,,,,4.320%,2034-01-01,החוב לא נחות,,,,,,,,לא,אחר,,אי-תלות,2025-08-19,,,-26.59,200900.0,1.0,-53.41931,-53.419,,,,,-0.002%,-0.000%
170,2002,199.0,פנימי,הלוואה לגורם 199,20802644,אחר,,ישראל,,אנשים פרטיים,לא,לא,,2019-05-02,NR,NR,NR,ILS,4.52,אחר,4.950%,,,,4.030%,2035-05-31,החוב לא נחות,,,,,,,,לא,אחר,,אי-תלות,2025-08-19,,,-16.45756108,8768.7,1.0,-1.44311,-1.443,,,,,-0.000%,-0.000%
170,2002,199.0,פנימי,הלוואה לגורם 199,2080407,אחר,,ישראל,,אנשים פרטיים,לא,לא,,2019-12-23,NR,NR,NR,ILS,5.34,קבועה,5.300%,,,,5.830%,2047-05-31,החוב לא נחות,,,,,,,,לא,חברת ציטוט,,אי-תלות,2025-09-30,,,1430295.14552545,98.08,1.0,1402.83348,1402.833,,,,,0.044%,0.003%
