מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מאפיין עיקרי,שם שותף כללי קרן השקעות,מספר מזהה שותף כללי קרן השקעות,סוג מספר מזהה שותף כללי קרן השקעות,שם קרן השקעה,מספר מזהה קרן השקעה,סוג מספר מזהה קרן השקעות,מטבע פעילות,תאריך העמדת התחייבות לקרן השקעה,סכום המחויבות הראשוני (במטבע הדיווח של קרן ההשקעה),"סכום המחויבות הראשוני (באלפי ש""ח)",יתרת המחויבות לתקופת הדיווח (במטבע הדיווח של קרן ההשקעה),"יתרת המחויבות לתקופת הדיווח (באלפי ש""ח)",שיעור יתרת המחויבות,תאריך פקיעת מחויבות להשקעה
170,9654,התחייבות להשקעה,Grove Ventures,,,Grove Ventures II,89211.0,פנימי,USD,2019-12-15,2781.266,9728.867,396.749,1311.652,14.265%,2029-11-30
170,9654,התחייבות להשקעה,Amiti,,,Amiti III,89228.0,פנימי,USD,2020-03-24,2901.886,10615.098,919.541,3040.003,31.688%,2030-03-24
170,9654,התחייבות להשקעה,ECV IL OPP GP I L.P,,,ECV IL OPP I,89255.0,פנימי,USD,2020-11-01,2632.0,8948.8,219.226,724.761,8.329%,2028-05-19
170,9654,התחייבות להשקעה,Pontifax Venture Capital,,,Pontifax Israel VI,89256.0,פנימי,USD,2020-10-27,3687.2,12470.11,1165.532,3853.249,31.610%,2031-03-01
170,9654,התחייבות להשקעה,Glilot Capital Partners,,,Glilot Early Growth Fund I,89265.0,פנימי,USD,2020-12-31,2256.0,7253.04,201.556,666.344,8.934%,2029-08-15
170,9654,התחייבות להשקעה,FinTLV Ventures,,,FinTLV II,89268.0,פנימי,USD,2021-01-28,4627.0,15241.338,558.921,1847.794,12.080%,2030-01-31
170,9654,התחייבות להשקעה,New Era Capital Partners GP III L.P,,,New Era Capital Partners III,89548.0,פנימי,USD,2025-06-10,5119.4,17835.99,2719.505,8990.683,53.122%,2029-06-19
170,9654,התחייבות להשקעה,Glilot Early Growth II General Partner L.P,,,Glilot Early Growth Fund II,89539.0,פנימי,USD,2025-04-27,5119.4,18491.273,4492.273,14851.455,87.750%,2027-10-23
170,9654,התחייבות להשקעה,Reality Investment Funds,,,Reality Real Estate Investment Fund IV,89193.0,פנימי,ILS,2019-04-15,15854.995,15854.995,3177.084,3177.084,20.038%,2027-04-15
170,9654,התחייבות להשקעה,"ג'יי.טי.אל.וי 3 (ש.כ.) בע""מ",,,JTLV 3,89379.0,פנימי,ILS,2022-04-10,37280.0,37280.0,7139.416,7139.416,19.151%,2030-05-01
170,9654,התחייבות להשקעה,"תימורה קרן נדל""ן שותף כללי בע""מ",,,Timora Real Estate Fund,89337.0,פנימי,ILS,2021-12-20,23580.0,23580.0,622.986,622.986,2.642%,2030-12-20
170,9654,התחייבות להשקעה,"אלוג'יו ניהול נכסים (רנט איט) בע""מ",,,Rent It,89392.0,פנימי,ILS,2022-03-16,4428.0,4428.0,355.811,355.811,8.035%,2032-03-16
170,9654,התחייבות להשקעה,Pontifax Venture Capital,,,Pontifax Medison Finance,89192.0,פנימי,USD,2019-04-15,2781.0,9903.141,1298.746,4293.656,46.701%,2026-04-15
170,9654,התחייבות להשקעה,Helios Energy Investments,,,Helios Spain PV,89197.0,פנימי,EUR,2019-06-07,1795.491,7283.052,498.8,1935.694,27.781%,2029-06-07
170,9654,התחייבות להשקעה,Helios Energy Investments,,,Helios 3 Biogas UK 1,89199.0,פנימי,GBP,2019-06-04,3143.536,14399.596,210.169,933.342,6.686%,2029-06-30
170,9654,התחייבות להשקעה,Klirmark,,,Klirmark Opportunity Fund III,89209.0,פנימי,ILS,2019-07-04,56808.21,56808.21,6138.773,6138.773,10.806%,2027-07-04
170,9654,התחייבות להשקעה,Vintage Investment Partners,,,Vintage Growth Fund III,89213.0,פנימי,USD,2019-11-13,3688.009,12889.593,826.38,2732.011,22.407%,2028-12-31
170,9654,התחייבות להשקעה,Green Lantern Group,,,Green Lantern V,89222.0,פנימי,ILS,2019-12-29,14833.483,14833.483,2880.535,2880.535,19.419%,2030-01-28
170,9654,התחייבות להשקעה,Fortissimo Capital,,,Fortissimo Capital Fund V,89229.0,פנימי,USD,2019-11-26,8621.923,29857.721,170.982,565.265,1.983%,2029-12-31
170,9654,התחייבות להשקעה,Israel Infrastructure Fund,,,Israel Infrastructure Fund IV,89259.0,פנימי,USD,2020-11-16,4110.0,13793.16,743.332,2457.457,18.086%,2030-12-07
170,9654,התחייבות להשקעה,Noy Fund,,,Noy 4 Infrastructure and Energy Investments,89283.0,פנימי,ILS,2021-03-14,33236.057,33236.057,7764.978,7764.978,23.363%,2033-03-14
170,9654,התחייבות להשקעה,FIMI Opportunity Funds,,,Fimi Israel Opportunity 7,89287.0,פנימי,USD,2020-12-10,11732.0,38140.732,4975.351,16448.511,42.408%,2031-06-01
