מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,ענף מסחר,בעל עניין/צד קשור,תאריך רכישה,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,"מח""מ",מועד פדיון,תשואה לפדיון,שיעור ריבית,נחיתות חוזית,האם סווג כחוב בעייתי,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,תאריך אחרון בו נבחנה בפועל ירידת ערך,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
170,2002,"מנורה מבטחים גיוס הון בע""מ",513937714.0,ח.פ.,מנורה מבטחים אגח ג נשר,IL0011319113,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,ביטוח,לא,2014-04-02,Aa3,מידרוג Moodys,נייר ערך,ILS,1.924,2027-10-01,2.450%,3.300%,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,13124460.6822263,1.0,123.29,16181.14758,,,,3.064%,0.029%
170,2002,"בנק דיסקונט לישראל בע""מ",520007030.0,ח.פ.,"ש""ה דיסקונט 4.17% 23/12/25",999999743,פנימי,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,בנקים,לא,2010-12-23,Aa1,מידרוג Moodys,נייר ערך,ILS,0.23,2025-12-23,2.470%,4.170%,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,16500000.0,1.0,129.75,21408.75,,,,4.054%,0.039%
170,2002,"בנק לאומי לישראל בע""מ",520018078.0,ח.פ.,"ש""ה לאומי 3.75% 22/12/25",999999744,פנימי,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,בנקים,לא,2010-12-22,AA+,S&P מעלות,נייר ערך,ILS,0.227,2025-12-22,2.460%,3.750%,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,42500000.0,1.0,129.24,54927.0,,,,10.402%,0.099%
170,2002,"בנק דיסקונט לישראל בע""מ",520007030.0,ח.פ.,"ש""ה דיסקונט 4.14% 24/03/26",999999762,פנימי,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,בנקים,לא,2011-03-24,Aa1,מידרוג Moodys,נייר ערך,ILS,0.479,2026-03-24,2.470%,4.140%,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,60000000.0,1.0,127.81,76686.0,,,,14.523%,0.138%
170,2002,מתקן התפלת מים באשקלון VID,513365098.0,ח.פ.,וי.אי.די התפלת מי אשקלון מאוחד 07/06 נשר,IL0010979974,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,שירותים פיננסיים,לא,2006-04-22,AA,S&P מעלות,נייר ערך,ILS,0.06,2025-10-22,2.840%,7.750%,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,106458.587307906,1.0,149.14,158.77234,,,,0.030%,0.000%
170,2002,"מקורות חברת מים בע""מ",520010869.0,ח.פ.,מקורות אגח 6 רצף מוסדי,IL0011009086,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,שירותים,לא,2006-12-25,AAA,S&P מעלות,נייר ערך,ILS,4.984,2036-12-25,2.720%,4.900%,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,30000309.879038,1.0,164.64,49392.51018,,,,9.354%,0.089%
170,2002,"נתיבי הגז הטבעי לישראל בע""מ",513436394.0,ח.פ.,נתיבי גז אגח א רצף מוסדי,IL0011030843,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,שירותים,לא,2007-01-02,Aaa,מידרוג Moodys,נייר ערך,ILS,0.584,2026-12-29,2.830%,5.600%,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,5909451.18768963,1.0,147.67,8726.48657,,,,1.653%,0.016%
170,2002,"מקורות חברת מים בע""מ",520010869.0,ח.פ.,מקורות אגח 8 רצף מוסדי,IL0011243461,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,שירותים,לא,2011-07-14,AAA,S&P מעלות,נייר ערך,ILS,9.449,2048-07-14,2.770%,4.100%,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,61190056.7347369,1.0,139.55,85390.72417,,,,16.171%,0.154%
170,2002,"נתיבי הגז הטבעי לישראל בע""מ",513436394.0,ח.פ.,נתיבי גז אגח ג רצף מוסדי,IL0011255093,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,שירותים,לא,2012-01-02,Aaa,מידרוג Moodys,נייר ערך,ILS,3.041,2031-12-31,2.840%,4.930%,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,17337375.5312505,1.0,131.46,22791.71387,,,,4.316%,0.041%
170,2002,תשתיות אנרגיה בעמ,520027293.0,ח.פ.,תשתיות נפט ואנרגיה אגח א רצף מוסדי,IL0011680878,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,אנרגיה,לא,2020-08-17,Aaa,מידרוג Moodys,נייר ערך,ILS,7.07,2040-12-30,2.660%,0.830%,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,27611842.2192197,1.0,104.54,28865.41986,,,,5.467%,0.052%
170,2002,רשות שדות התעופה בישראל,500102868.0,ח.פ.,רשות שדות התעופה אגח א רצף מוסדי,IL0011873358,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,שירותים,לא,2022-06-29,Aaa,מידרוג Moodys,נייר ערך,ILS,3.257,2031-12-31,2.850%,1.550%,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,13533274.0696006,1.0,108.19,14641.64921,,,,2.773%,0.026%
170,2002,רשות שדות התעופה בישראל,500102868.0,ח.פ.,רשות שדות התעופה אגח ב רצף מוסדי,IL0011873432,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,שירותים,לא,2022-06-29,Aaa,מידרוג Moodys,נייר ערך,ILS,6.166,2036-12-31,2.850%,1.750%,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,9649460.63345746,1.0,105.54,10184.04075,,,,1.929%,0.018%
