מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,נכס בסיס (כתב אופציה),ענף מסחר,תאריך פקיעה,בעל עניין/צד קשור,תאריך רכישה,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,שער מימוש,יחס המרה,ערך נקוב (יחידות),שער נייר הערך,שער חליפין,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
170,2002,"אלקטריאון וירלס בע""מ",520038126,ח.פ.,אלקטריאון אופציה לא סחירה 9.2027,99368019.0,פנימי,ישראל,ישראל,לא סחיר,IL0003680191,קלינטק,2027-09-01,לא,2023-06-28,ILS,אחר,אי-תלות,2025-09-30,9500.0,1.0,96728.887539899,908.47,1.0,878.75292,3.153%,0.002%
170,2002,"שיכון ובינוי בע""מ - שכון ובינוי אחזקות",520036104,ח.פ.,שיכון ובינוי אופציה לא סחירה,99368125.0,פנימי,ישראל,ישראל,לא סחיר,IL0010819428,בנייה,2025-10-18,לא,2023-10-18,ILS,אחר,אי-תלות,2025-09-30,1100.0,1.0,1999475.42,412.45,1.0,8246.83636,29.586%,0.015%
170,2002,Mayers cars and trucks company limited,510485261,ח.פ.,Mayers cars and trucks Options,99368127.0,פנימי,ישראל,ישראל,לא סחיר,89430,מסחר,2026-05-16,לא,2023-12-31,ILS,אחר,אי-תלות,2025-09-30,515.4,1.0,35095.83,48.76,1.0,1711.27267,6.139%,0.003%
170,2002,"אפריקה ישראל מגורים בע""מ",520034760,ח.פ.,אפריקה מגורים אופציה לא סחירה,99368129.0,פנימי,ישראל,ישראל,לא סחיר,IL0010979487,בנייה,2027-06-30,לא,2024-01-09,ILS,אחר,אי-תלות,2025-09-30,24000.0,1.0,55627.34,9386.45,1.0,5221.43245,18.732%,0.009%
170,2002,רוטשטיין,520039959,ח.פ.,רוטשטיין אופציה לא סחירה,99368132.0,פנימי,ישראל,ישראל,לא סחיר,IL0005390153,בנייה,2026-04-10,לא,2024-05-08,ILS,אחר,אי-תלות,2025-09-30,4500.0,1.0,92464.074564678,4693.5,1.0,4339.80134,15.569%,0.008%
170,2002,י.ח.דמרי בניה ופיתוח,511399388,ח.פ.,דמרי אופציה לא סחירה,99368055.0,פנימי,ישראל,ישראל,לא סחיר,IL0010903156,בנייה,2025-12-13,לא,2024-10-14,ILS,אחר,אי-תלות,2025-09-30,36000.0,1.0,8654.637379254,2663.86,1.0,230.54742,0.827%,0.000%
170,2002,אלומיי קפיטל בעמ דואלי,520039868,ח.פ.,אלומיי אופציה לא סחירה,99368087.0,פנימי,ישראל,ישראל,לא סחיר,IL0010826357,אנרגיה מתחדשת,2027-08-16,לא,2025-06-23,ILS,אחר,אי-תלות,2025-09-30,6970.0,1.0,36719.0,742.34,1.0,272.57982,0.978%,0.000%
170,2002,איסתא,520042763,ח.פ.,איסתא אופציה לא סחירה,99368089.0,פנימי,ישראל,ישראל,לא סחיר,IL0010810740,מלונאות ותיירות,2029-07-10,לא,2025-07-15,ILS,אחר,אי-תלות,2025-09-30,16000.0,1.0,48879.838521573,911.57,1.0,445.57394,1.599%,0.001%
170,2002,אקסל סולושנס גרופ בעמ,520031345,ח.פ.,אקסל אופציה לא סחירה,99368099.0,פנימי,ישראל,ישראל,לא סחיר,IL0007700169,שירותי מידע,2027-06-24,לא,2025-08-24,ILS,אחר,אי-תלות,2025-09-30,220.0,1.0,2043943.51848049,15.3,1.0,312.72336,1.122%,0.001%
170,2002,"איילון חברה לביטוח בע""מ",520030677,ח.פ.,איילון אופציה לא סחירה,99368100.0,פנימי,ישראל,ישראל,לא סחיר,IL0002090152,ביטוח,2026-06-30,לא,2025-09-03,ILS,אחר,אי-תלות,2025-09-30,7500.0,1.0,96079.419880157,318.33,1.0,305.84962,1.097%,0.001%
