מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,נכס בסיס,תאריך רכישה,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,"מח""מ",שיעור ריבית,תשואה לפדיון,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
170,2002,IDE,550275648.0,מספר שותפות,חוב מובנה IDE,2080200,פנימי,קרן מובטחת,ישראל,ישראל,לא,מדד המחירים לצרכן,2017-12-06,NR,NR,NR,ILS,4.25,7.000%,0.000%,מומחה בלתי תלוי,אי-תלות,2025-09-30,5608531.86,1.0,185.836746,10422.71311,1.791%,0.019%
170,2002,"בנק לאומי לישראל בע""מ",520018078.0,ח.פ.,לאומי אגח 1 רצף מוסדי,IL0011986390,ISIN,קרן לא מובטחת,ישראל,ישראל,לא,"ריבית ואג""ח",2023-08-07,NR,NR,NR,ILS,1.19,6.800%,6.100%,חברת ציטוט,אי-תלות,2025-09-30,3842730.03233914,1.0,100.51,3862.32796,0.664%,0.007%
170,2002,"בנק לאומי לישראל בע""מ",520018078.0,ח.פ.,לאומי אגח 2 רצף מוסדי,IL0012058975,ISIN,קרן לא מובטחת,ישראל,ישראל,לא,"ריבית ואג""ח",2024-04-17,NR,NR,NR,ILS,4.24,6.800%,6.050%,חברת ציטוט,אי-תלות,2025-09-30,56770392.8815075,1.0,101.46,57599.24062,9.896%,0.104%
170,2002,"שפיר מגורים ובניין בע""מ",514103142.0,ח.פ.,שפיר הלוואה CLN,2080856,פנימי,קרן לא מובטחת,ישראל,ישראל,לא,אחר,2024-06-20,NR,NR,NR,ILS,0.3,3.610%,3.950%,חברת ציטוט,אי-תלות,2025-09-30,23970242.5782673,1.0,104.5,25048.90349,4.304%,0.045%
170,2002,א.ק.מ דה וינצ'י בכנרית שותפות מוגבלת,550261952.0,מספר שותפות,א.ק.מ. דה וינצ'י הלוואה CLN,2080857,פנימי,קרן לא מובטחת,ישראל,ישראל,לא,אחר,2024-06-20,NR,NR,NR,ILS,1.8,3.830%,3.740%,חברת ציטוט,אי-תלות,2025-09-30,36810124.8267198,1.0,104.87,38602.7779,6.632%,0.070%
170,2002,"מליסרון בע""מ",520037789.0,ח.פ.,קניון רמת אביב הלוואה CLN,2080858,פנימי,קרן לא מובטחת,ישראל,ישראל,לא,אחר,2024-06-20,AA,S&P מעלות,מנפיק,ILS,1.74,3.870%,4.410%,חברת ציטוט,אי-תלות,2025-09-30,89783522.2048371,1.0,103.78,93177.33934,16.008%,0.168%
170,2002,אקרו בניה ותשתית (ל.כ) 2017 שותפות מוגבלת,550277115.0,מספר שותפות,מגדל אקרו ONE הלוואה CLN,2080859,פנימי,קרן לא מובטחת,ישראל,ישראל,לא,אחר,2024-06-20,NR,NR,NR,ILS,4.12,4.020%,3.630%,חברת ציטוט,אי-תלות,2025-09-30,45616183.495592,1.0,106.51,48585.79704,8.347%,0.088%
170,2002,"אפריים רוגובין בע""מ",510597842.0,ח.פ.,מגדל אפריים ONE הלוואה CLN,2080860,פנימי,קרן לא מובטחת,ישראל,ישראל,לא,אחר,2024-06-20,NR,NR,NR,ILS,4.12,4.020%,3.630%,חברת ציטוט,אי-תלות,2025-09-30,45616183.495592,1.0,106.51,48585.79704,8.347%,0.088%
170,2002,"בנק הפועלים בע""מ",520000118.0,ח.פ.,פועלים אגח 1 רצף מוסדי,IL0012117474,ISIN,קרן מובטחת,ישראל,ישראל,לא,"ריבית ואג""ח",2024-09-24,NR,NR,NR,ILS,1.91,6.750%,5.730%,חברת ציטוט,אי-תלות,2025-09-30,14175467.3122832,1.0,101.09,14329.97991,2.462%,0.026%
170,2002,"מכלול מימון נדל""ן בע""מ",515759777.0,ח.פ.,מכלול נדלן אגח 2 רצף מוסדי,IL0012151937,ISIN,קרן מובטחת,ישראל,ישראל,לא,אחר,2024-12-25,A3,מידרוג Moodys,מנפיק,ILS,2.07,7.000%,7.080%,חברת ציטוט,אי-תלות,2025-09-30,5457128.07969837,1.0,101.55,5639.12003,0.969%,0.010%
