מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מספר מזהה לווה,סוג מספר מזהה לווה,שם הלוואה,מספר הלוואה,תאריך העמדת מסגרת אשראי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,דירוג,שם מדרג,דירוג הלוואה/המנפיק,מטבע פעילות,שער חליפין,שיעור ריבית,סוג הריבית,סכום מסגרת האשראי הראשוני (במטבע הפעילות),"סכום מסגרת האשראי הראשוני (באלפי ש""ח)",שיעור יתרת מסגרת אשראי
170,2002,194.0,פנימי,הלוואה לגורם 194,2080645.0,2022-12-25,ישראל,,לא,NR,NR,NR,ILS,1.0,8.500%,משתנה,21959.899,21959.899,46.868%
170,2002,194.0,פנימי,הלוואה לגורם 194,2080646.0,2022-12-25,ישראל,,לא,NR,NR,NR,ILS,1.0,13.100%,משתנה,2583.541,2583.541,46.868%
170,2002,179.0,פנימי,הלוואה לגורם 179,2080533.0,2021-06-30,ישראל,,לא,A-,S&P מעלות,הלוואה,ILS,1.0,7.150%,משתנה,75952.597,75952.597,12.352%
170,2002,182.0,פנימי,הלוואה לגורם 182,2080536.0,2021-06-30,ישראל,,לא,NR,NR,NR,ILS,1.0,7.250%,משתנה,148305.707,148305.707,26.718%
170,2002,174.0,פנימי,הלוואה לגורם 174,2080688.0,2022-12-31,ישראל,,לא,NR,NR,NR,ILS,1.0,4.000%,קבועה,43587.822,43587.822,59.388%
170,2002,45.0,פנימי,הלוואה לגורם 45,2080277.0,2018-06-13,ישראל,,לא,Aa2,מידרוג Moodys,הלוואה,EUR,3.8807,3.300%,משתנה,910.762,3534.394,54.954%
170,2002,203.0,פנימי,הלוואה לגורם 203,2080744.0,2022-12-18,ישראל,,לא,A1,מידרוג Moodys,הלוואה,ILS,1.0,6.600%,משתנה,161607.641,161607.641,69.964%
170,2002,174.0,פנימי,הלוואה לגורם 174,2080662.0,2022-12-31,ישראל,,לא,NR,NR,NR,ILS,1.0,5.000%,קבועה,124643.628,124643.628,53.840%
170,2002,186.0,פנימי,הלוואה לגורם 186,2080622.0,2022-04-30,ישראל,,לא,BBB+,S&P מעלות,הלוואה,ILS,1.0,2.820%,קבועה,94270.947,94270.947,14.194%
170,2002,154.0,פנימי,הלוואה לגורם 154,2080571.0,2018-08-01,ישראל,,לא,A1,מידרוג Moodys,הלוואה,ILS,1.0,6.600%,משתנה,48624.279,48624.279,14.002%
170,2002,185.0,פנימי,הלוואה לגורם 185,2080574.0,2023-09-11,ישראל,,לא,BBB+,S&P מעלות,הלוואה,ILS,1.0,1.370%,קבועה,24275.515,24275.515,7.107%
170,2002,202.0,פנימי,הלוואה לגורם 202,2080749.0,2023-09-21,ישראל,,לא,NR,NR,NR,ILS,1.0,3.940%,קבועה,41806.502,41806.502,54.517%
170,2002,250.0,פנימי,הלוואה לגורם 250,2080765.0,2023-10-26,ישראל,,לא,NR,NR,NR,ILS,1.0,3.390%,קבועה,46310.181,46310.181,10.588%
170,2002,113.0,פנימי,הלוואה לגורם 113,8261018.0,2023-11-15,ישראל,,לא,Aa1,NR,מנפיק,ILS,1.0,3.850%,קבועה,161497.719,161497.719,97.499%
170,2002,19685.0,פנימי,הלוואה לגורם 19685,2080801.0,2023-12-20,ישראל,,לא,A+,S&P מעלות,הלוואה,ILS,1.0,6.900%,משתנה,119007.239,119007.239,83.489%
170,2002,1840.0,פנימי,הלוואה לגורם  1840,2080841.0,2024-04-21,ישראל,,לא,A3,מידרוג Moodys,הלוואה,ILS,1.0,6.500%,משתנה,25174.957,25174.957,8.545%
170,2002,19780.0,פנימי,הלוואה לגורם  19780,2080853.0,2024-06-01,ישראל,,לא,NR,NR,NR,USD,3.306,9.300%,משתנה,11931.404,39445.221,1.008%
170,2002,19803.0,פנימי,הלוואה לגורם  19803,2080880.0,2024-08-07,ישראל,,לא,NR,NR,NR,ILS,1.0,4.990%,קבועה,64987.318,64987.318,67.262%
170,2002,19862.0,פנימי,הלוואה לגורם  19862,2080921.0,2024-11-14,ישראל,,לא,NR,NR,NR,USD,3.306,10.700%,משתנה,8390.139,27737.799,60.018%
