מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,זירת מסחר,ענף מסחר,בעל עניין/צד קשור,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,"מח""מ",ריבית עוגן,מועד פדיון,שיעור ריבית,תשואה לפדיון,נחיתות חוזית,האם סווג כחוב בעייתי,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,סכום לקבל (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
170,15433,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
170,15432,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
170,15092,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
170,14233,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
170,14232,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
170,13347,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
170,13213,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
170,12176,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
170,12177,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
170,9656,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
170,9655,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
170,9654,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
170,9648,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
170,9647,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
170,9650,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
170,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
170,2205,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
170,9649,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
170,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
667,15434,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
667,15435,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
667,15091,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
667,14231,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
667,14238,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
667,13698,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
667,14795,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
667,13214,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
667,12251,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
667,9635,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
667,9634,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
667,9633,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
667,2206,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
667,2176,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
