מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם הנכס האחר,מספר הנכס האחר,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,תאריך עסקה,מטבע פעילות,תאריך שערוך אחרון,שווי מטבעי,שער חליפין,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
170,12177,אול יר אגח ב,IL0011397812,אחר,ישראל,ישראל,לא,2017-01-11,ILS,2024-07-16,20.996,1.0,20.99616,,,0.030%,0.000%
170,12177,אול יר אגח ד,IL0011412744,אחר,ישראל,ישראל,לא,2017-07-30,ILS,2024-07-16,5.264,1.0,5.26449,,,0.007%,0.000%
170,12177,אול יר אגח ה,IL0011433047,אחר,ישראל,ישראל,לא,2007-03-27,ILS,2024-07-16,0.747,1.0,0.74687,,,0.001%,0.000%
170,12177,חייבים זכאים תפעולי,60101335,חייבים וזכאים,ישראל,ישראל,לא,2018-04-12,ILS,2025-09-30,70828.273,1.0,70828.27285,,,99.682%,0.670%
170,12177,מס לקבל מפעל מאושר שנת 2025,20805062,חייבים וזכאים מס,ישראל,ישראל,לא,2024-01-08,ILS,2024-01-08,16.56,1.0,16.55992,,,0.023%,0.000%
170,12177,מס לקבל 2019-2023 אירו  להחזר מ WTAX,999999440,חייבים וזכאים מס,ישראל,ישראל,לא,2022-06-30,EUR,2025-09-30,0.271,3.8807,1.05141,,,0.001%,0.000%
170,12177,מס לקבל 2025 מניות דואליות  בישראל דולר,999999499,חייבים וזכאים מס,ישראל,ישראל,לא,2022-06-30,USD,2025-09-30,8.549,3.306,28.26344,,,0.040%,0.000%
170,12177,מס לקבל 2025 דולר קנדי להחזר מ WTAX,20803056,חייבים וזכאים מס,ישראל,ישראל,לא,2023-03-06,CAD,2025-09-30,7.803,2.3745,18.52734,,,0.026%,0.000%
170,12177,מס לקבל דולר בוני בגין שנים 2019-2023,20805061,חייבים וזכאים מס,ישראל,ישראל,לא,2023-09-27,USD,2025-09-30,19.864,3.306,65.67038,,,0.092%,0.001%
170,12177,מס לקבל דולר 2019-2023  להחזר מ WTAX,99368085,חייבים וזכאים מס,ישראל,ישראל,לא,2025-05-28,USD,2025-09-30,0.926,3.306,3.06133,,,0.004%,0.000%
170,12177,חוז פנסיה וגמל בגין מס לקבל שנת 2022,99368090,חייבים וזכאים מס,ישראל,ישראל,לא,2025-07-27,USD,2025-09-30,3.853,3.306,12.73801,,,0.018%,0.000%
170,12177,מס לקבל 2024 דולר קנדי להחזר מ WTAX,99368105,חייבים וזכאים מס,ישראל,ישראל,לא,2025-09-11,CAD,2025-09-30,7.169,2.3745,17.02297,,,0.024%,0.000%
170,12177,מס לקבל 2019-2023 דולר קנדי להחזר מ WTAX,99368106,חייבים וזכאים מס,ישראל,ישראל,לא,2025-09-11,CAD,2025-09-30,11.989,2.3745,28.46709,,,0.040%,0.000%
170,12177,מס לקבל 2024 מניות דואליות  בישראל דולר,99368107,חייבים וזכאים מס,ישראל,ישראל,לא,2025-09-11,USD,2025-09-30,3.701,3.306,12.23453,,,0.017%,0.000%
170,12177,מס לקבל 2023 מניות דואליות  בישראל דולר,99368108,חייבים וזכאים מס,ישראל,ישראל,לא,2025-09-11,USD,2025-09-30,0.031,3.306,0.10269,,,0.000%,0.000%
170,12177,מס לקבל מפעל מאושר שנת 2024,99368109,חייבים וזכאים מס,ישראל,ישראל,לא,2025-09-14,USD,2025-09-30,0.39,3.306,1.28925,,,0.002%,0.000%
170,12177,מס לקבל דולר בוני בגין שנת 2025,99368111,חייבים וזכאים מס,ישראל,ישראל,לא,2025-09-17,USD,2025-09-30,2.046,3.306,6.76318,,,0.010%,0.000%
170,12177,מס לקבל דולר בוני בגין שנת 2024,99368112,חייבים וזכאים מס,ישראל,ישראל,לא,2025-09-17,USD,2025-09-30,2.053,3.306,6.78755,,,0.010%,0.000%
170,12177,מס לקבל אגח דולר בוני,99368113,חייבים וזכאים מס,ישראל,ישראל,לא,2025-09-17,USD,2025-09-30,115.672,3.306,382.41328,,,0.538%,0.004%
170,12177,חוז פנסיה וגמל בגין מס לקבל שנת 2023,99368094,חייבים וזכאים מס,ישראל,ישראל,לא,2025-09-30,USD,2025-09-30,4.267,3.306,14.1067,,,0.020%,0.000%
170,12177,קרן יוזמה - אבן דרך,2081030,חייבים וזכאים,ישראל,ישראל,לא,2025-07-31,USD,2025-07-31,-125.775,3.306,-415.8119,,,-0.585%,-0.004%
