מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם שותף כללי קרן השקעות,מספר מזהה שותף כללי קרן השקעות,סוג מספר מזהה שותף כללי קרן השקעות,שם קרן השקעה,מספר מזהה קרן השקעה,סוג מספר מזהה קרן השקעות,מאפיין עיקרי,אסטרטגיית קרן ההשקעה,"ישראל/חו""ל",מדינת התאגדות קרן השקעה,מיקום משרד השותף הכללי,מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,תאריך רכישה,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,שער חליפין,NAV (במטבע הדיווח של קרן ההשקעה),"שווי הוגן (באלפי ש""ח)",שיעור החזקה בקרן השקעה,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
170,2002,Vitalife Life Sciences Venture Capital,,,SCP Vitalife Partners II,89027,פנימי,פרייבט אקוויטי,,ישראל,,,ישראל,לא,2008-08-01,USD,דיווח מנהל הקרן,אי-תלות,2025-05-28,3.306,361.047,1193.62106,2.229%,0.017%,0.002%
170,2002,Vintage Investment Partners,,,Vintage Secondary Fund II Israel,89036,פנימי,פרייבט אקוויטי,,ישראל,,,ישראל,לא,2008-08-01,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,548.0,1811.68964,8.450%,0.025%,0.003%
170,2002,Plenus,,,Plenus III,89037,פנימי,פרייבט אקוויטי,,ישראל,,,ישראל,לא,2008-08-01,USD,דיווח מנהל הקרן,אי-תלות,2023-06-27,3.306,0.0,0.00109,2.500%,0.000%,0.000%
170,2002,JVP Media Quarter,,,JVP Media V,89046,פנימי,פרייבט אקוויטי,,ישראל,,,ישראל,לא,2008-09-03,USD,דיווח מנהל הקרן,אי-תלות,2025-09-08,3.306,654.348,2163.27589,17.626%,0.030%,0.004%
170,2002,Magma Venture Partners,,,Magma Venture Capital III Fund,89088,פנימי,פרייבט אקוויטי,,ישראל,,,ישראל,לא,2012-09-10,USD,דיווח מנהל הקרן,אי-תלות,2025-08-19,3.306,15757.457,52094.15136,4.286%,0.732%,0.094%
170,2002,Vintage Investment Partners,,,Vintage Growth Fund II,89118,פנימי,פרייבט אקוויטי,,ישראל,,,ישראל,לא,2015-05-25,USD,דיווח מנהל הקרן,אי-תלות,2025-08-12,3.306,3116.13,10301.92575,3.434%,0.145%,0.019%
170,2002,Bridgepoint Capital,,,Bridgepoint Europe V,89119,פנימי,פרייבט אקוויטי,,ישראל,,,אירופה,לא,2015-07-30,EUR,דיווח מנהל הקרן,אי-תלות,2025-08-13,3.8807,4075.39,15815.36629,0.221%,0.222%,0.029%
170,2002,Grove Ventures,,,Grove Ventures Capital,89169,פנימי,פרייבט אקוויטי,,ישראל,,,ישראל,לא,2017-10-25,USD,דיווח מנהל הקרן,אי-תלות,2025-05-21,3.306,4088.151,13515.42806,2.573%,0.190%,0.024%
170,2002,Grove Ventures,,,Grove Ventures II,89211,פנימי,פרייבט אקוויטי,,ישראל,,,ישראל,לא,2019-12-30,USD,דיווח מנהל הקרן,אי-תלות,2025-03-25,3.306,2326.191,7690.38677,2.317%,0.108%,0.014%
170,2002,Amiti,,,Amiti III,89228,פנימי,פרייבט אקוויטי,,ישראל,,,ישראל,לא,2020-04-07,USD,דיווח מנהל הקרן,אי-תלות,2025-08-31,3.306,1095.579,3621.9857,3.118%,0.051%,0.007%
