מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,זירת מסחר,סיווג הקרן,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,סכום לקבל (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)",שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
170,13347,מיטב קרנות נאמנות בעמ,513534974,ח.פ.,תכלית סל (4D) ‏‏S&P 500,IL0011443855,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,"ארה""ב",TASE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,1213759.90695509,1.0,25890.0,0.0,314242.43991,3.660%,3.728%,1.865%
170,13347,"קסם קרנות נאמנות בע""מ",510938608,ח.פ.,קסם 4Da) (PR) S&P 500),IL0011464711,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,"ארה""ב",TASE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,1998693.06039357,1.0,24260.0,0.0,484882.93645,7.558%,5.753%,2.877%
170,13347,"פסגות קרנות מדדים בע""מ",513767079,ח.פ.,פסגות S&P 500 (4D) ETF,IL0011481624,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,"ארה""ב",TASE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,1167787.81396178,1.0,21730.0,0.0,253760.29197,4.686%,3.011%,1.506%
170,13347,"הראל קרנות נאמנות בע""מ",511776783,ח.פ.,הראל סל (4D) ‏S&P 500,IL0011490203,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,"ארה""ב",TASE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,11478762.2450713,1.0,2569.0,0.0,294889.40208,4.584%,3.499%,1.750%
170,13347,מגדל קרנות נאמנות בעמ,511303661,ח.פ.,S&P 500 סל MTF מגדל,IL0011503336,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,"ארה""ב",TASE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,4977897.36366195,1.0,9467.0,0.0,471257.54342,6.496%,5.591%,2.796%
170,13347,"מור ניהול קרנות נאמנות (2013) בע""מ",514884485,ח.פ.,מור סל S&P 500,IL0011658106,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,"ארה""ב",TASE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,2690755.33170916,1.0,10950.0,0.0,294637.70882,4.358%,3.496%,1.748%
170,13347,State Street Bank and Trust Company,549300NZAMSJ8FXPQQ63,LEI,SPDR S&P 500 ETF TRUST,US78462F1030,ISIN,"עוקב אחר מדדי מניות בחו""ל","חו""ל","ארה""ב",NYSE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,USD,381094.906536367,3.306,66618.0,0.0,839320.02278,0.038%,9.958%,4.980%
170,13347,Invesco,635400KZRKKKNVCJXD85,LEI,INVESCO S&P 500 ACC,IE00B3YCGJ38,ISIN,"עוקב אחר מדדי מניות בחו""ל","חו""ל","ארה""ב",LSE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,USD,392274.994939618,3.306,132232.0,0.0,1714865.41374,1.086%,20.345%,10.175%
170,13347,Vanguard ETF/USA,5493002789CX3L0CJP65,LEI,VANGUARD S&P 500 ETF,US9229083632,ISIN,"עוקב אחר מדדי מניות בחו""ל","חו""ל","ארה""ב",NYSE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,USD,386898.327635797,3.306,61238.0,0.0,783286.60578,0.031%,9.293%,4.648%
170,13347,AMUNDI,549300JWBW5ZYYLO6033,LEI,AM CR SP 500 SP ETF USD DIST,LU0496786657,ISIN,"עוקב אחר מדדי מניות בחו""ל","חו""ל","ארה""ב",LSE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,USD,1433031.71154034,3.306,6859.75,0.0,324987.7107,0.379%,3.856%,1.928%
