מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,זירת מסחר,נכס בסיס,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
214,12027,Chicago Mercantile Exchange,SNZ2OJLFK8MNNCLQOF39,LEI,MINI NASDAQ 100 FU 12/25,NQZ5,טיקר,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,104.47,0.022332,148737087.167,3470.072,0.275,0.0
214,12027,Chicago Mercantile Exchange,SNZ2OJLFK8MNNCLQOF39,LEI,MINI S&P FU 12/25,ESZ5,טיקר,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,335.83,0.022332,65298194.865,4897.205,0.388,0.0
214,12027,Chicago Mercantile Exchange,SNZ2OJLFK8MNNCLQOF39,LEI,NIKKEI 225 FU 12/25,NXZ5,פנימי,"חו""ל",יפן,CME,מניות לרבות מדדי מניות,לא,USD,21.24,0.022332,79091069.776,375.154,0.03,0.0
214,12027,Chicago Mercantile Exchange,SNZ2OJLFK8MNNCLQOF39,LEI,US 10YR Ultra FU 12/25,UXYZ5,פנימי,"חו""ל","ארה""ב",אחר,"ריבית ואג""ח",לא,USD,196.36,0.022332,17231922.074,755.639,0.06,0.0
214,12027,Chicago Mercantile Exchange,SNZ2OJLFK8MNNCLQOF39,LEI,US ULTRA BOND FU 12/25,WNZ5,פנימי,"חו""ל","ארה""ב",אחר,"ריבית ואג""ח",לא,USD,150.66,0.022332,42759229.383,1438.651,0.114,0.0
214,12027,Eurex,529900LN3S50JPU47S06,LEI,EURO STOXX 50 FU 12/25,DE000C7GEHQ1,פנימי,"חו""ל",Developed Markets - Europe,EUREX,מניות לרבות מדדי מניות,לא,EUR,368.55,0.022332,20662165.775,1700.591,0.135,0.0
214,12028,Chicago Mercantile Exchange,SNZ2OJLFK8MNNCLQOF39,LEI,mini MSCI Emg Mkt FU 12/25,MESZ5,טיקר,"חו""ל","ארה""ב",ICE,מניות לרבות מדדי מניות,לא,USD,36.0,0.022332,11216714.431,90.177,0.067,0.0
214,12028,Chicago Mercantile Exchange,SNZ2OJLFK8MNNCLQOF39,LEI,MINI NASDAQ 100 FU 12/25,NQZ5,טיקר,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,5.0,0.022332,161861006.627,180.734,0.135,0.0
214,12028,Chicago Mercantile Exchange,SNZ2OJLFK8MNNCLQOF39,LEI,MINI S&P FU 12/25,ESZ5,טיקר,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,51.0,0.022332,68823863.058,783.857,0.584,0.001
214,12028,Chicago Mercantile Exchange,SNZ2OJLFK8MNNCLQOF39,LEI,NIKKEI 225 FU 12/25,NXZ5,פנימי,"חו""ל",יפן,CME,מניות לרבות מדדי מניות,לא,USD,2.0,0.022332,78830825.721,35.209,0.026,0.0
214,12028,Eurex,529900LN3S50JPU47S06,LEI,EURO STOXX 50 FU 12/25,DE000C7GEHQ1,פנימי,"חו""ל",Developed Markets - Europe,EUREX,מניות לרבות מדדי מניות,לא,EUR,50.0,0.022332,20974476.088,234.201,0.174,0.0
214,12028,ICE Futures Europe Financials,549300UF4R84F48NCH34,LEI,FTSE 100 IDX FU 12/25,GB00MP62WC98,פנימי,"חו""ל",בריטניה,ICE,מניות לרבות מדדי מניות,לא,GBP,3.0,0.022332,27243417.517,18.252,0.014,0.0
214,13415,Chicago Mercantile Exchange,SNZ2OJLFK8MNNCLQOF39,LEI,MINI S&P FU 12/25,ESZ5,פנימי,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,23.75,0.022332,57180538.665,303.277,1.0,0.0
214,14199,Chicago Mercantile Exchange,SNZ2OJLFK8MNNCLQOF39,LEI,MINI NASDAQ 100 FU 12/25,NQZ5,טיקר,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,4.58,0.022332,148545334.519,151.933,0.199,0.001
214,14199,Chicago Mercantile Exchange,SNZ2OJLFK8MNNCLQOF39,LEI,MINI S&P FU 12/25,ESZ5,טיקר,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,14.71,0.022332,65271102.562,214.418,0.28,0.002
214,14199,Chicago Mercantile Exchange,SNZ2OJLFK8MNNCLQOF39,LEI,NIKKEI 225 FU 12/25,NXZ5,פנימי,"חו""ל",יפן,CME,מניות לרבות מדדי מניות,לא,USD,0.93,0.022332,79089940.853,16.426,0.021,0.0
214,14199,Chicago Mercantile Exchange,SNZ2OJLFK8MNNCLQOF39,LEI,US 10YR Ultra FU 12/25,UXYZ5,פנימי,"חו""ל","ארה""ב",אחר,"ריבית ואג""ח",לא,USD,27.53,0.022332,17231621.16,105.94,0.139,0.001
214,14199,Chicago Mercantile Exchange,SNZ2OJLFK8MNNCLQOF39,LEI,US ULTRA BOND FU 12/25,WNZ5,פנימי,"חו""ל","ארה""ב",אחר,"ריבית ואג""ח",לא,USD,21.12,0.022332,42764171.131,201.698,0.264,0.002
214,14199,Eurex,529900LN3S50JPU47S06,LEI,EURO STOXX 50 FU 12/25,DE000C7GEHQ1,פנימי,"חו""ל",Developed Markets - Europe,EUREX,מניות לרבות מדדי מניות,לא,EUR,16.14,0.022332,20657616.801,74.458,0.097,0.001
214,2172,Chicago Mercantile Exchange,SNZ2OJLFK8MNNCLQOF39,LEI,MINI NASDAQ 100 FU 12/25,NQZ5,טיקר,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,1044.82,0.022332,148738737.556,34705.091,0.327,0.001
214,2172,Chicago Mercantile Exchange,SNZ2OJLFK8MNNCLQOF39,LEI,MINI S&P FU 12/25,ESZ5,טיקר,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,3358.81,0.022332,65296501.707,48978.217,0.461,0.001
214,2172,Chicago Mercantile Exchange,SNZ2OJLFK8MNNCLQOF39,LEI,NIKKEI 225 FU 12/25,NXZ5,פנימי,"חו""ל",יפן,CME,מניות לרבות מדדי מניות,לא,USD,212.41,0.022332,79097359.885,3752.015,0.035,0.0
214,2172,Chicago Mercantile Exchange,SNZ2OJLFK8MNNCLQOF39,LEI,US 10YR Ultra FU 12/25,UXYZ5,פנימי,"חו""ל","ארה""ב",אחר,"ריבית ואג""ח",לא,USD,157.23,0.022332,17232159.907,605.066,0.006,0.0
214,2172,Chicago Mercantile Exchange,SNZ2OJLFK8MNNCLQOF39,LEI,US ULTRA BOND FU 12/25,WNZ5,פנימי,"חו""ל","ארה""ב",אחר,"ריבית ואג""ח",לא,USD,120.64,0.022332,42758699.082,1151.976,0.011,0.0
214,2172,Eurex,529900LN3S50JPU47S06,LEI,EURO STOXX 50 FU 12/25,DE000C7GEHQ1,פנימי,"חו""ל",Developed Markets - Europe,EUREX,מניות לרבות מדדי מניות,לא,EUR,3685.96,0.022332,20662190.599,17008.053,0.16,0.0
214,2173,Chicago Mercantile Exchange,SNZ2OJLFK8MNNCLQOF39,LEI,mini MSCI Emg Mkt FU 12/25,MESZ5,טיקר,"חו""ל","ארה""ב",ICE,מניות לרבות מדדי מניות,לא,USD,446.0,0.022332,11216675.944,1117.189,0.053,0.0
214,2173,Chicago Mercantile Exchange,SNZ2OJLFK8MNNCLQOF39,LEI,MINI NASDAQ 100 FU 12/25,NQZ5,טיקר,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,60.0,0.022332,161860782.733,2168.805,0.103,0.0
214,2173,Chicago Mercantile Exchange,SNZ2OJLFK8MNNCLQOF39,LEI,MINI S&P FU 12/25,ESZ5,טיקר,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,825.0,0.022332,68823886.365,12680.044,0.6,0.003
214,2173,Chicago Mercantile Exchange,SNZ2OJLFK8MNNCLQOF39,LEI,NIKKEI 225 FU 12/25,NXZ5,פנימי,"חו""ל",יפן,CME,מניות לרבות מדדי מניות,לא,USD,72.0,0.022332,78830576.95,1267.52,0.06,0.0
214,2173,Eurex,529900LN3S50JPU47S06,LEI,EURO STOXX 50 FU 12/25,DE000C7GEHQ1,פנימי,"חו""ל",Developed Markets - Europe,EUREX,מניות לרבות מדדי מניות,לא,EUR,742.0,0.022332,20974495.158,3475.546,0.164,0.001
214,2173,ICE Futures Europe Financials,549300UF4R84F48NCH34,LEI,FTSE 100 IDX FU 12/25,GB00MP62WC98,פנימי,"חו""ל",בריטניה,ICE,מניות לרבות מדדי מניות,לא,GBP,70.0,0.022332,27243545.457,425.882,0.02,0.0
214,2174,Chicago Mercantile Exchange,SNZ2OJLFK8MNNCLQOF39,LEI,MINI NASDAQ 100 FU 12/25,NQZ5,טיקר,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,0.69,0.022332,147413083.714,22.715,0.059,0.0
214,2174,Chicago Mercantile Exchange,SNZ2OJLFK8MNNCLQOF39,LEI,MINI S&P FU 12/25,ESZ5,טיקר,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,2.2,0.022332,65248807.256,32.057,0.083,0.0
214,2174,Chicago Mercantile Exchange,SNZ2OJLFK8MNNCLQOF39,LEI,NIKKEI 225 FU 12/25,NXZ5,פנימי,"חו""ל",יפן,CME,מניות לרבות מדדי מניות,לא,USD,0.14,0.022332,78554796.448,2.456,0.006,0.0
214,2174,Chicago Mercantile Exchange,SNZ2OJLFK8MNNCLQOF39,LEI,US 10YR Ultra FU 12/25,UXYZ5,פנימי,"חו""ל","ארה""ב",אחר,"ריבית ואג""ח",לא,USD,28.31,0.022332,17233112.859,108.951,0.283,0.0
214,2174,Chicago Mercantile Exchange,SNZ2OJLFK8MNNCLQOF39,LEI,US ULTRA BOND FU 12/25,WNZ5,פנימי,"חו""ל","ארה""ב",אחר,"ריבית ואג""ח",לא,USD,21.72,0.022332,42764777.909,207.431,0.539,0.001
214,2174,Eurex,529900LN3S50JPU47S06,LEI,EURO STOXX 50 FU 12/25,DE000C7GEHQ1,פנימי,"חו""ל",Developed Markets - Europe,EUREX,מניות לרבות מדדי מניות,לא,EUR,2.41,0.022332,20683714.566,11.132,0.029,0.0
214,2175,Chicago Mercantile Exchange,SNZ2OJLFK8MNNCLQOF39,LEI,MINI NASDAQ 100 FU 12/25,NQZ5,טיקר,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,385.01,0.022332,148738666.741,12788.615,0.332,0.001
214,2175,Chicago Mercantile Exchange,SNZ2OJLFK8MNNCLQOF39,LEI,MINI S&P FU 12/25,ESZ5,טיקר,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,1237.7,0.022332,65296557.17,18048.175,0.469,0.002
214,2175,Chicago Mercantile Exchange,SNZ2OJLFK8MNNCLQOF39,LEI,NIKKEI 225 FU 12/25,NXZ5,פנימי,"חו""ל",יפן,CME,מניות לרבות מדדי מניות,לא,USD,78.27,0.022332,79099188.682,1382.595,0.036,0.0
214,2175,Eurex,529900LN3S50JPU47S06,LEI,EURO STOXX 50 FU 12/25,DE000C7GEHQ1,פנימי,"חו""ל",Developed Markets - Europe,EUREX,מניות לרבות מדדי מניות,לא,EUR,1358.25,0.022332,20662248.756,6267.364,0.163,0.001
214,2177,Chicago Mercantile Exchange,SNZ2OJLFK8MNNCLQOF39,LEI,MINI NASDAQ 100 FU 12/25,NQZ5,טיקר,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,207.37,0.022332,148742292.69,6888.236,0.324,0.001
214,2177,Chicago Mercantile Exchange,SNZ2OJLFK8MNNCLQOF39,LEI,MINI S&P FU 12/25,ESZ5,טיקר,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,666.65,0.022332,65296856.763,9721.153,0.458,0.001
214,2177,Chicago Mercantile Exchange,SNZ2OJLFK8MNNCLQOF39,LEI,NIKKEI 225 FU 12/25,NXZ5,פנימי,"חו""ל",יפן,CME,מניות לרבות מדדי מניות,לא,USD,42.16,0.022332,79095428.451,744.697,0.035,0.0
214,2177,Chicago Mercantile Exchange,SNZ2OJLFK8MNNCLQOF39,LEI,US 10YR Ultra FU 12/25,UXYZ5,פנימי,"חו""ל","ארה""ב",אחר,"ריבית ואג""ח",לא,USD,46.29,0.022332,17231274.136,178.128,0.008,0.0
214,2177,Chicago Mercantile Exchange,SNZ2OJLFK8MNNCLQOF39,LEI,US ULTRA BOND FU 12/25,WNZ5,פנימי,"חו""ל","ארה""ב",אחר,"ריבית ואג""ח",לא,USD,35.52,0.022332,42753661.776,339.136,0.016,0.0
214,2177,Eurex,529900LN3S50JPU47S06,LEI,EURO STOXX 50 FU 12/25,DE000C7GEHQ1,פנימי,"חו""ל",Developed Markets - Europe,EUREX,מניות לרבות מדדי מניות,לא,EUR,731.59,0.022332,20662077.97,3375.743,0.159,0.0
