מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מאפיין עיקרי,שם שותף כללי קרן השקעות,מספר מזהה שותף כללי קרן השקעות,סוג מספר מזהה שותף כללי קרן השקעות,שם קרן השקעה,מספר מזהה קרן השקעה,סוג מספר מזהה קרן השקעות,מטבע פעילות,תאריך העמדת התחייבות לקרן השקעה,סכום המחויבות הראשוני (במטבע הדיווח של קרן ההשקעה),"סכום המחויבות הראשוני (באלפי ש""ח)",יתרת המחויבות לתקופת הדיווח (במטבע הדיווח של קרן ההשקעה),"יתרת המחויבות לתקופת הדיווח (באלפי ש""ח)",שיעור יתרת המחויבות,תאריך פקיעת מחויבות להשקעה
214,12027,התחייבות להשקעה,PONTIFAX V GP LIMITED PARTNERSHIP,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Pontifax (Israel) V LP,12551404.0,פנימי,USD,2018-03-26,361.57037,1195.351643,25.309915,83.67458,0.069999,2028-03-31 00:00:00
214,12027,התחייבות להשקעה,HG Saturn 2 General Partner (guernsey) LIMITED,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Hg Vardos Co-Invest L.P,12751044.0,פנימי,USD,2020-09-08,223.64145,739.358634,0.0,0.0,0.0,2027-08-25 00:00:00
214,12027,התחייבות להשקעה,"Greenspring Secondaries GP IV, LLC","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",StepStone VC Secondaries Fund IV Cayman,12551318.0,פנימי,USD,2020-01-16,510.88796,1688.995596,10.217758,33.77991,0.019999,2029-12-31 00:00:00
214,12027,התחייבות להשקעה,Pitango Capital Holdings Ltd.,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",PITANGO GROWTH FUND II  LP,12551435.0,פנימי,USD,2021-04-19,615.19706,2033.84148,27.68385,91.52281,0.044999,2028-03-31 00:00:00
214,12027,התחייבות להשקעה - צמיתה,Mosaic General Athletes First SPV LP,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Mosaic General Athletes First SPV LP,12551487.0,פנימי,USD,2022-11-02,206.052,681.207912,0.0,0.0,0.0,NR
214,12027,התחייבות להשקעה - קרן בהנזלה,Bridgepoint Direct Lending III GP S.a.r.l,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Avenue Europe Special Sit III,12551289.0,פנימי,EUR,2016-10-25,859.67465,3336.139414,9.5e-05,0.00037,0.0,NR
214,12027,התחייבות להשקעה,"Insight Venture Management, LLC(Delaware limited liability company)","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Insight Partners Cayman XII,12751045.0,פנימי,USD,2021-07-13,1681.92823,5560.454728,107.643242,355.86856,0.063999,2031-05-01 00:00:00
214,12027,התחייבות להשקעה,"AP IX Pegasus Holdings GP, LLC","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",AP IX PEGASUS CO INVEST LP,12551491.0,פנימי,USD,2022-11-10,248.30031,820.880825,2.299077,7.60075,0.009259,2032-02-01 00:00:00
214,12027,התחייבות להשקעה,"Insight Venture Management, LLC(Delaware limited liability company)","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Insight Partners Cayman  XII,12559606.0,פנימי,USD,2021-07-13,58.33702,192.862188,3.733563,12.34316,0.063999,2031-05-01 00:00:00
214,12027,התחייבות להשקעה,TC GP INVESTMENTS LIMITED PARTNERSHIP,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",TC RPD HOLDINGS LP,12551433.0,פנימי,USD,2021-03-09,302.15524,998.925223,2.340629,7.73812,0.007746,2031-02-28 00:00:00
214,12027,התחייבות להשקעה,CVC Credit Partners Global Special Situations II S.a r.l,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",CVC Credit Partners GSSF II,12551315.0,פנימי,USD,2020-03-04,872.12983,2883.261218,181.175907,598.96755,0.207739,2027-10-30 00:00:00
214,12027,התחייבות להשקעה,CVC Capital Partners VIII Limited,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",CVC PE VIII,12559604.0,פנימי,EUR,2021-12-09,142.56305,553.244428,6.190646,24.02404,0.043423,2030-12-31 00:00:00
214,12027,התחייבות להשקעה,"טנא ניהול השקעה בגדות בע""מ (שותף כללי בעל זכויות ניהול)","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Tene Investment in Gadot  LP,12751023.0,פנימי,USD,2014-04-23,166.68185,551.050196,7.371094,24.36884,0.044222,2025-11-25 00:00:00
214,12027,התחייבות להשקעה,S.H. SKY 3 Investment Management L.P.,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",SKY III,12593007.0,פנימי,USD,2017-01-11,12.21572,40.38517,1.187392,3.92552,0.097202,2026-12-30 00:00:00
214,12027,התחייבות להשקעה,S.H. SKY 4 Management L.P.,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",SKY IV,12551465.0,פנימי,USD,2022-03-16,638.69844,2111.537043,406.122967,1342.64253,0.63586,2033-10-31 00:00:00
214,12027,התחייבות להשקעה,"Greenspring GP IX, LLC","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",StepStone VC Global Partners IX,12551308.0,פנימי,USD,2019-02-06,444.89181,1470.812324,26.693508,88.24874,0.06,2034-01-01 00:00:00
214,12027,התחייבות להשקעה,"StepStone VC GP X-I, LLC","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",StepStone VC XII-B LP,12551483.0,פנימי,USD,2024-03-19,572.52184,1892.757203,375.85183,1242.56615,0.656484,2032-06-29 00:00:00
214,12027,התחייבות להשקעה,SLP VII Co-Invest GP L.L.C,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",SLP Valor Co-Invest Feeder II LP,12551522.0,פנימי,USD,2024-05-23,275.60127,911.137799,83.633478,276.49228,0.303458,2030-04-30 00:00:00
214,12027,התחייבות להשקעה,Brookfield Real Estate Finance Fund IV GP LP,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Brookfield Capital Partners IV LP,12551283.0,פנימי,USD,2016-03-21,1071.496,3542.365776,27.617165,91.30235,0.025774,2026-02-01 00:00:00
214,12027,התחייבות להשקעה,Hamilton Lane Co-Inv.Feeder III L.P,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Hamilton Lane Co-Inv.Feeder III L.P,12551267.0,פנימי,USD,2015-01-22,1392.47457,4603.520928,276.627202,914.52953,0.198658,2027-06-20 00:00:00
214,12027,התחייבות להשקעה,"Arkin Bio Capital general partner, limited partnership","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Arkin BioCapital,12551447.0,פנימי,USD,2022-01-20,561.89902,1857.63816,348.272344,1151.38837,0.619813,2031-09-30 00:00:00
214,12027,התחייבות להשקעה,"Apollo Hybrid Value Advisors II, L.P","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Apollo Hybrid Value Overseas Partners II,12751047.0,פנימי,USD,2021-11-24,1602.38374,5297.480644,140.448121,464.32149,0.087649,2031-09-30 00:00:00
214,12027,התחייבות להשקעה,"MENSCH CAPITAL PARTNERS I GP, LIMITED PARTNERSHIP","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Mensch Capital Partners,12551445.0,פנימי,USD,2021-09-29,176.616,583.892496,19.427758,64.22817,0.109999,2028-09-01 00:00:00
214,12027,התחייבות להשקעה,"Apollo Advisors X, L.P.","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",APOLLO OVERSEAS PARTNERS X LP,12551482.0,פנימי,USD,2023-08-14,2198.74707,7269.057813,1322.009842,4370.56454,0.601255,2028-07-01 00:00:00
214,12027,התחייבות להשקעה,Mosaic General GP I LLC,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Mosaic General Fund I LP,12551476.0,פנימי,USD,2022-07-06,235.488,778.523328,68.232528,225.57674,0.289749,2031-11-01 00:00:00
214,12027,התחייבות להשקעה,"HB XII VENTURE, LLC","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Horsley Bridge XII Venture,12551300.0,פנימי,USD,2017-12-13,572.21645,1891.747584,22.030332,72.83228,0.038499,2029-05-31 00:00:00
