מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,נכס בסיס (כתב אופציה),ענף מסחר,תאריך פקיעה,בעל עניין/צד קשור,מטבע פעילות,שער מימוש,יחס המרה,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,הגעת לשדה האחרון בשורה זו
214,12027,"זפירוס ווינג אנרג'יס בע""מ",516537560.0,ח.פ.,זפירוס אפ 1,IL0011947038,ISIN,ישראל,ישראל,סחיר,TASE,IL0011946956,אנרגיה מתחדשת,2026-06-30,כן,ILS,1650.0,1.0,7188.62,1.0,464.5,33.39112,0.276395,2e-06,הגעת לשדה האחרון בשורה זו
214,12027,נאוויטס פטרוליום שותפות מוגבלת,550263107.0,מספר שותפות,נאוויטס אופציה 6,IL0012288242,ISIN,ישראל,"ארה""ב",סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,כן,ILS,12000.0,1.0,2782.34,1.0,1609.0,44.76784,0.370565,3e-06,הגעת לשדה האחרון בשורה זו
214,12027,"ג'י סיטי בע""מ",520033234.0,ח.פ.,ג'י סיטי אפ 11,IL0012148164,ISIN,ישראל,אירופה,סחיר,TASE,IL0001260111,"נדל""ן מניב בחו""ל",2027-12-15,לא,ILS,2038.15,1.0,12021.7,1.0,149.2,17.93638,0.148468,1e-06,הגעת לשדה האחרון בשורה זו
214,12027,"אמות השקעות בע""מ",520026683.0,ח.פ.,אמות אפ 12,IL0012250366,ISIN,ישראל,ישראל,סחיר,TASE,IL0010972789,"נדל""ן מניב בישראל",2026-12-31,כן,ILS,2768.75,1.0,14554.81,1.0,169.8,24.71407,0.20457,2e-06,הגעת לשדה האחרון בשורה זו
214,15277,נאוויטס פטרוליום שותפות מוגבלת,550263107.0,מספר שותפות,נאוויטס אופציה 6,IL0012288242,ISIN,ישראל,"ארה""ב",סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,כן,ILS,12000.0,1.0,2235.6,1.0,1609.0,35.97081,0.370565,3.6e-05,הגעת לשדה האחרון בשורה זו
214,15277,"אמות השקעות בע""מ",520026683.0,ח.פ.,אמות אפ 12,IL0012250366,ISIN,ישראל,ישראל,סחיר,TASE,IL0010972789,"נדל""ן מניב בישראל",2026-12-31,כן,ILS,2768.75,1.0,11694.74,1.0,169.8,19.85767,0.20457,2e-05,הגעת לשדה האחרון בשורה זו
214,15277,"ג'י סיטי בע""מ",520033234.0,ח.פ.,ג'י סיטי אפ 11,IL0012148164,ISIN,ישראל,אירופה,סחיר,TASE,IL0001260111,"נדל""ן מניב בחו""ל",2027-12-15,לא,ILS,2038.15,1.0,9659.4,1.0,149.2,14.41182,0.148468,1.4e-05,הגעת לשדה האחרון בשורה זו
214,15277,"זפירוס ווינג אנרג'יס בע""מ",516537560.0,ח.פ.,זפירוס אפ 1,IL0011947038,ISIN,ישראל,ישראל,סחיר,TASE,IL0011946956,אנרגיה מתחדשת,2026-06-30,כן,ILS,1650.0,1.0,5776.03,1.0,464.5,26.82965,0.276395,2.7e-05,הגעת לשדה האחרון בשורה זו
214,2172,"זפירוס ווינג אנרג'יס בע""מ",516537560.0,ח.פ.,זפירוס אפ 1,IL0011947038,ISIN,ישראל,ישראל,סחיר,TASE,IL0011946956,אנרגיה מתחדשת,2026-06-30,כן,ILS,1650.0,1.0,70639.97,1.0,464.5,328.12264,0.276395,6e-06,הגעת לשדה האחרון בשורה זו
214,2172,"ג'י סיטי בע""מ",520033234.0,ח.פ.,ג'י סיטי אפ 11,IL0012148164,ISIN,ישראל,אירופה,סחיר,TASE,IL0001260111,"נדל""ן מניב בחו""ל",2027-12-15,לא,ILS,2038.15,1.0,118132.96,1.0,149.2,176.25438,0.148468,3e-06,הגעת לשדה האחרון בשורה זו
