מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,ענף מסחר,בעל עניין/צד קשור,תאריך רכישה,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,"מח""מ",מועד פדיון,תשואה לפדיון,שיעור ריבית,נחיתות חוזית,האם סווג כחוב בעייתי,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,תאריך אחרון בו נבחנה בפועל ירידת ערך,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
214,12027,וי.אי.די. התפלת מי אשקלון,513102384,ח.פ.,V.I.D  ויאידיאגח0103,IL0010876832,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,שירותים,לא,2003-04-23,AA,פנימי,נייר ערך,ILS,0.06,2025-10-22,0.028,0.0775,החוב לא נחות,"תא ללא תוכן, המשך בתא הבא",חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,1168.98,1.0,148.14,1.73172,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",6.2e-05,0.0
214,12027,"כלל תעשיות בע""מ",520021874,ח.פ.,כלל תעשיות אג16-רמ,IL0060802381,ISIN,"נש""ר",ישראל,ישראל,לא סחיר,השקעה ואחזקות,לא,2019-12-29,A2.il,מידרוג Moodys,נייר ערך,ILS,1.45,2027-06-30,0.0535,0.0447,החוב לא נחות,"תא ללא תוכן, המשך בתא הבא",חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,86241.69,1.0,100.02,86.25894,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.003103,7e-06
214,12027,"חברת החשמל לישראל בע""מ",520000472,ח.פ.,חברת חשמל 2029 07.05.2014,IL0060001869,ISIN,"נש""ר",ישראל,ישראל,לא סחיר,אנרגיה,לא,2014-05-07,AA,פנימי,נייר ערך,ILS,1.97,2029-05-07,0.0288,0.06,החוב לא נחות,"תא ללא תוכן, המשך בתא הבא",חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,927770.07,1.0,129.32,1199.79226,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.043171,9.8e-05
214,12027,"גב-ים נגב בע""מ",514189596,ח.פ.,גב-ים נגב סדרה ב,IL0012084534,ISIN,"נש""ר",ישראל,ישראל,לא סחיר,"נדל""ן מניב בישראל",לא,2024-07-11,ilA+,S&P מעלות,נייר ערך,ILS,2.89,2028-12-31,0.0422,0.0384,החוב לא נחות,"תא ללא תוכן, המשך בתא הבא",חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,920097.79,1.0,106.65,981.28429,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.035308,8e-05
214,12027,"אגד חברה לתחבורה בע""מ",516041118,ח.פ.,"אג""ח אגד חברה לתחבורה סדרה 1",IL0011987877,ISIN,"נש""ר",ישראל,ישראל,לא סחיר,שירותים,לא,2023-08-16,ilAA-,S&P מעלות,נייר ערך,ILS,2.29,2029-12-31,0.035,0.0364,החוב לא נחות,"תא ללא תוכן, המשך בתא הבא",חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,1421969.31,1.0,108.84,1547.6714,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.055688,0.000126
214,12027,"רפאל מערכות לחימה מתקדמות בע""מ",520042185,ח.פ.,"רפאל מערכות לחימה אג""ח סדרה ה' - שקלי קבוע",IL0011402927,ISIN,"נש""ר",ישראל,ישראל,לא סחיר,ביטחוניות,לא,2017-03-02,Aaa.il,מידרוג Moodys,נייר ערך,ILS,0.45,2026-03-15,0.0469,0.025,החוב לא נחות,"תא ללא תוכן, המשך בתא הבא",חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,867684.34,1.0,99.16,860.39579,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.030958,7e-05
214,12027,"רפאל מערכות לחימה מתקדמות בע""מ",520042185,ח.פ.,"רפאל מערכות לחימה אג""ח סדרה ג' - צמוד",IL0011402760,ISIN,"נש""ר",ישראל,ישראל,לא סחיר,ביטחוניות,לא,2017-03-02,Aaa.il,מידרוג Moodys,נייר ערך,ILS,4.65,2034-09-15,0.0245,0.0214,החוב לא נחות,"תא ללא תוכן, המשך בתא הבא",חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,721228.57,1.0,118.75,856.45893,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.030817,7e-05
214,12027,"ביטוח ישיר - השקעות פיננסיות בע""מ",520044439,ח.פ.,ביטוח ישיר השקעות פיננסיות אגח יא,IL0011388258,ISIN,"נש""ר",ישראל,ישראל,לא סחיר,השקעה ואחזקות,לא,2016-07-19,A2.il,מידרוג Moodys,נייר ערך,ILS,2.0,2028-06-30,0.0529,0.046,החוב לא נחות,"תא ללא תוכן, המשך בתא הבא",חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,1505480.8,1.0,99.93,1504.42696,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.054132,0.000122
214,12027,"רפאל מערכות לחימה מתקדמות בע""מ",520042185,ח.פ.,רפאל אגח ד,IL0011402844,ISIN,"נש""ר",ישראל,ישראל,לא סחיר,ביטחוניות,לא,2017-03-01,Aaa.il,מידרוג Moodys,נייר ערך,ILS,4.41,2034-09-15,0.0465,0.0374,החוב לא נחות,"תא ללא תוכן, המשך בתא הבא",חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,1250773.08,1.0,96.46,1206.49572,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.043412,9.7e-05
214,12027,"מקורות חברת מים בע""מ",520010869,ח.פ.,"מקורות אג""ח סדרה 8",IL0011243461,ISIN,"נש""ר",ישראל,ישראל,לא סחיר,שירותים,לא,2011-07-14,AA+,פנימי,נייר ערך,ILS,9.45,2048-07-14,0.0277,0.041,החוב לא נחות,"תא ללא תוכן, המשך בתא הבא",חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,5377955.3,1.0,139.55,7504.93663,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.270045,0.000613
