מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,נכס בסיס,תאריך רכישה,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,"מח""מ",שיעור ריבית,תשואה לפדיון,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
214,12027,"בנק לאומי לישראל בע""מ",520018078,ח.פ.,אגח CLN צמודות אשראי סדרה 3 בנק לאומי 22.12.24,IL0012150293,ISIN,קרן לא מובטחת,ישראל,ישראל,כן,"ריבית ואג""ח",2024-12-22,ilAAA,S&P מעלות,מנפיק,ILS,3.73,0.0369,0.037,חברת ציטוט,אי-תלות,2025-09-30,1813232.44,1.0,103.39,1874.70102,0.023248,0.000153
214,12027,"בנק הפועלים בע""מ",520000118,ח.פ.,בנק הפועלים אג'ח צמודות אשראי אגח1 24.09.24 cln,IL0012117474,ISIN,קרן לא מובטחת,ישראל,ישראל,כן,"ריבית ואג""ח",2024-09-24,ilAAA,S&P מעלות,מנפיק,ILS,1.9,0.0675,0.0689,חברת ציטוט,אי-תלות,2025-09-30,11846319.68,1.0,101.09,11975.44456,0.14851,0.000979
214,12027,"בנק הפועלים בע""מ",520000118,ח.פ.,"בנק הפועלים בע""מ  CLN אשראי משיכה 1",10000504,טיקר,קרן לא מובטחת,ישראל,ישראל,כן,"ריבית ואג""ח",2025-03-30,ilAAA,S&P מעלות,מנפיק,ILS,2.92,0.065,0.061,חברת ציטוט,אי-תלות,2025-09-30,38977315.42,1.0,100.5,39172.20199,0.485783,0.003202
214,12027,"בנק הפועלים בע""מ",520000118,ח.פ.,"בנק הפועלים בע""מ  CLN אשראי משיכה 2",10000504,טיקר,קרן לא מובטחת,ישראל,ישראל,כן,"ריבית ואג""ח",2025-06-29,ilAAA,S&P מעלות,מנפיק,ILS,1.33,0.065,0.062,חברת ציטוט,אי-תלות,2025-09-30,26585947.14,1.0,100.4,26692.29093,0.331017,0.002182
214,12027,"טאביט טכנולוגיות בע""מ",514759661,ח.פ.,Tabit Technologies Ltd,12914002,פנימי,קרן לא מובטחת,ישראל,ישראל,לא,מניות לרבות מדדי מניות,2022-08-10,NR,NR,NR,USD,"תא ללא תוכן, המשך בתא הבא",0.0,"תא ללא תוכן, המשך בתא הבא",מומחה בלתי תלוי,אי-תלות,2024-08-11,104419.0,3.306,100.0,345.20921,0.004281,2.8e-05
214,12027,"סופלנט בע""מ",515724847,ח.פ.,SUPPLANT LTD,12914005,פנימי,קרן לא מובטחת,ישראל,ישראל,לא,מניות לרבות מדדי מניות,2024-06-06,NR,NR,NR,USD,"תא ללא תוכן, המשך בתא הבא",0.0,"תא ללא תוכן, המשך בתא הבא",מומחה בלתי תלוי,אי-תלות,2025-05-27,86329.71,3.306,100.0,285.40602,0.003539,2.3e-05
214,12027,"טור-בר בע""מ",516006467,ח.פ.,Torr Bar Ltd safe,12914008,פנימי,קרן לא מובטחת,ישראל,ישראל,לא,מניות לרבות מדדי מניות,2025-03-04,NR,NR,NR,USD,"תא ללא תוכן, המשך בתא הבא",0.0,"תא ללא תוכן, המשך בתא הבא",מומחה בלתי תלוי,אי-תלות,2025-03-04,44154.0,3.306,100.0,145.97312,0.00181,1.1e-05
214,12027,"אן. אס. נוקס טכנולוגיות בע""מ",515267888,ח.פ.,NSKNOX SAFE,12914009,פנימי,קרן לא מובטחת,ישראל,ישראל,לא,מניות לרבות מדדי מניות,2025-07-14,NR,NR,NR,USD,"תא ללא תוכן, המשך בתא הבא",0.0,"תא ללא תוכן, המשך בתא הבא",מומחה בלתי תלוי,אי-תלות,2025-07-06,44154.0,3.306,100.0,145.97312,0.00181,1.1e-05
214,2172,"בנק לאומי לישראל בע""מ",520018078,ח.פ.,אגח CLN צמודות אשראי סדרה 3 בנק לאומי 22.12.24,IL0012150293,ISIN,קרן לא מובטחת,ישראל,ישראל,כן,"ריבית ואג""ח",2024-12-22,ilAAA,S&P מעלות,מנפיק,ILS,3.73,0.0369,0.037,חברת ציטוט,אי-תלות,2025-09-30,6856515.98,1.0,103.39,7088.95187,0.557967,0.000143
214,2172,"בנק הפועלים בע""מ",520000118,ח.פ.,"בנק הפועלים בע""מ  CLN אשראי משיכה 1",10000504,טיקר,קרן לא מובטחת,ישראל,ישראל,כן,"ריבית ואג""ח",2025-03-30,ilAAA,S&P מעלות,מנפיק,ILS,2.92,0.065,0.061,חברת ציטוט,אי-תלות,2025-09-30,2429794.16,1.0,100.5,2441.94313,0.192204,4.9e-05
214,2172,"סופלנט בע""מ",515724847,ח.פ.,SUPPLANT LTD,12914005,פנימי,קרן לא מובטחת,ישראל,ישראל,לא,מניות לרבות מדדי מניות,2024-06-06,NR,NR,NR,USD,"תא ללא תוכן, המשך בתא הבא",0.0,"תא ללא תוכן, המשך בתא הבא",מומחה בלתי תלוי,אי-תלות,2025-05-27,714068.64,3.306,100.0,2360.71092,0.18581,4.7e-05
214,2172,"אן. אס. נוקס טכנולוגיות בע""מ",515267888,ח.פ.,NSKNOX SAFE,12914009,פנימי,קרן לא מובטחת,ישראל,ישראל,לא,מניות לרבות מדדי מניות,2025-07-14,NR,NR,NR,USD,"תא ללא תוכן, המשך בתא הבא",0.0,"תא ללא תוכן, המשך בתא הבא",מומחה בלתי תלוי,אי-תלות,2025-07-06,56364.0,3.306,100.0,186.33938,0.014666,3e-06
