מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,ענף מסחר,בעל עניין/צד קשור,תאריך רכישה,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,תאריך אחרון בו נבחנה בפועל ירידת ערך,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
214,12027,פרופיט,520040650,ח.פ.,פרופיט,IL0005490144,ISIN,מניות לא סחירות,ישראל,אירופה,לא סחיר,"נדל""ן מניב בישראל",לא,1994-01-17,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-18 00:00:00,2025-09-30 00:00:00,155.41,1.0,1e-06,0.0,0.0,0.0
214,12027,"ק.מ. מדף 3 בע""מ (בכינוס נכסים)",516300985,ח.פ.,ק.מ.מדף 3 בעמ עמיתים,12101045,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,בנייה,כן,2021-12-09,ILS,מומחה בלתי תלוי,אי-תלות,2025-05-06 00:00:00,2025-09-30 00:00:00,3015602.36,1.0,0.35833,10.8058,5.7e-05,0.0
214,12027,"בוקאווי בע""מ",515711760,ח.פ.,BOOKAWAY LTD מניה בכורה,12101101,פנימי,מניות בכורה לא סחירות,ישראל,ישראל,לא סחיר,השקעות בהיי-טק,לא,2024-04-30,USD,מומחה בלתי תלוי,אי-תלות,2024-04-21 00:00:00,2025-09-30 00:00:00,7159.87,3.306,1159.37,274.42902,0.001453,2.2e-05
214,12027,"קבוצת תדהר בע""מ",512728932,ח.פ.,השקעה במניות קב תדהר בעמ,12101161,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,בנייה,כן,2023-08-01,ILS,מומחה בלתי תלוי,אי-תלות,2025-08-25 00:00:00,2025-09-30 00:00:00,157854.43,1.0,13874.794222,21901.97733,0.115989,0.00179
214,12027,ELEVEN THERAPEUTICS LTD,516183977,ח.פ.,ELEVEN THERAPEUTICS LTD  SEED PLUS1,12101108,פנימי,מניות בכורה לא סחירות,ישראל,"ארה""ב",לא סחיר,השקעות בהיי-טק,לא,2025-06-29,USD,מומחה בלתי תלוי,אי-תלות,2025-06-29 00:00:00,2025-09-30 00:00:00,8854.3,3.306,1945.7232,569.55823,0.003016,4.6e-05
214,12027,ELEVEN THERAPEUTICS LTD,516183977,ח.פ.,ELEVEN THERAPEUTICS LTDSeed Plus,12101109,פנימי,מניות בכורה לא סחירות,ישראל,"ארה""ב",לא סחיר,השקעות בהיי-טק,לא,2025-07-02,USD,מומחה בלתי תלוי,אי-תלות,2025-07-02 00:00:00,2025-09-30 00:00:00,3541.74,3.306,1662.24,194.63155,0.00103,1.5e-05
214,12027,ELEVEN THERAPEUTICS LTD,516183977,ח.פ.,ELEVEN THERAPEUTICS LTDseed-1,12101110,פנימי,מניות בכורה לא סחירות,ישראל,"ארה""ב",לא סחיר,השקעות בהיי-טק,לא,2025-06-29,USD,מומחה בלתי תלוי,אי-תלות,2025-06-29 00:00:00,2025-09-30 00:00:00,3451.07,3.306,1497.6244,170.86752,0.000904,1.3e-05
214,12027,אנלייט סאנלייט אנרגיה שותפות מוגבלת,540336641,מספר שותפות,השקעה בשותפות אנלייט סאנלייט,121011170,פנימי,יחידות השתתפות תשתיות,ישראל,ישראל,לא סחיר,אנרגיה מתחדשת,לא,2025-03-27,ILS,מומחה בלתי תלוי,אי-תלות,2025-03-27 00:00:00,2025-09-30 00:00:00,995517.39,1.0,100.0,995.51739,0.005272,8.1e-05
214,12027,אלמוג כדאי דיור להשכרה שותפות מוגבלת,540319332,מספר שותפות,אלמוג כדאי דיור להשכרה שותפות מוגבלת,12101126,פנימי,יחידות השתתפות אחרות,ישראל,ישראל,לא סחיר,בנייה,כן,2023-05-18,ILS,מומחה בלתי תלוי,אי-תלות,2025-08-20 00:00:00,2025-09-30 00:00:00,4875040.68,1.0,122.627153,5978.12359,0.031659,0.000488
214,12027,פלייוולט בעמ,517114120,ח.פ.,PLAYVAULT Preferred Seed  LTD,12101128,פנימי,מניות בכורה לא סחירות,ישראל,ישראל,לא סחיר,השקעות בהיי-טק,לא,2025-08-13,USD,מומחה בלתי תלוי,אי-תלות,2025-08-13 00:00:00,2025-09-30 00:00:00,2005.6,3.306,635.6208,42.14492,0.000223,3e-06
