מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,נכס בסיס,בעל עניין/צד קשור,"מח""מ",שיעור ריבית,תשואה לפדיון,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
214,12027,"קרדיטו הנפקות בע""מ",516804499.0,ח.פ.,קרדיטו אגח א,IL0012103276,ISIN,מוצר מאוגח - שכבת חוב (Tranche) בדרוג AA- ומעלה,ישראל,ישראל,סחיר,TASE,"ריבית ואג""ח",לא,9.05,0.073,0.0567,ilAAA,S&P מעלות,נייר ערך,ILS,327023.73,1.0,116.95,382.45425,0.161171,3.1e-05
214,12027,"אלה פקדונות בע""מ",515666881.0,ח.פ.,אלה פקדון אגח ה,IL0011625774,ISIN,מוצר מאוגח - שכבת חוב (Tranche) בדרוג AA- ומעלה,ישראל,ישראל,סחיר,TASE,"ריבית ואג""ח",לא,2.78,0.0005,0.0264,ilAAA,S&P מעלות,נייר ערך,ILS,1813342.54,1.0,109.77,1990.50611,0.838828,0.000162
214,15276,"אלה פקדונות בע""מ",515666881.0,ח.פ.,אלה פקדון אגח ה,IL0011625774,ISIN,מוצר מאוגח - שכבת חוב (Tranche) בדרוג AA- ומעלה,ישראל,ישראל,סחיר,TASE,"ריבית ואג""ח",לא,2.78,0.0005,0.0264,ilAAA,S&P מעלות,נייר ערך,ILS,242293.05,1.0,109.77,265.96508,0.675781,0.005366
214,15276,"קרדיטו הנפקות בע""מ",516804499.0,ח.פ.,קרדיטו אגח א,IL0012103276,ISIN,מוצר מאוגח - שכבת חוב (Tranche) בדרוג AA- ומעלה,ישראל,ישראל,סחיר,TASE,"ריבית ואג""ח",לא,9.05,0.073,0.0567,ilAAA,S&P מעלות,נייר ערך,ILS,109107.59,1.0,116.95,127.60133,0.324218,0.002574
214,2172,"אלה פקדונות בע""מ",515666881.0,ח.פ.,אלה פקדון אגח ה,IL0011625774,ISIN,מוצר מאוגח - שכבת חוב (Tranche) בדרוג AA- ומעלה,ישראל,ישראל,סחיר,TASE,"ריבית ואג""ח",לא,2.78,0.0005,0.0264,ilAAA,S&P מעלות,נייר ערך,ILS,5583827.38,1.0,109.77,6129.36731,0.640523,0.000124
214,2172,"קרדיטו הנפקות בע""מ",516804499.0,ח.פ.,קרדיטו אגח א,IL0012103276,ISIN,מוצר מאוגח - שכבת חוב (Tranche) בדרוג AA- ומעלה,ישראל,ישראל,סחיר,TASE,"ריבית ואג""ח",לא,9.05,0.073,0.0567,ilAAA,S&P מעלות,נייר ערך,ILS,2941379.97,1.0,116.95,3439.94387,0.359476,6.9e-05
214,2174,"אלה פקדונות בע""מ",515666881.0,ח.פ.,אלה פקדון אגח ה,IL0011625774,ISIN,מוצר מאוגח - שכבת חוב (Tranche) בדרוג AA- ומעלה,ישראל,ישראל,סחיר,TASE,"ריבית ואג""ח",לא,2.78,0.0005,0.0264,ilAAA,S&P מעלות,נייר ערך,ILS,518538.12,1.0,109.77,569.19929,0.680522,0.002031
214,2174,"קרדיטו הנפקות בע""מ",516804499.0,ח.פ.,קרדיטו אגח א,IL0012103276,ISIN,מוצר מאוגח - שכבת חוב (Tranche) בדרוג AA- ומעלה,ישראל,ישראל,סחיר,TASE,"ריבית ואג""ח",לא,9.05,0.073,0.0567,ilAAA,S&P מעלות,נייר ערך,ILS,228487.74,1.0,116.95,267.21641,0.319477,0.000953
214,2177,"קרדיטו הנפקות בע""מ",516804499.0,ח.פ.,קרדיטו אגח א,IL0012103276,ISIN,מוצר מאוגח - שכבת חוב (Tranche) בדרוג AA- ומעלה,ישראל,ישראל,סחיר,TASE,"ריבית ואג""ח",לא,9.05,0.073,0.0567,ilAAA,S&P מעלות,נייר ערך,ILS,443996.43,1.0,116.95,519.25383,0.237929,5.2e-05
214,2177,"אלה פקדונות בע""מ",515666881.0,ח.פ.,אלה פקדון אגח ה,IL0011625774,ISIN,מוצר מאוגח - שכבת חוב (Tranche) בדרוג AA- ומעלה,ישראל,ישראל,סחיר,TASE,"ריבית ואג""ח",לא,2.78,0.0005,0.0264,ilAAA,S&P מעלות,נייר ערך,ILS,1515108.64,1.0,109.77,1663.13475,0.76207,0.000169
214,2203,"קרדיטו הנפקות בע""מ",516804499.0,ח.פ.,קרדיטו אגח א,IL0012103276,ISIN,מוצר מאוגח - שכבת חוב (Tranche) בדרוג AA- ומעלה,ישראל,ישראל,סחיר,TASE,"ריבית ואג""ח",לא,9.05,0.073,0.0567,ilAAA,S&P מעלות,נייר ערך,ILS,3742.12,1.0,116.95,4.3764,0.038329,2e-06
214,2203,"אלה פקדונות בע""מ",515666881.0,ח.פ.,אלה פקדון אגח ה,IL0011625774,ISIN,מוצר מאוגח - שכבת חוב (Tranche) בדרוג AA- ומעלה,ישראל,ישראל,סחיר,TASE,"ריבית ואג""ח",לא,2.78,0.0005,0.0264,ilAAA,S&P מעלות,נייר ערך,ILS,100029.53,1.0,109.77,109.80241,0.96167,5.6e-05
214,8588,"אלה פקדונות בע""מ",515666881.0,ח.פ.,אלה פקדון אגח ה,IL0011625774,ISIN,מוצר מאוגח - שכבת חוב (Tranche) בדרוג AA- ומעלה,ישראל,ישראל,סחיר,TASE,"ריבית ואג""ח",לא,2.78,0.0005,0.0264,ilAAA,S&P מעלות,נייר ערך,ILS,304.56,1.0,109.77,0.33432,0.721964,1.2e-05
