מזומנים ושווי מזומנים,מספר מסלול,5.2,Unnamed: 3
מזומנים ושווי מזומנים,שם הבנק,5.4,
מזומנים ושווי מזומנים,מספר מזהה בנק,5.7,
מזומנים ושווי מזומנים,סוג מספר מזהה בנק,5.11,
מזומנים ושווי מזומנים,מאפיין עיקרי,5.26,
מזומנים ושווי מזומנים,"ישראל/חו""ל",5.27,
מזומנים ושווי מזומנים,בעל עניין/צד קשור,5.36,
מזומנים ושווי מזומנים,דירוג הבנק,5.5,
מזומנים ושווי מזומנים,שם מדרג,5.51,
מזומנים ושווי מזומנים,מטבע פעילות,5.53,
מזומנים ושווי מזומנים,שווי מטבעי,5.59,
מזומנים ושווי מזומנים,שער חליפין,5.54,
מזומנים ושווי מזומנים,שיעור ריבית,5.7,ü
מזומנים ושווי מזומנים,"שווי הוגן (באלפי ש""ח)",5.63,
מזומנים ושווי מזומנים,שיעור מנכסי אפיק ההשקעה,5.47,
מזומנים ושווי מזומנים,שיעור מסך נכסי ההשקעה,5.48,
מזומנים ושווי מזומנים,הגעת לשדה האחרון בשורה זו,,
איגרות חוב ממשלתיות,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,5.1,
איגרות חוב ממשלתיות,מספר מסלול,5.2,
איגרות חוב ממשלתיות,שם מנפיק,5.3,
איגרות חוב ממשלתיות,שם נייר ערך ,5.14,
איגרות חוב ממשלתיות,מספר נייר ערך,5.19,
איגרות חוב ממשלתיות,מאפיין עיקרי,5.26,
איגרות חוב ממשלתיות,"ישראל/חו""ל",5.27,
איגרות חוב ממשלתיות,מדינה לפי חשיפה כלכלית,5.28,
איגרות חוב ממשלתיות,זירת מסחר,5.3,
איגרות חוב ממשלתיות,דירוג,5.49,
איגרות חוב ממשלתיות,שם מדרג,5.51,
איגרות חוב ממשלתיות,מטבע פעילות,5.53,
איגרות חוב ממשלתיות,"מח""מ",5.69,
איגרות חוב ממשלתיות,מועד פדיון,5.75,
איגרות חוב ממשלתיות,שיעור ריבית,5.7,
איגרות חוב ממשלתיות,תשואה לפדיון,5.74,
איגרות חוב ממשלתיות,סכום לקבל (במטבע הפעילות),5.62,
איגרות חוב ממשלתיות,ערך נקוב (יחידות),5.58,
איגרות חוב ממשלתיות,שער חליפין,5.54,
איגרות חוב ממשלתיות,שער נייר הערך,5.55,
איגרות חוב ממשלתיות,"שווי הוגן (באלפי ש""ח)",5.63,
איגרות חוב ממשלתיות,"עלות מופחתת (באלפי ש""ח)",5.65,
איגרות חוב ממשלתיות,השיטה שיושמה בדוח הכספי,5.68,
איגרות חוב ממשלתיות,שיעור מערך נקוב מונפק,5.45,
איגרות חוב ממשלתיות,שיעור מנכסי אפיק ההשקעה,5.47,
איגרות חוב ממשלתיות,שיעור מסך נכסי ההשקעה,5.48,
איגרות חוב ממשלתיות,הגעת לשדה האחרון בשורה זו,,
ניירות ערך מסחריים,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,5.1,
ניירות ערך מסחריים,מספר מסלול,5.2,
ניירות ערך מסחריים,שם מנפיק,5.3,
ניירות ערך מסחריים,מספר מנפיק,5.6,
ניירות ערך מסחריים,סוג מספר מזהה מנפיק ,5.1,
ניירות ערך מסחריים,שם נייר ערך ,5.14,
ניירות ערך מסחריים,מספר נייר ערך,5.19,
ניירות ערך מסחריים,סוג מספר נייר ערך,5.24,
ניירות ערך מסחריים,מאפיין עיקרי,5.26,
ניירות ערך מסחריים,"ישראל/חו""ל",5.27,
ניירות ערך מסחריים,מדינה לפי חשיפה כלכלית,5.28,
ניירות ערך מסחריים,זירת מסחר,5.3,
ניירות ערך מסחריים,ענף מסחר,5.31,
ניירות ערך מסחריים,בעל עניין/צד קשור,5.36,
ניירות ערך מסחריים,דירוג,5.49,
ניירות ערך מסחריים,שם מדרג,5.51,
ניירות ערך מסחריים,דירוג נייר הערך/המנפיק ,5.52,
ניירות ערך מסחריים,מטבע פעילות,5.53,
ניירות ערך מסחריים,"מח""מ",5.69,
ניירות ערך מסחריים,ריבית עוגן,5.72,
ניירות ערך מסחריים,מועד פדיון,5.75,
ניירות ערך מסחריים,שיעור ריבית,5.7,
ניירות ערך מסחריים,תשואה לפדיון,5.74,
ניירות ערך מסחריים,נחיתות חוזית,5.76,
ניירות ערך מסחריים,האם סווג כחוב בעייתי,5.89,ü
ניירות ערך מסחריים,ערך נקוב (יחידות),5.58,
ניירות ערך מסחריים,סכום לקבל (במטבע הפעילות),5.62,
ניירות ערך מסחריים,שער חליפין,5.54,
ניירות ערך מסחריים,שער נייר הערך,5.55,
ניירות ערך מסחריים,"שווי הוגן (באלפי ש""ח)",5.63,
ניירות ערך מסחריים,"עלות מופחתת (באלפי ש""ח)",5.65,
ניירות ערך מסחריים,עלות מופחתת (במטבע הפעילות),5.66,
ניירות ערך מסחריים,השיטה שיושמה בדוח הכספי,5.68,
ניירות ערך מסחריים,שיעור מערך נקוב מונפק,5.45,
ניירות ערך מסחריים,שיעור מנכסי אפיק ההשקעה,5.47,
