מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מספר מזהה לווה,סוג מספר מזהה לווה,שם הלוואה,מספר הלוואה,תאריך העמדת מסגרת אשראי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,דירוג,שם מדרג,דירוג הלוואה/המנפיק,מטבע פעילות,שער חליפין,שיעור ריבית,סוג הריבית,סכום מסגרת האשראי הראשוני (במטבע הפעילות),"סכום מסגרת האשראי הראשוני (באלפי ש""ח)",שיעור יתרת מסגרת אשראי
214,12027,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",14822679.0,2023-03-20,"חו""ל","תא ללא תוכן, המשך בתא הבא",לא,NR,NR,NR,EUR,3.8807,0.00875,קבועה,431.70368,1675.312470976,0.03784
214,12027,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",14823589.0,2025-06-25,ישראל,"תא ללא תוכן, המשך בתא הבא",לא,A+,פנימי,הלוואה,ILS,1.0,0.002,קבועה,15838.47612,15838.47612,0.366667
214,12027,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",14821994.0,2020-12-31,ישראל,"תא ללא תוכן, המשך בתא הבא",לא,AA-,פנימי,הלוואה,ILS,1.0,0.006999999999999999,קבועה,108.428,108.428,1.0
214,12027,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",14823744.0,2025-09-15,"חו""ל","תא ללא תוכן, המשך בתא הבא",לא,NR,NR,NR,EUR,3.8807,0.0025,קבועה,211.89455999999998,822.299218992,0.333334
214,12027,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",14821841.0,2020-07-16,"חו""ל","תא ללא תוכן, המשך בתא הבא",לא,BBB+,פנימי,הלוואה,GBP,4.4409,0.009000000000000001,קבועה,159.801,709.6602608999999,1.0
214,12027,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",14854499.0,2023-11-25,ישראל,"תא ללא תוכן, המשך בתא הבא",לא,ilAA-,S&P מעלות,הלוואה,USD,3.306,0.0032,קבועה,2905.00607,9603.950067419999,1.0
214,12027,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",14822554.0,2023-05-28,ישראל,"תא ללא תוכן, המשך בתא הבא",כן,BBB+,פנימי,הלוואה,ILS,1.0,0.0034999999999999996,קבועה,2479.639,2479.639,1.0
214,12027,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",14823109.0,2024-07-28,ישראל,"תא ללא תוכן, המשך בתא הבא",כן,BBB+,פנימי,הלוואה,ILS,1.0,0.0034999999999999996,קבועה,9741.438,9741.438,1.0
214,12027,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",14822574.0,2023-05-24,ישראל,"תא ללא תוכן, המשך בתא הבא",לא,A,פנימי,הלוואה,ILS,1.0,0.003,קבועה,21570.723,21570.723,0.012294
214,12027,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",14822552.0,2023-05-28,ישראל,"תא ללא תוכן, המשך בתא הבא",כן,BBB+,פנימי,הלוואה,ILS,1.0,0.002,קבועה,1948.287,1948.287,0.170234
