מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך ,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,סיווג הקרן,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
214,12027,"אי.בי.אי קרנות נאמנות בע""מ",513765339,ח.פ.,איביאי טכנולוגיה עילית 5D,IL0011425381,ISIN,מניות,ישראל,ישראל,סחיר,TASE,קרן סגורה-קרן טכנולוגיה עילית,כן,ILS,631360.48,1.0,84.7,534.76232,0.002038,0.005059,4.3e-05
214,12027,SPARX Jupan Fund,635400BTSWMY84SXPB33,LEI,SPARX JAPAN FUND PLC-JPY I G,IE00BD6HM324,ISIN,מניות,"חו""ל",יפן,סחיר,אחר,"NIKKEI 225 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-אסיה יפן",לא,JPY,10659.26,0.022332,2189400.0,5211.70447,0.002159,0.049312,0.000426
214,12027,PIMCO Global Investors Series,I4F80UDLONU55HEJTV77,LEI,PIMCO GBL INV,IE0034085260,ISIN,"אג""ח קונצרני","חו""ל","ארה""ב",סחיר,אחר,Bond/Fixed Income Funds,לא,USD,145185.06,3.306,2255.0,10823.58951,0.001691,0.10241,0.000884
214,12027,Pictet CH Institutional - Swis,549300SSQUL8NSW2ZU66,LEI,PICTET CH IN SWISS E-IINSCAP,CH0180952241,ISIN,מניות,"חו""ל",שוויץ,סחיר,אחר,Equity Funds,לא,CHF,202.04,4.1427,305423.0,2556.41644,0.009353,0.024188,0.000209
214,12027,UTI INDIA DYNAMIC EQUITY FUND,549300ACH7GWORVJDB13,LEI,UTIIDEI ID,IE00BYPC7R45,ISIN,מניות,"חו""ל",הודו,סחיר,אחר,"CNX NIFTY - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-אסיה הודו",לא,USD,82929.72,3.306,2348.33,6438.3147,0.004752,0.060918,0.000526
214,12027,Comgest Growth PLC - Europe,635400JYB1RHBTRDH390,LEI,COMEEIA ID,IE00B5WN3467,ISIN,מניות,"חו""ל",Developed Markets - Europe,סחיר,אחר,Equity Funds,לא,EUR,14153.84,3.8807,4271.0,2345.92415,0.000366,0.022196,0.000191
214,12027,UBAM - Swiss Equity,549300JRDP7MWQWUOI82,LEI,UBAM-SWISS EQUITY-IC,LU0132668087,ISIN,מניות,"חו""ל",שוויץ,סחיר,אחר,Equity Funds,לא,CHF,1037.35,4.1427,49496.0,2127.06552,0.001684,0.020126,0.000173
214,12027,KBI Fund ICAV - KBI Energy Sol,635400UCQYVGO94KDT51,LEI,KBI ENERGY SOLUTIONS-AUSDACC,IE00BNGJJ156,ISIN,מניות,"חו""ל",גלובלי,סחיר,אחר,Equity Funds,לא,USD,88570.82,3.306,1119.7,3278.65096,0.005316,0.031022,0.000268
214,12027,Fidelity Funds - Asia Pacific,5493007KIU6LS4KZ1387,LEI,FIDELITY FDS-ASIA P OP-IAUSD,LU2045877524,ISIN,מניות,"חו""ל",Developed Markets - Pacific,סחיר,אחר,"MSCI EMERGING MARKETS - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-שווקים מתעוררים כללי",לא,USD,59210.47,3.306,1773.0,3470.64408,0.004026,0.032838,0.000283
214,12027,Artemis Funds Lux - SmartGARP,5493003UWC387B8GNF45,LEI,ARTEMIS LUX-SG GL EM E-IAUSD,LU1846577242,ISIN,מניות,"חו""ל","גלובלי ללא ארה""ב",סחיר,אחר,"MSCI EMERGING MARKETS - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-שווקים מתעוררים כללי",לא,USD,1194110.52,3.306,184.81,7295.79869,0.00808,0.069032,0.000596
214,12027,Fidelity Funds - Global Focus,549300F4JJCOV7BCT788,LEI,FIDELITY FDS-GL FOCUS-IAUSD,LU1366333257,ISIN,מניות,"חו""ל",גלובלי,סחיר,אחר,Equity Funds,לא,USD,25637.21,3.306,3055.0,2589.31468,0.008155,0.024499,0.000211
214,12027,Nomura Funds Ireland - Nomura,549300B3CEAHYG7K8164,LEI,NUSHYIU ID,IE00B3RW8498,ISIN,"אג""ח קונצרני","חו""ל","ארה""ב",סחיר,אחר,Bond/Fixed Income Funds,לא,USD,9958.21,3.306,43065.06,14177.81422,0.001979,0.134147,0.001158
214,12027,Neuberger Berman Global Flexib,549300XIWEKOTC8HO652,LEI,NB GLB FLEX CRE,IE00BMD7Z621,ISIN,"אג""ח קונצרני","חו""ל","ארה""ב",סחיר,אחר,Bond/Fixed Income Funds,לא,USD,340786.99,3.306,1380.0,15547.65666,0.017976,0.147109,0.00127
214,12027,PIMCO GIS GLOBAL HIGH YIELD BD,QXVFC9ZCZF8S0XG3RS45,LEI,PIMCO Global High Yield,IE0002420739,ISIN,"אג""ח קונצרני","חו""ל","ארה""ב",סחיר,אחר,Bond/Fixed Income Funds,לא,USD,70229.68,3.306,3352.0,7782.65049,0.004029,0.073638,0.000635
214,12027,Kotak Funds - India Midcap Fun,549300P1V22EKK1UCL34,LEI,KOTAK INDIA MIDCAP-S,LU2126068639,ISIN,מניות,"חו""ל",הודו,סחיר,אחר,"CNX NIFTY - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-אסיה הודו",לא,USD,53823.03,3.306,1433.42,2550.61212,0.002046,0.024133,0.000208
214,12027,Fidelity Funds - US High Yield,5493009BXYOCIRTXRS63,LEI,FIDELITY-US HIGH YD-I ACC,LU0891474172,ISIN,"אג""ח קונצרני","חו""ל","ארה""ב",סחיר,אחר,Bond/Fixed Income Funds,לא,USD,151383.21,3.306,1847.0,9243.73436,0.005566,0.087463,0.000755
214,12027,PIMCO GIS US High Yield Bond F,H77EL1W1M92QDZ004K92,LEI,PIMCO HIGH YIELD BO,IE0002460974,ISIN,"אג""ח קונצרני","חו""ל","ארה""ב",סחיר,אחר,Bond/Fixed Income Funds,לא,USD,62935.72,3.306,4668.0,9712.49735,0.004297,0.091898,0.000794
214,14199,Nomura Funds Ireland - Nomura,549300B3CEAHYG7K8164,LEI,NUSHYIU ID,IE00B3RW8498,ISIN,"אג""ח קונצרני","חו""ל","ארה""ב",סחיר,אחר,Bond/Fixed Income Funds,לא,USD,1396.14,3.306,43065.06,1987.72507,0.000277,0.179208,0.016724
214,14199,UBAM - Swiss Equity,549300JRDP7MWQWUOI82,LEI,UBAM-SWISS EQUITY-IC,LU0132668087,ISIN,מניות,"חו""ל",שוויץ,סחיר,אחר,Equity Funds,לא,CHF,45.42,4.1427,49496.0,93.13099,7.3e-05,0.008396,0.000783
214,14199,Neuberger Berman Global Flexib,549300XIWEKOTC8HO652,LEI,NB GLB FLEX CRE,IE00BMD7Z621,ISIN,"אג""ח קונצרני","חו""ל","ארה""ב",סחיר,אחר,Bond/Fixed Income Funds,לא,USD,47778.22,3.306,1380.0,2179.77655,0.00252,0.196524,0.018341
