מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,שם נייר ערך,מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,זירת מסחר,דירוג,שם מדרג,מטבע פעילות,"מח""מ",מועד פדיון,שיעור ריבית,תשואה לפדיון,סכום לקבל (במטבע הפעילות),ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",השיטה שיושמה בדוח הכספי,שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
14036,14043,האוצר - ממשלתית צמודה,ממשל צמודה 0529,IL0011570236,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,3.634,31/05/2029,0.005,0.01929,0.0,215575.0,1.0,113.0,243.6,,שווי הוגן,1e-05,0.38982,0.01363
14036,14043,האוצר - ממשלתית שקלית,ממשל שקלי 0142,IL0011254005,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,11.17,31/01/2042,0.055,0.04344,0.0,134185.0,1.0,117.0,156.996,,שווי הוגן,4.33e-06,0.25123,0.00879
14036,14043,האוצר - ממשלתית שקלית,ממשל שקלית 0330,IL0011609851,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,4.392,31/03/2030,0.01,0.03922,0.0,253000.0,1.0,88.66,224.31,,שווי הוגן,1e-05,0.35895,0.01256
14036,14037,האוצר - ממשלתית צמודה,ממשל צמוד 0527,IL0011408478,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,1.658,31/05/2027,0.0075,0.02077,0.0,3870431.0,1.0,117.66,4553.949,,שווי הוגן,0.00016,0.26773,0.00903
14036,14037,האוצר - ממשלתית צמודה,ממשל צמודה 1028,IL0011973265,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,3.019,31/10/2028,0.011,0.0199,0.0,40000.0,1.0,105.65,42.26,,שווי הוגן,1.19e-06,0.00248,8e-05
14036,14037,האוצר - ממשלתית שקלית,ממשל שקלי 0142,IL0011254005,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,11.17,31/01/2042,0.055,0.04344,0.0,6131058.0,1.0,117.0,7173.338,,שווי הוגן,0.0002,0.42172,0.01423
14036,14037,האוצר - ממשלתית שקלית,ממשל שקלי 0327,IL0011393449,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,1.479,31/03/2027,0.02,0.03942,0.0,91155.0,1.0,98.22,89.532,,שווי הוגן,3.23e-06,0.00526,0.00018
14036,14037,האוצר - ממשלתית שקלית,ממשל שקלית 0330,IL0011609851,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,4.392,31/03/2030,0.01,0.03922,0.0,5809449.0,1.0,88.66,5150.657,,שווי הוגן,0.00015,0.30281,0.01021
14036,14038,האוצר - ממשלתית צמודה,ממשל צמוד 0527,IL0011408478,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,1.658,31/05/2027,0.0075,0.02077,0.0,233514.0,1.0,117.66,274.753,,שווי הוגן,1e-05,0.02676,0.00179
14036,14038,האוצר - ממשלתית צמודה,ממשל צמוד 1025,IL0011359127,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,0.085,31/10/2025,0.0075,0.08594,0.0,436805.0,1.0,119.27,520.977,,שווי הוגן,5e-05,0.05074,0.0034
14036,14038,האוצר - ממשלתית צמודה,ממשל צמודה 1028,IL0011973265,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,3.019,31/10/2028,0.011,0.0199,0.0,2898576.0,1.0,105.65,3062.346,,שווי הוגן,9e-05,0.29826,0.02
14036,14038,האוצר - ממשלתית שקלית,ממשל שקלי 0142,IL0011254005,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,11.17,31/01/2042,0.055,0.04344,0.0,3343169.0,1.0,117.0,3911.508,,שווי הוגן,0.00011,0.38097,0.02555
14036,14038,האוצר - ממשלתית שקלית,ממשל שקלי 0928,IL0011508798,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,2.928,30/09/2028,0.0225,0.0392,0.0,875496.0,1.0,95.37,834.961,,שווי הוגן,3e-05,0.08132,0.00545
14036,14038,האוצר - ממשלתית שקלית,ממשל שקלי 1026,IL0010994569,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,1.025,31/10/2026,0.0625,0.03838,0.0,11368.0,1.0,108.22,12.302,,שווי הוגן,7.6e-07,0.0012,8e-05
14036,14038,האוצר - ממשלתית שקלית,ממשל שקלית 0226,IL0011746976,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,0.411,28/02/2026,0.005,0.04008,0.0,9594.0,1.0,98.89,9.488,,שווי הוגן,3.9e-07,0.00092,6e-05
14036,14038,האוצר - ממשלתית שקלית,ממשל שקלית 0330,IL0011609851,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,4.392,31/03/2030,0.01,0.03922,0.0,1850793.0,1.0,88.66,1640.913,,שווי הוגן,5e-05,0.15982,0.01072
14036,14039,האוצר - ממשלתית צמודה,ממשל צמוד 0527,IL0011408478,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,1.658,31/05/2027,0.0075,0.02077,0.0,1006544.0,1.0,117.66,1184.3,,שווי הוגן,4e-05,0.09482,0.01171
14036,14039,האוצר - ממשלתית צמודה,ממשל צמודה 0529,IL0011570236,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,3.634,31/05/2029,0.005,0.01929,0.0,398142.0,1.0,113.0,449.9,,שווי הוגן,1e-05,0.03602,0.00445
14036,14039,האוצר - ממשלתית צמודה,ממשל צמודה 0726,IL0011695645,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,0.833,31/07/2026,0.001,0.02648,0.0,206607.0,1.0,116.31,240.305,,שווי הוגן,1e-05,0.01924,0.00238
14036,14039,האוצר - ממשלתית צמודה,ממשל צמודה 1028,IL0011973265,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,3.019,31/10/2028,0.011,0.0199,0.0,2635230.0,1.0,105.65,2784.121,,שווי הוגן,8e-05,0.2229,0.02754
14036,14039,האוצר - ממשלתית שקלית,ממשל שקלי 0142,IL0011254005,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,11.17,31/01/2042,0.055,0.04344,0.0,701356.0,1.0,117.0,820.587,,שווי הוגן,2e-05,0.0657,0.00812
14036,14039,האוצר - ממשלתית שקלית,ממשל שקלי 0327,IL0011393449,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,1.479,31/03/2027,0.02,0.03942,0.0,1205986.0,1.0,98.22,1184.519,,שווי הוגן,4e-05,0.09483,0.01172
