מספר קרן,מספר מסלול,מאפיין עיקרי,חודש הנפקת שכבה,חודש הבדיקה,"שווי הנכסים באפיק (באלפי ש""ח)",שיעור מסך נכסי ההשקעה
14036,14043,החזקה באפיק השקעה מובטח תשואה,,,7656.308,0.42854
14036,14037,החזקה באפיק השקעה מובטח תשואה,,,131205.695,0.26019
14036,14038,החזקה באפיק השקעה מובטח תשואה,,,41183.816,0.26896
14036,14039,החזקה באפיק השקעה מובטח תשואה,,,27836.892,0.27534
14036,14054,החזקה באפיק השקעה מובטח תשואה,,,19153.823,0.28281
14036,14040,החזקה באפיק השקעה מובטח תשואה,,,8420.917,0.29265
14036,14042,החזקה באפיק השקעה מובטח תשואה,,,16333.349,0.2832
14036,14333,החזקה באפיק השקעה מובטח תשואה,,,13519.693,0.31144
14036,14334,החזקה באפיק השקעה מובטח תשואה,,,619.886,0.34607
14036,15685,החזקה באפיק השקעה מובטח תשואה,,,14.377,0.02721
14044,14045,,,,,
14044,14046,,,,,
14044,14047,,,,,
14044,14058,,,,,
14044,14048,,,,,
14044,14049,,,,,
14044,14050,,,,,
14044,14335,,,,,
14044,14336,,,,,
