מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם הנכס,מאפיין עיקרי,"מדינת מיקום נדל""ן",בעל עניין/צד קשור,תאריך רכישה,שימוש עיקרי בנכס,מחזור חיי הנכס,כתובת הנכס,שיעור תשואה בפועל במהלך הרבעון,השיטה שבאמצעותה נקבע שווי הנכס,סוג גורם משערך,שם גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,מטבע פעילות,שווי הוגן (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
14036,14043,,,,,,,,,,,,,,,,,,,,,,
14036,14037,,,,,,,,,,,,,,,,,,,,,,
14036,14038,,,,,,,,,,,,,,,,,,,,,,
14036,14039,,,,,,,,,,,,,,,,,,,,,,
14036,14054,,,,,,,,,,,,,,,,,,,,,,
14036,14040,,,,,,,,,,,,,,,,,,,,,,
14036,14042,,,,,,,,,,,,,,,,,,,,,,
14036,14333,,,,,,,,,,,,,,,,,,,,,,
14036,14334,,,,,,,,,,,,,,,,,,,,,,
14036,15685,,,,,,,,,,,,,,,,,,,,,,
14044,14045,,,,,,,,,,,,,,,,,,,,,,
14044,14046,,,,,,,,,,,,,,,,,,,,,,
14044,14047,,,,,,,,,,,,,,,,,,,,,,
14044,14058,,,,,,,,,,,,,,,,,,,,,,
14044,14048,,,,,,,,,,,,,,,,,,,,,,
14044,14049,,,,,,,,,,,,,,,,,,,,,,
14044,14050,,,,,,,,,,,,,,,,,,,,,,
14044,14335,,,,,,,,,,,,,,,,,,,,,,
14044,14336,,,,,,,,,,,,,,,,,,,,,,
