מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,זירת מסחר,נכס בסיס,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
14036,14037,Chicago Mercantile Exchange Inc,SNZ2OJLFK8MNNCLQOF39,LEI,F- 12/25 MICRO,HWAZ5_INDEX,Ticker,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,30.0,3.306,5925.0,29.382,1.0,6e-05
14036,14038,EUREX Clearing Aktiengesellschaft,529900LN3S50JPU47S06,LEI,F 12/25 MICRO D,MZSZ5_INDEX,Ticker,"חו""ל",גרמניה,EUREX,מניות לרבות מדדי מניות,לא,EUR,10.0,3.881,24023.81,9.323,0.76036,6e-05
14036,14038,Chicago Mercantile Exchange Inc,SNZ2OJLFK8MNNCLQOF39,LEI,F- 12/25 MICRO,HWAZ5_INDEX,Ticker,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,3.0,3.306,5924.98,2.938,0.23964,2e-05
14036,14039,EUREX Clearing Aktiengesellschaft,529900LN3S50JPU47S06,LEI,F 12/25 MICRO D,MZSZ5_INDEX,Ticker,"חו""ל",גרמניה,EUREX,מניות לרבות מדדי מניות,לא,EUR,9.0,3.881,24023.79,8.391,0.89548,8e-05
14036,14039,Chicago Mercantile Exchange Inc,SNZ2OJLFK8MNNCLQOF39,LEI,F- 12/25 MICRO,HWAZ5_INDEX,Ticker,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,1.0,3.306,5924.98,0.979,0.10452,1e-05
14036,14054,Chicago Mercantile Exchange Inc,SNZ2OJLFK8MNNCLQOF39,LEI,F- 12/25 MICRO,HWAZ5_INDEX,Ticker,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,82.0,3.306,5925.0,80.311,1.0,0.00119
14036,14040,Chicago Mercantile Exchange Inc,SNZ2OJLFK8MNNCLQOF39,LEI,E-MINI PHLX SEM,SWOZ5_INDEX,Ticker,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,10.0,3.306,30450.0,251.669,1.0,0.00875
14036,14042,EUREX Clearing Aktiengesellschaft,529900LN3S50JPU47S06,LEI,EUREX Clearing Aktiengesellschaft,ZTLZ5_INDEX,Ticker,"חו""ל",אירופה,EUREX,מניות לרבות מדדי מניות,לא,USD,70.0,3.306,-57.0,-13.191,1.0,-0.00023
14044,14058,Chicago Mercantile Exchange Inc,SNZ2OJLFK8MNNCLQOF39,LEI,F- 12/25 MICRO,HWAZ5_INDEX,Ticker,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,7.0,3.306,5924.99,6.856,1.0,0.00229
14044,14048,Chicago Mercantile Exchange Inc,SNZ2OJLFK8MNNCLQOF39,LEI,E-MINI PHLX SEM,SWOZ5_INDEX,Ticker,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,1.0,3.306,30449.99,25.167,1.0,0.00914
14044,14049,EUREX Clearing Aktiengesellschaft,529900LN3S50JPU47S06,LEI,F - 12/25 MSCI,ZTLZ5_INDEX,Ticker,"חו""ל",אירופה,EUREX,מניות לרבות מדדי מניות,לא,USD,6.0,3.306,-57.0,-1.131,1.0,-0.00061
14036,14043,,,,,,,,,,,,,,,,,,
14036,14333,,,,,,,,,,,,,,,,,,
14036,14334,,,,,,,,,,,,,,,,,,
14036,15685,,,,,,,,,,,,,,,,,,
14044,14045,,,,,,,,,,,,,,,,,,
14044,14046,,,,,,,,,,,,,,,,,,
14044,14047,,,,,,,,,,,,,,,,,,
14044,14050,,,,,,,,,,,,,,,,,,
14044,14335,,,,,,,,,,,,,,,,,,
14044,14336,,,,,,,,,,,,,,,,,,
