מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מאפיין עיקרי,שם שותף כללי קרן השקעות,מספר מזהה שותף כללי קרן השקעות,סוג מספר מזהה שותף כללי קרן השקעות,שם קרן השקעה,מספר מזהה קרן השקעה,סוג מספר מזהה קרן השקעות,מטבע פעילות,תאריך העמדת התחייבות לקרן השקעה,סכום המחויבות הראשוני (במטבע הדיווח של קרן ההשקעה),"סכום המחויבות הראשוני (באלפי ש""ח)",יתרת המחויבות לתקופת הדיווח (במטבע הדיווח של קרן ההשקעה),"יתרת המחויבות לתקופת הדיווח (באלפי ש""ח)",שיעור יתרת המחויבות,תאריך פקיעת מחויבות להשקעה
14036,14043,,,,,,,,,,,,,,,
14036,14037,,,,,,,,,,,,,,,
14036,14038,,,,,,,,,,,,,,,
14036,14039,,,,,,,,,,,,,,,
14036,14054,,,,,,,,,,,,,,,
14036,14040,,,,,,,,,,,,,,,
14036,14042,,,,,,,,,,,,,,,
14036,14333,,,,,,,,,,,,,,,
14036,14334,,,,,,,,,,,,,,,
14036,15685,,,,,,,,,,,,,,,
14044,14045,,,,,,,,,,,,,,,
14044,14046,,,,,,,,,,,,,,,
14044,14047,,,,,,,,,,,,,,,
14044,14058,,,,,,,,,,,,,,,
14044,14048,,,,,,,,,,,,,,,
14044,14049,,,,,,,,,,,,,,,
14044,14050,,,,,,,,,,,,,,,
14044,14335,,,,,,,,,,,,,,,
14044,14336,,,,,,,,,,,,,,,
