מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מאפיין עיקרי,שם נייר ערך,מספר נייר ערך,תאריך רכישה,"מח""מ",סוג הצמדה,מועד פדיון,שיעור ריבית,תשואה לפדיון,ערך נקוב (יחידות),שער נייר הערך,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
14036,14043,ממשלת ישראל,ערד 8911,8289084.0,1/08/2022,9.098,צמוד למדד המחירים לצרכן,1/08/2037,0.048,0.04855,31388.0,112.794,35.404,,שווי הוגן,0.50376,0.00198
14036,14043,ממשלת ישראל,ערד 8912,8289092.0,1/09/2022,9.179,צמוד למדד המחירים לצרכן,1/09/2037,0.048,0.04858,31397.38,111.079,34.876,,שווי הוגן,0.49624,0.00195
14036,14037,ממשלת ישראל,ערד 8909,8289068.0,1/06/2022,8.928,צמוד למדד המחירים לצרכן,1/06/2037,0.048,0.04857,150133.0,114.775,172.316,,שווי הוגן,0.23115,0.00034
14036,14037,ממשלת ישראל,ערד 8910,8289076.0,1/07/2022,9.012,צמוד למדד המחירים לצרכן,1/07/2037,0.048,0.04856,31299.0,113.679,35.581,,שווי הוגן,0.04773,7e-05
14036,14037,ממשלת ישראל,ערד 8911,8289084.0,1/08/2022,9.098,צמוד למדד המחירים לצרכן,1/08/2037,0.048,0.04855,190428.0,112.794,214.791,,שווי הוגן,0.28812,0.00043
14036,14037,ממשלת ישראל,ערד 8912,8289092.0,1/09/2022,9.179,צמוד למדד המחירים לצרכן,1/09/2037,0.048,0.04858,290601.24,111.079,322.797,,שווי הוגן,0.433,0.00064
14036,14038,ממשלת ישראל,ערד 8909,8289068.0,1/06/2022,8.928,צמוד למדד המחירים לצרכן,1/06/2037,0.048,0.04857,350896.0,114.775,402.742,,שווי הוגן,0.89077,0.00263
14036,14038,ממשלת ישראל,ערד 8910,8289076.0,1/07/2022,9.012,צמוד למדד המחירים לצרכן,1/07/2037,0.048,0.04856,25155.0,113.679,28.596,,שווי הוגן,0.06325,0.00019
14036,14038,ממשלת ישראל,ערד 8911,8289084.0,1/08/2022,9.098,צמוד למדד המחירים לצרכן,1/08/2037,0.048,0.04855,14387.0,112.794,16.228,,שווי הוגן,0.03589,0.00011
14036,14038,ממשלת ישראל,ערד 8912,8289092.0,1/09/2022,9.179,צמוד למדד המחירים לצרכן,1/09/2037,0.048,0.04858,4108.11,111.079,4.563,,שווי הוגן,0.01009,3e-05
14036,14039,ממשלת ישראל,ערד 8910,8289076.0,1/07/2022,9.012,צמוד למדד המחירים לצרכן,1/07/2037,0.048,0.04856,2653.0,113.679,3.016,,שווי הוגן,0.1072,3e-05
14036,14039,ממשלת ישראל,ערד 8911,8289084.0,1/08/2022,9.098,צמוד למדד המחירים לצרכן,1/08/2037,0.048,0.04855,9333.0,112.794,10.527,,שווי הוגן,0.37418,0.0001
14036,14039,ממשלת ישראל,ערד 8912,8289092.0,1/09/2022,9.179,צמוד למדד המחירים לצרכן,1/09/2037,0.048,0.04858,13135.11,111.079,14.59,,שווי הוגן,0.51861,0.00014
