מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,ענף מסחר,בעל עניין/צד קשור,תאריך רכישה,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,"מח""מ",סוג הצמדה,ריבית עוגן,מועד פדיון,שיעור ריבית,תשואה לפדיון,נחיתות חוזית,האם סווג כחוב בעייתי,סוג גורם משערך,תלות/אי-תלות המשערך,שם גורם משערך,תאריך שערוך אחרון,תאריך אחרון בו נבחנה בפועל ירידת ערך,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
14036,14043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14036,14037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14036,14038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14036,14039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14036,14054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14036,14040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14036,14042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14036,14333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14036,14334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14036,15685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14044,14045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14044,14046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14044,14047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14044,14058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14044,14048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14044,14049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14044,14050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14044,14335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14044,14336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
