מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם הבנק,מספר מזהה בנק,סוג מספר מזהה בנק,מאפיין עיקרי,"ישראל/חו""ל",בעל עניין/צד קשור,דירוג הבנק,שם מדרג,מטבע פעילות,שווי מטבעי,שער חליפין,שיעור ריבית,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
14036,14043,מזרחי,20-174,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,מעלות S&P,ILS,2610.527,1.0,0.0,2610.527,0.87698,0.14612
14036,14043,מזרחי,20-174,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,מעלות S&P,USD,6.6,3.306,0.0,21.819,0.00733,0.00122
14036,14043,מזרחי,20-174,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,מעלות S&P,ILS,344.369,1.0,0.0,344.369,0.11569,0.01928
14036,14037,מזרחי,20-174,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,מעלות S&P,ILS,0.0,1.0,0.0,0.0,0.0,0.0
14036,14037,מזרחי,20-174,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,מעלות S&P,ILS,27935.553,1.0,0.0,27935.553,0.94941,0.0554
14036,14037,מזרחי,20-174,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,מעלות S&P,ILS,0.003,1.0,0.0,0.003,0.0,0.0
14036,14037,מזרחי,20-174,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,מעלות S&P,EUR,0.006,3.881,0.0,0.023,0.0,0.0
14036,14037,מזרחי,20-174,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,מעלות S&P,USD,182.005,3.306,0.0,601.709,0.02045,0.00119
14036,14037,מזרחי,20-174,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,מעלות S&P,ILS,-8.383,1.0,0.0,-8.383,-0.00028,-2e-05
14036,14037,מזרחי,20-174,סימול בנק,"פקדון במט""ח עד שלושה חודשים","חו""ל",לא,AAA,S&P,EUR,33.556,3.881,0.0,130.22,0.00443,0.00026
14036,14037,מזרחי,20-174,סימול בנק,"פקדון במט""ח עד שלושה חודשים","חו""ל",לא,AAA,S&P,USD,231.392,3.306,0.0,764.982,0.026,0.00152
14036,14038,מזרחי,20-174,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,מעלות S&P,ILS,0.0,1.0,0.0,0.0,0.0,0.0
14036,14038,מזרחי,20-174,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,מעלות S&P,ILS,4425.857,1.0,0.0,4425.857,0.65249,0.0289
14036,14038,מזרחי,20-174,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,מעלות S&P,EUR,0.745,3.881,0.0,2.89,0.00043,2e-05
14036,14038,מזרחי,20-174,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,מעלות S&P,USD,228.912,3.306,0.0,756.785,0.11157,0.00494
14036,14038,מזרחי,20-174,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,מעלות S&P,ILS,1504.247,1.0,0.0,1504.247,0.22177,0.00982
14036,14038,מזרחי,20-174,סימול בנק,"פקדון במט""ח עד שלושה חודשים","חו""ל",לא,AAA,S&P,EUR,4.775,3.881,0.0,18.532,0.00273,0.00012
14036,14038,מזרחי,20-174,סימול בנק,"פקדון במט""ח עד שלושה חודשים","חו""ל",לא,AAA,S&P,USD,22.608,3.306,0.0,74.742,0.01102,0.00049
14036,14039,מזרחי,20-174,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,מעלות S&P,ILS,5460.079,1.0,0.0,5460.079,0.92554,0.05401
14036,14039,מזרחי,20-174,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,מעלות S&P,EUR,0.787,3.881,0.0,3.056,0.00052,3e-05
14036,14039,מזרחי,20-174,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,מעלות S&P,USD,121.938,3.306,0.0,403.127,0.06833,0.00399
14036,14039,מזרחי,20-174,סימול בנק,"פקדון במט""ח עד שלושה חודשים","חו""ל",לא,AAA,S&P,EUR,1.961,3.881,0.0,7.611,0.00129,8e-05
14036,14039,מזרחי,20-174,סימול בנק,"פקדון במט""ח עד שלושה חודשים","חו""ל",לא,AAA,S&P,USD,7.703,3.306,0.0,25.467,0.00432,0.00025
14036,14054,מזרחי,20-174,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,מעלות S&P,ILS,0.0,1.0,0.0,0.0,0.0,0.0
14036,14054,מזרחי,20-174,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,מעלות S&P,ILS,1752.042,1.0,0.0,1752.042,0.20244,0.02587
14036,14054,מזרחי,20-174,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,מעלות S&P,USD,234.369,3.306,0.0,774.825,0.08953,0.01144
14036,14054,מזרחי,20-174,סימול בנק,"פקדון במט""ח עד שלושה חודשים",ישראל,לא,ilAAA,מעלות S&P,USD,1250.0,3.306,0.052,4132.5,0.47748,0.06102
14036,14054,מזרחי,20-174,סימול בנק,"פקדון במט""ח עד שלושה חודשים","חו""ל",לא,AAA,S&P,USD,603.565,3.306,0.0,1995.385,0.23055,0.02946
14036,14040,מזרחי,20-174,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,מעלות S&P,ILS,505.867,1.0,0.0,505.867,0.15325,0.01758
14036,14040,מזרחי,20-174,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,מעלות S&P,USD,353.808,3.306,0.0,1169.691,0.35435,0.04065
14036,14040,מזרחי,20-174,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,מעלות S&P,ILS,169.006,1.0,0.0,169.006,0.0512,0.00587
14036,14040,מזרחי,20-174,סימול בנק,"פקדון במט""ח עד שלושה חודשים","חו""ל",לא,AAA,S&P,USD,440.536,3.306,0.0,1456.412,0.44121,0.05061
14036,14042,מזרחי,20-174,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,מעלות S&P,ILS,2115.36,1.0,0.0,2115.36,0.35492,0.03668
14036,14042,מזרחי,20-174,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,מעלות S&P,EUR,79.607,3.881,0.0,308.931,0.05183,0.00536
14036,14042,מזרחי,20-174,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,מעלות S&P,USD,176.28,3.306,0.0,582.781,0.09778,0.0101
14036,14042,מזרחי,20-174,סימול בנק,"פקדון במט""ח עד שלושה חודשים",ישראל,לא,ilAAA,מעלות S&P,USD,260.0,3.306,0.052,859.56,0.14422,0.0149
14036,14042,מזרחי,20-174,סימול בנק,"פקדון במט""ח עד שלושה חודשים","חו""ל",לא,AAA,S&P,EUR,0.042,3.881,0.0,0.163,3e-05,0.0
14036,14042,מזרחי,20-174,סימול בנק,"פקדון במט""ח עד שלושה חודשים","חו""ל",לא,AAA,S&P,USD,633.176,3.306,0.0,2093.281,0.35122,0.03629
14036,14333,מזרחי,20-174,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,מעלות S&P,ILS,1381.809,1.0,0.0,1381.809,0.99452,0.03183
14036,14333,מזרחי,20-174,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,מעלות S&P,USD,2.301,3.306,0.0,7.608,0.00548,0.00018
14036,14334,מזרחי,20-174,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,מעלות S&P,ILS,81.723,1.0,0.0,81.723,0.91891,0.04562
14036,14334,מזרחי,20-174,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,מעלות S&P,USD,2.182,3.306,0.0,7.212,0.08109,0.00403
14036,15685,מזרחי,20-174,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,מעלות S&P,ILS,158.093,1.0,0.0,158.093,0.98514,0.29919
14036,15685,מזרחי,20-174,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,מעלות S&P,USD,0.721,3.306,0.0,2.384,0.01486,0.00451
14044,14045,מזרחי,20-174,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,מעלות S&P,ILS,0.0,1.0,0.0,0.0,0.0,0.0
14044,14045,מזרחי,20-174,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,מעלות S&P,ILS,649.742,1.0,0.0,649.742,0.96845,0.08565
14044,14045,מזרחי,20-174,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,מעלות S&P,ILS,0.0,1.0,0.0,0.0,0.0,0.0
14044,14045,מזרחי,20-174,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,מעלות S&P,EUR,3.79,3.881,0.0,14.707,0.02192,0.00194
14044,14045,מזרחי,20-174,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,מעלות S&P,USD,46.394,3.306,0.0,153.377,0.22861,0.02022
14044,14045,מזרחי,20-174,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,מעלות S&P,ILS,-146.919,1.0,0.0,-146.919,-0.21899,-0.01937
14044,14046,מזרחי,20-174,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,מעלות S&P,ILS,0.0,1.0,0.0,0.0,0.0,0.0
14044,14046,מזרחי,20-174,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,מעלות S&P,ILS,109.614,1.0,0.0,109.614,0.87965,0.02259
14044,14046,מזרחי,20-174,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,מעלות S&P,USD,4.536,3.306,0.0,14.997,0.12035,0.00309
14044,14047,מזרחי,20-174,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,מעלות S&P,ILS,23.904,1.0,0.0,23.904,0.527,0.02563
14044,14047,מזרחי,20-174,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,מעלות S&P,USD,6.49,3.306,0.0,21.455,0.473,0.023
14044,14058,מזרחי,20-174,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,מעלות S&P,USD,19.875,3.306,0.0,65.705,0.11735,0.02194
14044,14058,מזרחי,20-174,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,מעלות S&P,ILS,45.668,1.0,0.0,45.668,0.08157,0.01525
14044,14058,מזרחי,20-174,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,מעלות S&P,USD,5.134,3.306,0.0,16.972,0.03031,0.00567
14044,14058,מזרחי,20-174,סימול בנק,"פקדון במט""ח עד שלושה חודשים",ישראל,לא,ilAAA,מעלות S&P,USD,70.0,3.306,0.052,231.42,0.41332,0.07727
14044,14058,מזרחי,20-174,סימול בנק,"פקדון במט""ח עד שלושה חודשים","חו""ל",לא,AAA,S&P,USD,60.537,3.306,0.0,200.134,0.35745,0.06682
14044,14048,מזרחי,20-174,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,מעלות S&P,ILS,54.069,1.0,0.0,54.069,0.27809,0.01964
14044,14048,מזרחי,20-174,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,מעלות S&P,EUR,0.196,3.881,0.0,0.762,0.00392,0.00028
14044,14048,מזרחי,20-174,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,מעלות S&P,USD,9.857,3.306,0.0,32.587,0.1676,0.01183
14044,14048,מזרחי,20-174,סימול בנק,"פקדון במט""ח עד שלושה חודשים","חו""ל",לא,AAA,S&P,USD,32.369,3.306,0.0,107.013,0.55039,0.03886
14044,14049,מזרחי,20-174,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,מעלות S&P,ILS,27.89,1.0,0.0,27.89,0.15462,0.01501
14044,14049,מזרחי,20-174,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,מעלות S&P,EUR,2.027,3.881,0.0,7.866,0.04361,0.00423
