מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,ענף מסחר,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,סכום לקבל (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)",שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
14036,14043,איי.סי.אל גרופ בעמ,520027830,ח.פ.,איי.סי.אל,IL0002810146,ISIN,מניות,ישראל,ישראל,סחיר,TASE,"כימיה, גומי ופלסטיק",לא,ILS,617.0,1.0,2070.0,0.0,12.772,4.8e-07,0.01381,0.00071
14036,14043,אלביט מערכות בעמ,520043027,ח.פ.,אלביט מערכות,IL0010811243,ISIN,מניות,ישראל,ישראל,סחיר,TASE,ביטחוניות,לא,ILS,42.0,1.0,167700.0,0.0,70.434,9.1e-07,0.07616,0.00394
14036,14043,אלטשולר שחם פיננסים בעמ,516508603,ח.פ.,אלטשולר שחם פנ,IL0011849366,ISIN,מניות,ישראל,ישראל,סחיר,TASE,שירותים פיננסיים,לא,ILS,2177.0,1.0,799.0,0.0,17.394,1e-05,0.01881,0.00097
14036,14043,אלקו בעמ,520025370,ח.פ.,אלקו,IL0006940345,ISIN,מניות,ישראל,ישראל,סחיר,TASE,השקעה ואחזקות,לא,ILS,125.0,1.0,17020.0,0.0,21.275,4.64e-06,0.023,0.00119
14036,14043,אלקטרה בעמ,520028911,ח.פ.,אלקטרה,IL0007390375,ISIN,מניות,ישראל,ישראל,סחיר,TASE,השקעה ואחזקות,לא,ILS,4.0,1.0,192960.0,0.05,7.767,1.04e-06,0.0084,0.00043
14036,14043,אנרג'יאן פי אל סי,549300RVMKU0CYUZBB05,LEI,אנרגיאן,GB00BG12Y042,ISIN,מניות,ישראל,בריטניה,סחיר,TASE,חיפושי נפט וגז,לא,ILS,80.0,1.0,3825.0,0.08,3.14,4.3e-07,0.0034,0.00018
14036,14043,איירפורט סיטי בעמ,511659401,ח.פ.,ארפורט סיטי,IL0010958358,ISIN,מניות,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ILS,41.0,1.0,6144.0,0.0,2.519,3.5e-07,0.00272,0.00014
14036,14043,בית זיקוק אשדוד בעמ,513775163,ח.פ.,בזא,IL0011989105,ISIN,מניות,ישראל,ישראל,סחיר,TASE,אנרגיה,לא,ILS,132.0,1.0,5600.0,0.0,7.392,1e-05,0.00799,0.00041
14036,14043,בתי זקוק לנפט בעמ,520036658,ח.פ.,בזן,IL0025902482,ISIN,מניות,ישראל,ישראל,סחיר,TASE,אנרגיה,לא,ILS,8092.0,1.0,89.4,0.0,7.234,2.6e-06,0.00782,0.0004
14036,14043,בזק החברה הישראלית לתקשורת בעמ,520031931,ח.פ.,בזק,IL0002300114,ISIN,מניות,ישראל,ישראל,סחיר,TASE,תקשורת ומדיה,לא,ILS,6450.0,1.0,634.7,1.36,42.294,2.33e-06,0.04573,0.00237
14036,14043,דור אלון אנרגיה בישראל (1988) בעמ,520043878,ח.פ.,דור אלון,IL0010932023,ISIN,מניות,ישראל,ישראל,סחיר,TASE,אנרגיה,לא,ILS,33.0,1.0,13070.0,0.0,4.313,2.09e-06,0.00466,0.00024
14036,14043,בנק דיסקונט לישראל בעמ,520007030,ח.פ.,דיסקונט א,IL0006912120,ISIN,מניות,ישראל,ישראל,סחיר,TASE,בנקים,לא,ILS,267.0,1.0,3274.0,0.0,8.742,2.2e-07,0.00945,0.00049
