מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם הנכס האחר,מספר הנכס האחר,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,תאריך עסקה,מטבע פעילות,תאריך שערוך אחרון,שווי מטבעי,שער חליפין,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
14036,14043,,,,,,,,,,,,,,,,
14036,14037,,,,,,,,,,,,,,,,
14036,14038,,,,,,,,,,,,,,,,
14036,14039,,,,,,,,,,,,,,,,
14036,14054,,,,,,,,,,,,,,,,
14036,14040,,,,,,,,,,,,,,,,
14036,14042,,,,,,,,,,,,,,,,
14036,14333,,,,,,,,,,,,,,,,
14036,14334,,,,,,,,,,,,,,,,
14036,15685,,,,,,,,,,,,,,,,
14044,14045,,,,,,,,,,,,,,,,
14044,14046,,,,,,,,,,,,,,,,
14044,14047,,,,,,,,,,,,,,,,
14044,14058,,,,,,,,,,,,,,,,
14044,14048,,,,,,,,,,,,,,,,
14044,14049,,,,,,,,,,,,,,,,
14044,14050,,,,,,,,,,,,,,,,
14044,14335,,,,,,,,,,,,,,,,
14044,14336,,,,,,,,,,,,,,,,
