Unnamed: 0,Unnamed: 1,ידווח בקבצי נכסי הנוסטרו בלבד,Unnamed: 3,Unnamed: 4
,שווי הוגן,עלות מופחתת,השיטה שיושמה בדוח הכספי,שיעור מסך נכסי השקעה
מזומנים ושווי מזומנים,66481.958,0,66481.958,0.06651
איגרות חוב ממשלתיות,57966.421,0,57966.421,0.05799
ניירות ערך מסחריים,0,0,0.000,0
איגרות חוב,66894.13,0,66894.13,0.06692
"מניות, מניות בכורה ויחידות השתתפות",157558.134,0,157558.134,0.15762
קרנות סל,382839.033,0,382839.033,0.38299
קרנות נאמנות,79.438,0,79.438,8e-05
כתבי אופציה,0,0,0.000,0
אופציות,0,0,0.000,0
חוזים עתידיים,400.695,0,400.695,0.0004
מוצרים מובנים,0,0,0.000,0
לא סחיר איגרות חוב ממשלתיות,0,0,0.000,0
לא סחיר איגרות חוב מיועדות,1431.18,0,1431.18,0.00143
אפיק השקעה מובטח תשואה,265944.755,0,265944.755,0.26605
לא סחיר ניירות ערך מסחריים,0,0,0.000,0
לא סחיר איגרות חוב,0,0,0.000,0
"לא סחיר מניות, מניות בכורה ויחידות השתתפות",0,0,0.000,0
קרנות השקעה,0,0,0.000,0
לא סחיר כתבי אופציה,0,0,0.000,0
לא סחיר אופציות,0,0,0.000,0
לא סחיר נגזרים אחרים,0,0,0.000,0
הלוואות,0,0,0.000,0
לא סחיר מוצרים מובנים,0,0,0.000,0
פיקדונות מעל 3 חודשים,0,0,0.000,0
זכויות מקרקעין,0,0,0.000,0
השקעה בחברות מוחזקות,0,0,0.000,0
נכסים אחרים,0,0,0.000,0
סך הכל נכסים,999595.745,0,999595.745,1
מסגרות אשראי,,,,
יתרות התחייבויות להשקעה,,,,
,,,,
,,,,
"הופק בתוכנת פריים זהב, מהדורה 5.20.163, פריים מערכות, טלפון 03-7760600, www.primesys.co.il",,,,
