מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,סיווג הקרן,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
14036,14334,"אי.בי.אי קרנות נאמנות בע""מ",510791031.0,ח.פ.,אי.בי.אי. (00) תלגוב,IL0051403306,ISIN,"אג""ח ממשלתי",ישראל,ישראל,סחיר,TASE,"אג""ח בארץ - מדינה-אג""ח מדינה שקליות -שקליות ממשלתיות",לא,ILS,15452.0,1.0,422.96,65.356,0.0,0.85636,0.03649
14036,14334,"מור ניהול קרנות נאמנות (2013) בע""מ",514884485.0,ח.פ.,מור (00) שקלית מדינה,IL0051097561,ISIN,"אג""ח ממשלתי",ישראל,ישראל,סחיר,TASE,"אג""ח בארץ - מדינה-אג""ח מדינה שקליות- ללא מניות",לא,ILS,6618.0,1.0,160.96,10.652,4e-05,0.13958,0.00595
14036,14334,"מור ניהול קרנות נאמנות (2013) בע""מ",514884485.0,ח.פ.,מור מחקה (A4) s&p500,IL0051230212,ISIN,מניות,ישראל,"ארה""ב",סחיר,TASE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - מנוטרלת מט""ח-ארה""ב",לא,ILS,105.0,1.0,294.87,0.31,2.65e-06,0.00406,0.00017
14044,14336,"אי.בי.אי קרנות נאמנות בע""מ",510791031.0,ח.פ.,אי.בי.אי. (00) תלגוב,IL0051403306,ISIN,"אג""ח ממשלתי",ישראל,ישראל,סחיר,TASE,"אג""ח בארץ - מדינה-אג""ח מדינה שקליות -שקליות ממשלתיות",לא,ILS,343.0,1.0,422.96,1.451,0.0,0.46495,0.06255
14044,14336,"אי.בי.אי קרנות נאמנות בע""מ",510791031.0,ח.פ.,איביאי מחקה (A4) תא,IL0051306871,ISIN,מניות,ישראל,ישראל,סחיר,TASE,Large & Mid Cap מניות בארץ - מניות לפי שווי שוק-מניות,לא,ILS,442.0,1.0,185.65,0.821,2.62e-06,0.26298,0.03538
14044,14336,הראל קרנות נאמנות בעמ,511776783.0,ח.פ.,הראל 00 תלגוב שקלי 2-5,IL0051172620,ISIN,"אג""ח ממשלתי",ישראל,ישראל,סחיר,TASE,"אג""ח בארץ - מדינה-אג""ח מדינה שקליות -שקליות ריבית קבועה ממשלתיות 2-5 שנים",לא,ILS,596.0,1.0,124.45,0.742,4.76e-06,0.23771,0.03198
14044,14336,"מור ניהול קרנות נאמנות (2013) בע""מ",514884485.0,ח.פ.,מור מחקה (00) תל בונ,IL0051143191,ISIN,אחר,ישראל,ישראל,סחיר,TASE,"אג""ח בארץ - חברות והמרה-חברות והמרה אחר",לא,ILS,62.0,1.0,172.88,0.107,5.3e-07,0.03435,0.00462
14036,14043,,,,,,,,,,,,,,,,,,,,,
14036,14037,,,,,,,,,,,,,,,,,,,,,
14036,14038,,,,,,,,,,,,,,,,,,,,,
14036,14039,,,,,,,,,,,,,,,,,,,,,
14036,14054,,,,,,,,,,,,,,,,,,,,,
14036,14040,,,,,,,,,,,,,,,,,,,,,
14036,14042,,,,,,,,,,,,,,,,,,,,,
14036,14333,,,,,,,,,,,,,,,,,,,,,
14036,15685,,,,,,,,,,,,,,,,,,,,,
14044,14045,,,,,,,,,,,,,,,,,,,,,
14044,14046,,,,,,,,,,,,,,,,,,,,,
14044,14047,,,,,,,,,,,,,,,,,,,,,
14044,14058,,,,,,,,,,,,,,,,,,,,,
14044,14048,,,,,,,,,,,,,,,,,,,,,
14044,14049,,,,,,,,,,,,,,,,,,,,,
14044,14050,,,,,,,,,,,,,,,,,,,,,
14044,14335,,,,,,,,,,,,,,,,,,,,,
