מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,זירת מסחר,סיווג הקרן,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,סכום לקבל (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)",שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
14036,14043,"מגדל קרנות נאמנות בע""מ",511303661,ח.פ.,MTF סל (00) תל בונד,IL0011501686,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"20 אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד",לא,ILS,115000.0,1.0,339.54,0.0,390.471,0.0006,0.12468,0.02186
14036,14043,"מגדל קרנות נאמנות בע""מ",511303661,ח.פ.,MTF סל (4A) תא 90,IL0011502593,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,"90 מניות בארץ - מניות כללי-ת""א",לא,ILS,247.0,1.0,4757.0,0.0,11.75,4.42e-06,0.00375,0.00066
14036,14043,"מגדל קרנות נאמנות בע""מ",511303661,ח.פ.,MTF סל (4D) MSCI AC,IL0012010034,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,גלובלי,TASE,"MSCI AC WORLD INDEX - מניות בחו""ל - מניות כללי בחו""ל - חשופת מט""ח-מניות כללי בחו""ל",לא,ILS,368.0,1.0,3543.0,0.0,13.038,6e-05,0.00416,0.00073
14036,14043,"מגדל קרנות נאמנות בע""מ",511303661,ח.פ.,MTF סל (A4) Nasdaq10,IL0011814451,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,"ארה""ב",TASE,"NASDAQ 100 - מניות בחו""ל - מניות גיאוגרפי - מנוטרלת מט""ח-ארה""ב",לא,ILS,3459.67,1.0,9582.0,0.0,331.506,0.00046,0.10585,0.01856
14036,14043,"מגדל קרנות נאמנות בע""מ",511303661,ח.פ.,MTF סל‏ SP Health Ca,IL0011503906,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,"ארה""ב",TASE,"Health Care מניות בחו""ל - מניות לפי ענפים בחו""ל - חשופת מט""ח-ארה""ב- מניות",לא,ILS,480.0,1.0,4471.0,0.0,21.461,0.0004,0.00685,0.0012
14036,14043,"אי.בי.אי קרנות נאמנות בע""מ",510791031,ח.פ.,אי.בי.אי סל (00) תלב,IL0011480485,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - חברות והמרה-חברות והמרה אחר",לא,ILS,2805.0,1.0,4059.17,0.0,113.86,0.00166,0.03636,0.00637
14036,14043,"אי.בי.אי קרנות נאמנות בע""מ",510791031,ח.פ.,אי.בי.אי סל (A4) תא,IL0011488082,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,"125 מניות בארץ - מניות כללי-ת""א",לא,ILS,1330.0,1.0,3172.0,0.0,42.188,2e-05,0.01347,0.00236
14036,14043,"אי.בי.אי קרנות נאמנות בע""מ",510791031,ח.פ.,אי.בי.אי סל MSCI AC,IL0011497729,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,גלובלי,TASE,"מניות בחו""ל - מניות כללי בחו""ל - מניות כללי בחו""ל חשופת מט""ח",לא,ILS,9.0,1.0,3773.0,0.0,0.34,5.5e-07,0.00011,2e-05
14036,14043,"אי.בי.אי קרנות נאמנות בע""מ",510791031,ח.פ.,אי.בי.אי סל(4D)  SP,IL0011481624,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,"ארה""ב",TASE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,150.0,1.0,21730.0,0.0,32.595,1e-05,0.01041,0.00182
14036,14043,"אי.בי.אי קרנות נאמנות בע""מ",510791031,ח.פ.,איביאי סל מידקפ & בנקים,IL0012178435,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,מניות בארץ - מניות לפי ענפים,לא,ILS,1700.0,1.0,6204.0,0.0,105.468,0.00177,0.03368,0.0059
14036,14043,הראל קרנות נאמנות בעמ,511776783,ח.פ.,הראל S&P 500 Equal W,IL0011499709,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,"ארה""ב",TASE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - מנוטרלת מט""ח-ארה""ב",לא,ILS,1787.0,1.0,7713.0,0.0,137.831,0.00091,0.04401,0.00771
14036,14043,הראל קרנות נאמנות בעמ,511776783,ח.פ.,הראל סל (00) תל בונד,IL0011504995,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - חברות והמרה-חברות והמרה אחר",לא,ILS,6400.0,1.0,380.94,0.0,24.38,0.00019,0.00778,0.00136
14036,14043,הראל קרנות נאמנות בעמ,511776783,ח.פ.,הראל סל (4A) תא 35,IL0011489072,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,Large & Mid Cap מניות בארץ - מניות לפי שווי שוק-מניות,לא,ILS,3036.0,1.0,3163.0,0.0,96.029,0.0001,0.03066,0.00537
14036,14043,הראל קרנות נאמנות בעמ,511776783,ח.פ.,הראל סל (4A) תא 90,IL0011489312,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,Large & Mid Cap מניות בארץ - מניות לפי שווי שוק-מניות,לא,ILS,3117.0,1.0,3165.0,0.0,98.653,4e-05,0.0315,0.00552
14036,14043,הראל קרנות נאמנות בעמ,511776783,ח.פ.,הראל סל (4A) תא נדלן,IL0011489643,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,"מניות בארץ - מניות לפי ענפים-ת""א נדל""ן",לא,ILS,4000.0,1.0,1267.0,0.0,50.68,0.00022,0.01618,0.00284
14036,14043,הראל קרנות נאמנות בעמ,511776783,ח.פ.,הראל סל NDX 100,IL0011490385,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,"ארה""ב",TASE,"NASDAQ 100 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,141.0,1.0,8617.0,0.0,12.15,3e-05,0.00388,0.00068
14036,14043,הראל קרנות נאמנות בעמ,511776783,ח.פ.,הראל סל SP500,IL0011490203,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,"ארה""ב",TASE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,1255.0,1.0,2569.0,0.0,32.241,1e-05,0.01029,0.0018
14036,14043,הראל קרנות נאמנות בעמ,511776783,ח.פ.,הראל סל SP500 מנוטרל,IL0011491375,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,"ארה""ב",TASE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - מנוטרלת מט""ח-ארה""ב",לא,ILS,1319.0,1.0,6378.0,0.0,84.126,7e-05,0.02686,0.00471
