מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מספר מזהה לווה,סוג מספר מזהה לווה,שם הלוואה,מספר הלוואה,מאפיין עיקרי,מאפיין הלוואות מתואמות עבור זכויות מקרקעין,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,ענף מסחר,בעל עניין/צד קשור,קונסורציום/ סינדיקציה,מספר קונסורציום/ סינדיקציה,תאריך העמדת הלוואה,דירוג,שם מדרג,דירוג הלוואה/המנפיק,מטבע פעילות,"מח""מ",סוג הריבית,שיעור ריבית,סוג הצמדה,ריבית עוגן,שיעור תוספת/הפחתה לריבית העוגן,תשואה לפדיון,מועד פדיון,נחיתות חוזית,סוג בטוחה,שווי הבטוחות העומדות כנגד ההלוואה,שיעור הבטוחות מהחוב,מועד עדכון אחרון לשווי הבטוחות,זכות חזרה,מבנה לוח סילוקין,יעוד הלוואה,זכות פירעון מוקדם,סוג גורם משערך,שם גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,תאריך אחרון בו נבחנה בפועל ירידת ערך,שיעור ריבית בגין אי-ניצול מסגרת האשראי,ערך נקוב,שער הלוואה,שער חליפין,"שווי הוגן (באלפי ש""ח)",שווי הוגן (במטבע הפעילות),"עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),האם סווג כחוב בעייתי,השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
163,2104,ריק במקור,ריק במקור,ריק במקור,99113631,תאגיד,ריק במקור,ישראל,ריק במקור,השקעות בהיי-טק,לא,כן,ריק במקור,26/08/2025,NR,NR,NR,USD,2.68,משתנה,0.04527,ריק במקור,ריק במקור,ריק במקור,0.0426,26/08/2029,החוב לא נחות,ריק במקור,ריק במקור,ריק במקור,2025-09-30 00:00:00,ריק במקור,ריק במקור,ריק במקור,כן,חברת ציטוט,ריק במקור,אי-תלות,30/09/2025,2024-12-31 00:00:00,ריק במקור,32830.932,97.97,3.306,106.336,32.164,ריק במקור,ריק במקור,ריק במקור,שווי הוגן,0.01186,0.00058
163,2104,ריק במקור,ריק במקור,ריק במקור,99110900,תאגיד,"נדל""ן מניב - מגורים (כולל דיור מוגן)",ישראל,ריק במקור,אשראי חוץ בנקאי,לא,כן,ריק במקור,28/12/2022,NR,NR,NR,ILS,0.31,משתנה,0.06,ריק במקור,ריק במקור,ריק במקור,0.0735,21/01/2026,החוב לא נחות,ריק במקור,ריק במקור,ריק במקור,2025-09-30 00:00:00,ריק במקור,ריק במקור,ריק במקור,כן,חברת ציטוט,ריק במקור,אי-תלות,30/09/2025,2024-12-31 00:00:00,ריק במקור,82839.203,100.71,1,83.427,83.427,ריק במקור,ריק במקור,ריק במקור,שווי הוגן,0.0093,0.00045
163,2104,ריק במקור,ריק במקור,ריק במקור,99113177,תאגיד,"ייזום נדל""ן לבניה של נכס ספציפי - מגורים (כולל דיור מוגן)",ישראל,ריק במקור,אשראי חוץ בנקאי,לא,כן,ריק במקור,10/04/2025,NR,NR,NR,ILS,0.126,משתנה,0.0975,ריק במקור,ריק במקור,ריק במקור,0.13743,15/11/2025,החוב לא נחות,ריק במקור,ריק במקור,ריק במקור,2025-09-30 00:00:00,ריק במקור,ריק במקור,ריק במקור,כן,חברת ציטוט,ריק במקור,אי-תלות,30/09/2025,2024-12-31 00:00:00,ריק במקור,4466.2,100,1,4.466,4.466,ריק במקור,ריק במקור,ריק במקור,שווי הוגן,0.0005,2e-05
163,2104,ריק במקור,ריק במקור,ריק במקור,99113136,תאגיד,"ייזום נדל""ן לבניה של נכס ספציפי - מגורים (כולל דיור מוגן)",ישראל,ריק במקור,אשראי חוץ בנקאי,לא,כן,ריק במקור,26/03/2025,NR,NR,NR,ILS,0.252,משתנה,0.0975,ריק במקור,ריק במקור,ריק במקור,-0.08154,31/12/2025,החוב נחות,ריק במקור,ריק במקור,ריק במקור,2025-09-30 00:00:00,ריק במקור,ריק במקור,ריק במקור,כן,חברת ציטוט,ריק במקור,אי-תלות,30/09/2025,2024-12-31 00:00:00,ריק במקור,240177.261,105.115,1,252.461,252.461,ריק במקור,ריק במקור,ריק במקור,שווי הוגן,0.02815,0.00137
163,2104,ריק במקור,ריק במקור,ריק במקור,99109068,תאגיד,"ייזום נדל""ן לבניה של נכס ספציפי - מגורים (כולל דיור מוגן)",ישראל,ריק במקור,אשראי חוץ בנקאי,לא,כן,ריק במקור,6/05/2021,NR,NR,NR,ILS,0.252,משתנה,0.113,ריק במקור,ריק במקור,ריק במקור,0.11489,31/12/2025,החוב לא נחות,ריק במקור,ריק במקור,ריק במקור,2025-09-30 00:00:00,ריק במקור,ריק במקור,ריק במקור,כן,חברת ציטוט,ריק במקור,אי-תלות,30/09/2025,2024-12-31 00:00:00,ריק במקור,82077.329,142.525,1,116.981,116.981,ריק במקור,ריק במקור,ריק במקור,שווי הוגן,0.01304,0.00063
163,2104,ריק במקור,ריק במקור,ריק במקור,99113565,תאגיד,"ייזום נדל""ן לבניה של נכס ספציפי - מגורים (כולל דיור מוגן)",ישראל,ריק במקור,אשראי חוץ בנקאי,לא,כן,ריק במקור,10/04/2025,NR,NR,NR,ILS,0.829,משתנה,0.0975,ריק במקור,ריק במקור,ריק במקור,0.10121,2026-12-08 00:00:00,החוב לא נחות,ריק במקור,ריק במקור,ריק במקור,2025-09-30 00:00:00,ריק במקור,ריק במקור,ריק במקור,כן,חברת ציטוט,ריק במקור,אי-תלות,30/09/2025,2024-12-31 00:00:00,ריק במקור,30619.033,101.309,1,31.02,31.02,ריק במקור,ריק במקור,ריק במקור,שווי הוגן,0.00346,0.00017
163,2104,ריק במקור,ריק במקור,ריק במקור,99112427,תאגיד,"ייזום נדל""ן לבניה של נכס ספציפי - אחר/לא מסווג",ישראל,ריק במקור,השקעה ואחזקות,לא,כן,ריק במקור,25/10/2022,Baa1.il,מידרוג Moodys,הלוואה,ILS,0.97,קבועה,0.0818,ריק במקור,ריק במקור,ריק במקור,0.0748,30/09/2026,החוב לא נחות,ריק במקור,ריק במקור,ריק במקור,2025-09-30 00:00:00,ריק במקור,ריק במקור,ריק במקור,כן,חברת ציטוט,ריק במקור,אי-תלות,30/09/2025,2024-12-31 00:00:00,ריק במקור,416328.199,100.86,1,419.909,419.909,ריק במקור,ריק במקור,ריק במקור,שווי הוגן,0.04682,0.00227
163,2104,ריק במקור,ריק במקור,ריק במקור,99110801,תאגיד,ריק במקור,ישראל,ריק במקור,"נדל""ן מניב בישראל",לא,לא,ריק במקור,23/11/2022,A2.il,מידרוג Moodys,הלוואה,ILS,0.79,קבועה,0.06143,ריק במקור,ריק במקור,ריק במקור,0.0431,2027-01-08 00:00:00,החוב לא נחות,ריק במקור,ריק במקור,ריק במקור,2025-09-30 00:00:00,ריק במקור,ריק במקור,ריק במקור,כן,חברת ציטוט,ריק במקור,אי-תלות,30/09/2025,2024-12-31 00:00:00,ריק במקור,1950.359,100.27,1,1.956,1.956,ריק במקור,ריק במקור,ריק במקור,שווי הוגן,0.00022,1e-05
163,2104,ריק במקור,ריק במקור,ריק במקור,99111452,תאגיד,"נדל""ן מניב - מגורים (כולל דיור מוגן)",ישראל,ריק במקור,"נדל""ן מניב בישראל",לא,לא,ריק במקור,29/06/2023,ilBBB,מעלות S&P,הלוואה,ILS,2.04,קבועה,0.0615,ריק במקור,ריק במקור,ריק במקור,0.0586,31/12/2029,החוב לא נחות,ריק במקור,ריק במקור,ריק במקור,2025-09-30 00:00:00,ריק במקור,ריק במקור,ריק במקור,כן,חברת ציטוט,ריק במקור,אי-תלות,30/09/2025,2024-12-31 00:00:00,ריק במקור,36478.814,105.15,1,38.357,38.357,ריק במקור,ריק במקור,ריק במקור,שווי הוגן,0.00428,0.00021
163,2104,ריק במקור,ריק במקור,ריק במקור,99113755,תאגיד,"נדל""ן מניב - מגורים (כולל דיור מוגן)",ישראל,ריק במקור,"נדל""ן מניב בישראל",לא,לא,ריק במקור,30/09/2025,ilBBB,מעלות S&P,הלוואה,ILS,3.484,קבועה,0.082,ריק במקור,ריק במקור,ריק במקור,0.04148,29/09/2029,החוב לא נחות,ריק במקור,ריק במקור,ריק במקור,2025-09-30 00:00:00,ריק במקור,ריק במקור,ריק במקור,כן,חברת ציטוט,ריק במקור,אי-תלות,30/09/2025,2024-12-31 00:00:00,ריק במקור,111773.247,100,1,111.773,111.773,ריק במקור,ריק במקור,ריק במקור,שווי הוגן,0.01246,0.00061
