מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,זירת מסחר,נכס בסיס,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
163,2104,Osaka Exchange,3538001249AILNPRUX57,LEI,F 12/2025 NIKKE,NKZ5,טיקר,"חו""ל",יפן,JPX,מניות לרבות מדדי מניות,לא,JPY,0.003,2.233,155679400,0.119,0.00328,0
163,2104,Osaka Exchange,3538001249AILNPRUX57,LEI,F 12/2025 TOPIX,TPZ5,טיקר,"חו""ל",יפן,JPX,מניות לרבות מדדי מניות,לא,JPY,0.01,2.233,27842199.92,0.062,0.00171,0
163,2104,Eurex,529900LN3S50JPU47S06,LEI,F-12/25 EUROSTO,VGZ5,טיקר,"חו""ל",אירופה,EUREX,מניות לרבות מדדי מניות,לא,EUR,0.142,3.881,144918.5,0.796,0.02197,0
163,2104,Eurex,529900LN3S50JPU47S06,LEI,F12/25 EURO 600,SXOZ5,טיקר,"חו""ל",אירופה,EUREX,מניות לרבות מדדי מניות,לא,EUR,0.008,3.881,16022.5,0.005,0.00014,0
163,2104,Osaka Exchange,3538001249AILNPRUX57,LEI,F 12/2025 NIKKE,NKZ5,טיקר,"חו""ל",יפן,JPX,מניות לרבות מדדי מניות,לא,JPY,0.009,2.233,25928888.89,0.054,0.00149,0
163,2104,Chicago Mercantile Exchange,SNZ2OJLFK8MNNCLQOF39,LEI,US 10YR ULTRA F,UXYZ5,טיקר,"חו""ל","ארה""ב",CBOE,"ריבית ואג""ח",לא,USD,9.205,3.306,111226.7,33.767,0.9313,0.00018
163,2104,Chicago Mercantile Exchange,SNZ2OJLFK8MNNCLQOF39,LEI,S/TORONTO STO,PTZ5,טיקר,"חו""ל",קנדה,CBOE,מניות לרבות מדדי מניות,לא,CAD,0.007,2.374,832690,0.139,0.00385,0
163,2104,Chicago Mercantile Exchange,SNZ2OJLFK8MNNCLQOF39,LEI,F12/25 MINI S,ESZ5,טיקר,"חו""ל","ארה""ב",CBOE,מניות לרבות מדדי מניות,לא,USD,0.045,3.306,464837.5,0.69,0.01902,0
163,2104,Chicago Mercantile Exchange,SNZ2OJLFK8MNNCLQOF39,LEI,NASDAQ 100 E MI,NQZ5,טיקר,"חו""ל","ארה""ב",CBOE,מניות לרבות מדדי מניות,לא,USD,0.017,3.306,1092964,0.625,0.01724,0
163,2105,Osaka Exchange,3538001249AILNPRUX57,LEI,F 12/2025 NIKKE,NKZ5,טיקר,"חו""ל",יפן,JPX,מניות לרבות מדדי מניות,לא,JPY,4.73,2.233,155679400,164.451,0.04218,5e-05
163,2105,Osaka Exchange,3538001249AILNPRUX57,LEI,F 12/2025 TOPIX,TPZ5,טיקר,"חו""ל",יפן,JPX,מניות לרבות מדדי מניות,לא,JPY,13.789,2.233,27842199.92,85.737,0.02199,3e-05
163,2105,Eurex,529900LN3S50JPU47S06,LEI,F-12/25 EUROSTO,VGZ5,טיקר,"חו""ל",אירופה,EUREX,מניות לרבות מדדי מניות,לא,EUR,195.714,3.881,144918.5,1100.668,0.28231,0.00036
163,2105,Chicago Mercantile Exchange,SNZ2OJLFK8MNNCLQOF39,LEI,F-12/25 US 2YR,TUZ5,טיקר,"חו""ל","ארה""ב",CBOE,"ריבית ואג""ח",לא,USD,9,3.306,3520,1.047,0.00027,0
163,2105,Eurex,529900LN3S50JPU47S06,LEI,F12/25 EURO 600,SXOZ5,טיקר,"חו""ל",אירופה,EUREX,מניות לרבות מדדי מניות,לא,EUR,11.668,3.881,16022.5,7.255,0.00186,0
163,2105,Osaka Exchange,3538001249AILNPRUX57,LEI,F 12/2025 NIKKE,NKZ5,טיקר,"חו""ל",יפן,JPX,מניות לרבות מדדי מניות,לא,JPY,12.9,2.233,25928888.89,74.699,0.01916,2e-05
163,2105,Chicago Mercantile Exchange,SNZ2OJLFK8MNNCLQOF39,LEI,US 10YR ULTRA F,UXYZ5,טיקר,"חו""ל","ארה""ב",CBOE,"ריבית ואג""ח",לא,USD,122.73,3.306,111226.7,455.379,0.1168,0.00015
