מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מאפיין עיקרי,שם שותף כללי קרן השקעות,מספר מזהה שותף כללי קרן השקעות,סוג מספר מזהה שותף כללי קרן השקעות,שם קרן השקעה,מספר מזהה קרן השקעה,סוג מספר מזהה קרן השקעות,מטבע פעילות,תאריך העמדת התחייבות לקרן השקעה,סכום המחויבות הראשוני (במטבע הדיווח של קרן ההשקעה),"סכום המחויבות הראשוני (באלפי ש""ח)",יתרת המחויבות לתקופת הדיווח (במטבע הדיווח של קרן ההשקעה),"יתרת המחויבות לתקופת הדיווח (באלפי ש""ח)",שיעור יתרת המחויבות,תאריך פקיעת מחויבות להשקעה
163,2104,התחייבות להשקעה,ארבל פאנד 2 גי פי שותפות מוגבלת,ריק במקור,ריק במקור,ARBEL 2,666109525,פנימי,ILS,3/09/2021,235.084,235.084,90.015,90.015,0.3829,1/09/2028
163,2104,התחייבות להשקעה,פימי 7 2020 בעמ,ריק במקור,ריק במקור,FIMI VII,666107891,פנימי,USD,3/06/2021,17.353,57.524,7.288,24.16,0.42,1/06/2028
163,2104,התחייבות להשקעה,Fortissimo Capital Fund VI GP L.P,ריק במקור,ריק במקור,FORTISSIMO FUND 6,66611195,פנימי,USD,25/10/2023,20.823,69.029,11.765,39.002,0.565,23/10/2030
163,2104,התחייבות להשקעה,Klirmark Fund IV (G.P) L.P,ריק במקור,ריק במקור,Klirmark Opportunity Fund IV,666111315,פנימי,ILS,16/04/2023,587.709,587.709,329.117,329.117,0.56,14/04/2030
163,2104,התחייבות להשקעה,נוי אי. איי תשתיות ואנרגיה גי.פי ש.מ,ריק במקור,ריק במקור,NOY 4,666109400,פנימי,ILS,16/08/2021,110.283,110.283,30.31,30.31,0.2748,14/08/2028
163,2104,התחייבות להשקעה,רד דוט III שותף כללי ש.מ.,ריק במקור,ריק במקור,RED DOT III,666113014,פנימי,USD,15/01/2025,6.941,23.01,5.159,17.102,0.7432,14/01/2032
163,2104,התחייבות להשקעה,Stage One Capital (GP) IV L.P,ריק במקור,ריק במקור,Stage One Annex Fund L.P.,666112198,פנימי,USD,2/04/2024,4.512,14.956,4.28,14.188,0.9486,1/04/2031
163,2104,התחייבות להשקעה,Stage One Capital (GP) IV L.P,ריק במקור,ריק במקור,Stage One IV,666109582,פנימי,USD,21/03/2022,9.37,31.063,5.149,17.068,0.5495,19/03/2029
163,2104,התחייבות להשקעה,נוי 5 להשקעה בתשתיות ואנרגיה שותפות מוג,ריק במקור,ריק במקור,נוי 5,666112693,פנימי,ILS,7/11/2024,180.1,180.1,164.955,164.955,0.9159,6/11/2031
163,2104,התחייבות להשקעה,קוגיטו קפיטל פאנד 2 שותף כללי בעמ,ריק במקור,ריק במקור,קוגיטו 2,666109715,פנימי,ILS,6/02/2022,216.277,216.277,44.489,44.489,0.2057,4/02/2029
