מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,ענף מסחר,בעל עניין/צד קשור,תאריך רכישה,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,"מח""מ",מועד פדיון,תשואה לפדיון,שיעור ריבית,נחיתות חוזית,האם סווג כחוב בעייתי,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,תאריך אחרון בו נבחנה בפועל ירידת ערך,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
163,2104,"אגד חברה לתחבורה בע""מ",516041118,ח.פ.,אגד אגח 1-רמ,1198787,פנימי,"נש""ר",ישראל,ישראל,לא סחיר,שירותים,לא,16/08/2023,ilAA-,מעלות S&P,נייר ערך,ILS,2.3,31/12/2029,0.0334,0.0364,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,30/09/2025,ריק במקור,29512.405,1,108.84,32.121,ריק במקור,ריק במקור,שווי הוגן,0.00465,0.00017
163,2104,אול-יר הולדינגס לימיטד,1631,מספר מנפיק,אול-יר אגח 5,1143304,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,"ארה""ב",לא סחיר,"נדל""ן מניב בחו""ל",לא,6/02/2018,NR,NR,NR,ILS,0,2024-01-31 00:00:00,0,0,החוב לא נחות,ריק במקור,גורם תלוי/פנימי,קיימת תלות,30/09/2025,2025-09-30 00:00:00,19805.275,1,0.01,0.002,ריק במקור,ריק במקור,שווי הוגן,0,0
163,2104,ביטוח ישיר - השקעות פיננסיות בעמ,520044439,ח.פ.,ביט ישיראגיב-רמ,1210244,פנימי,"נש""ר",ישראל,ישראל,לא סחיר,השקעה ואחזקות,לא,14/08/2024,A2.il,מידרוג Moodys,נייר ערך,ILS,5.55,30/06/2034,0.0421,0.047,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,30/09/2025,ריק במקור,87549.151,1,108.68,95.148,ריק במקור,ריק במקור,שווי הוגן,0.01378,0.00052
163,2104,ביטוח ישיר - השקעות פיננסיות בעמ,520044439,ח.פ.,ביט ישיראגיא-רמ,1138825,פנימי,"נש""ר",ישראל,ישראל,לא סחיר,השקעה ואחזקות,לא,18/07/2016,A2.il,מידרוג Moodys,נייר ערך,ILS,2,30/06/2028,0.0529,0.046,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,30/09/2025,ריק במקור,58858.824,1,99.93,58.818,ריק במקור,ריק במקור,שווי הוגן,0.00852,0.00032
163,2104,"גב-ים נגב בע""מ",514189596,ח.פ.,גב-יםנגב אגב-רמ,1208453,פנימי,"נש""ר",ישראל,ישראל,לא סחיר,"נדל""ן מניב בישראל",לא,11/07/2024,ilA+,מעלות S&P,נייר ערך,ILS,2.9,31/12/2028,0.0348,0.0384,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,30/09/2025,ריק במקור,96304.067,1,106.65,102.708,ריק במקור,ריק במקור,שווי הוגן,0.01488,0.00056
163,2104,גדות מוספים לכימיקלים (1985) בעמ,520040775,ח.פ.,גדות מסף אגא-רמ,1162320,פנימי,"נש""ר",ישראל,ישראל,לא סחיר,מסחר,לא,15/08/2018,A3.il,מידרוג Moodys,נייר ערך,ILS,0.66,30/06/2026,0.0537,0.043,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,30/09/2025,ריק במקור,44032.846,1,100.43,44.222,ריק במקור,ריק במקור,שווי הוגן,0.00641,0.00024
163,2104,הראל חברה לביטוח בעמ,520004078,ח.פ.,הראלבט אגח ב-רמ,1224815,פנימי,"נש""ר",ישראל,ישראל,לא סחיר,ביטוח,לא,8/07/2025,NR,NR,NR,ILS,3.19,25/03/2029,0.0586,0.0608,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,30/09/2025,ריק במקור,332997.191,1,99.22,330.4,ריק במקור,ריק במקור,שווי הוגן,0.04787,0.00179
163,2104,וי.אי.די. התפלת מי אשקלון,1148,מספר מנפיק,ויאידי אגח0103,1087683,פנימי,"נש""ר",ישראל,ישראל,לא סחיר,שירותים פיננסיים,לא,22/01/2003,ilAA+,מעלות S&P,נייר ערך,ILS,0.06,22/01/2026,0.028,0.0775,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,30/09/2025,ריק במקור,256.169,1,148.14,0.379,ריק במקור,ריק במקור,שווי הוגן,5e-05,0
163,2104,וי.אי.די. התפלת מי אשקלון,1148,מספר מנפיק,ויאידי התפלת  0103,1097997,פנימי,"נש""ר",ישראל,ישראל,לא סחיר,מלונאות ותיירות,לא,6/07/2006,ilAA+,מעלות S&P,נייר ערך,ILS,0.06,22/10/2025,0.0284,0.0775,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,30/09/2025,ריק במקור,1842.13,1,149.14,2.747,ריק במקור,ריק במקור,שווי הוגן,0.0004,1e-05
163,2104,חברת החשמל לישראל בעמ,520000472,ח.פ.,חשמל צמוד2029רמ,6000186,פנימי,"נש""ר",ישראל,ישראל,לא סחיר,אנרגיה,לא,7/05/2014,ilAAA,מעלות S&P,נייר ערך,ILS,1.97,7/05/2029,0.0288,0.06,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,30/09/2025,ריק במקור,33157.222,1,129.32,42.879,ריק במקור,ריק במקור,שווי הוגן,0.00621,0.00023
