מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,נכס בסיס (כתב אופציה),ענף מסחר,תאריך פקיעה,בעל עניין/צד קשור,תאריך רכישה,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,שער מימוש,יחס המרה,ערך נקוב (יחידות),שער נייר הערך,שער חליפין,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
163,2104,CHEQ AI,514957703,ח.פ.,CHEQ AI כאו,888224474,פנימי,ישראל,ישראל,לא סחיר,מניות לרבות מדדי מניות,השקעות בהיי-טק,2033-08-26 00:00:00,לא,ריק במקור,ILS,אחר,אי-תלות,2025-09-30 00:00:00,0.0005,1,754.536,1,0,0,0,0
163,2104,איתן מדיקל,514237122,ח.פ,איתן מדיקל כתב אופציה MAY/2030,888224482,פנימי,ישראל,ישראל,לא סחיר,מניות לרבות מדדי מניות,השקעות בהיי-טק,2030-05-30 00:00:00,לא,ריק במקור,USD,אחר,אי-תלות,2025-09-30 00:00:00,0.203,1,491.849,3.306,0,0,0,0
163,2104,זוז פאוור בעמ,514881564,ח.פ.,זוז אופציה 1,1205160,פנימי,ישראל,ישראל,לא סחיר,מניות לרבות מדדי מניות,השקעה ואחזקות,28/03/2029,לא,9/04/2024,ILS,אחר,אי-תלות,30/09/2025,0,1,10.089,1,1,0,1,0
163,2105,זוז פאוור בעמ,514881564,ח.פ.,זוז אופציה 1,1205160,פנימי,ישראל,ישראל,לא סחיר,מניות לרבות מדדי מניות,השקעה ואחזקות,28/03/2029,לא,9/04/2024,ILS,אחר,אי-תלות,30/09/2025,0,1,4987.879,1,1,0.05,1,0
163,2155,CHEQ AI,514957703,ח.פ.,CHEQ AI כאו,888224474,פנימי,ישראל,ישראל,לא סחיר,מניות לרבות מדדי מניות,השקעות בהיי-טק,2033-08-26 00:00:00,לא,ריק במקור,ILS,אחר,אי-תלות,2025-09-30 00:00:00,0.0005,1,40781.328,1,0,0,0,0
163,2155,איתן מדיקל,514237122,ח.פ,איתן מדיקל כתב אופציה MAY/2030,888224482,פנימי,ישראל,ישראל,לא סחיר,מניות לרבות מדדי מניות,השקעות בהיי-טק,2030-05-30 00:00:00,לא,ריק במקור,USD,אחר,אי-תלות,2025-09-30 00:00:00,0.203,1,26583.567,3.306,0,0,0,0
163,2155,זוז פאוור בעמ,514881564,ח.פ.,זוז אופציה 1,1205160,פנימי,ישראל,ישראל,לא סחיר,מניות לרבות מדדי מניות,השקעה ואחזקות,28/03/2029,לא,9/04/2024,ILS,אחר,אי-תלות,30/09/2025,0,1,34974.049,1,1,0.35,1,0
163,9967,CHEQ AI,514957703,ח.פ.,CHEQ AI כאו,888224474,פנימי,ישראל,ישראל,לא סחיר,מניות לרבות מדדי מניות,השקעות בהיי-טק,2033-08-26 00:00:00,לא,ריק במקור,ILS,אחר,אי-תלות,2025-09-30 00:00:00,0.0005,1,18050.186,1,0,0,0,0
163,9967,איתן מדיקל,514237122,ח.פ,איתן מדיקל כתב אופציה MAY/2030,888224482,פנימי,ישראל,ישראל,לא סחיר,מניות לרבות מדדי מניות,השקעות בהיי-טק,2030-05-30 00:00:00,לא,ריק במקור,USD,אחר,אי-תלות,2025-09-30 00:00:00,0.203,1,11766.128,3.306,0,0,0,0
163,9967,זוז פאוור בעמ,514881564,ח.פ.,זוז אופציה 1,1205160,פנימי,ישראל,ישראל,לא סחיר,מניות לרבות מדדי מניות,השקעה ואחזקות,28/03/2029,לא,9/04/2024,ILS,אחר,אי-תלות,30/09/2025,0,1,12286.428,1,1,0.123,1,0
163,9968,CHEQ AI,514957703,ח.פ.,CHEQ AI כאו,888224474,פנימי,ישראל,ישראל,לא סחיר,מניות לרבות מדדי מניות,השקעות בהיי-טק,2033-08-26 00:00:00,לא,ריק במקור,ILS,אחר,אי-תלות,2025-09-30 00:00:00,0.0005,1,12311.726,1,0,0,0,0
163,9968,איתן מדיקל,514237122,ח.פ,איתן מדיקל כתב אופציה MAY/2030,888224482,פנימי,ישראל,ישראל,לא סחיר,מניות לרבות מדדי מניות,השקעות בהיי-טק,2030-05-30 00:00:00,לא,ריק במקור,USD,אחר,אי-תלות,2025-09-30 00:00:00,0.203,1,8025.477,3.306,0,0,0,0
163,9968,זוז פאוור בעמ,514881564,ח.פ.,זוז אופציה 1,1205160,פנימי,ישראל,ישראל,לא סחיר,מניות לרבות מדדי מניות,השקעה ואחזקות,28/03/2029,לא,9/04/2024,ILS,אחר,אי-תלות,30/09/2025,0,1,3250.621,1,1,0.033,1,0
