מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מאפיין עיקרי,מספר עסקה (רגל 1),מטבע פעילות (רגל 1),שער חליפין,ערך נקוב (רגל 1),שווי הוגן במטבע הנסחר (רגל 1),שיעור מנכסי אפיק ההשקעה (רגל 1),שיעור מסך נכסי ההשקעה (רגל 1),מספר עסקה (רגל 2),מטבע פעילות (רגל 2),שער חליפין ,ערך נקוב (רגל 2),שווי הוגן במטבע הנסחר (רגל 2),שיעור מנכסי ההשקעה (רגל 2),שיעור מסך אפיק ההשקעה (רגל 2),"שווי הוגן (נטו  באלפי ש""ח)","ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סוג הנכס,פקטור מוביל,פקטור נוסף,טיקר,בעל עניין/צד קשור,מועד ההתקשרות בעסקה,מועד סיום חוזי,תדירות Reset,סוג הסליקה,נספח התחשבנות בטחונות - CSA,גורם מצטט,ריבית עוגן,תקופת ריבית עוגן,שיעור ריבית עוגן,שער נכס הבסיס במועד ההתקשרות בעסקה,שער הנגזר במועד ההתקשרות בעסקה,האם קיים קנס בגין יציאה מוקדמת,שיעור הקנס בגין יציאה מוקדמת,צד נגדי - Counterparty,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
163,1589,Unfunded Forward,485383392.0,USD,3.306,-6569725.962,-6569.726,-0.26342,-0.00635,485383392.0,ILS,1,21917262.781,21917.263,0.0064,0.26582,200.117,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",ריק במקור,לא,9/09/2025,7/01/2026,ללא,Delivery,קיים חוזה,הצד הנגדי,0.0,ללא,ריק במקור,3.336,ריק במקור,ריק במקור,ריק במקור,MIZBILIT,0.00243,6e-05
163,1589,Unfunded Forward,484859814.0,USD,3.306,-59724781.47,-59724.781,-2.39471,-0.05769,484859814.0,ILS,1,199952595.884,199952.596,0.05842,2.42506,2516.534,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",ריק במקור,לא,14/07/2025,7/01/2026,ללא,Delivery,קיים חוזה,הצד הנגדי,0.0,ללא,ריק במקור,3.348,ריק במקור,ריק במקור,ריק במקור,MIZBILIT,0.03052,0.00074
163,1589,Unfunded Forward,485361489.0,USD,3.306,10451836.757,10451.837,0.41907,0.0101,485361489.0,ILS,1,-34552727.136,-34552.727,-0.01009,-0.41906,-93.103,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",ריק במקור,לא,8/09/2025,7/07/2026,ללא,Delivery,קיים חוזה,הצד הנגדי,0.0,ללא,ריק במקור,3.306,ריק במקור,ריק במקור,ריק במקור,MIZBILIT,-0.00113,-3e-05
163,1589,Unfunded Forward,484514369.0,EUR,3.881,1650000,1650,0.07766,0.00187,484514369.0,USD,3.306,-1915815,-1915.815,-0.00185,-0.07682,115.098,ישראל,ישראל,"מט""ח",אחר,"מט""ח/מט""ח",ריק במקור,לא,9/06/2025,11/02/2026,ללא,Delivery,קיים חוזה,הצד הנגדי,0.0,ללא,ריק במקור,1.161,ריק במקור,ריק במקור,ריק במקור,MIZBILIT,0.0014,3e-05
163,1589,Unfunded Forward,485118616.0,USD,3.306,8958717.221,8958.717,0.35921,0.00865,485118616.0,ILS,1,-30549225.722,-30549.226,-0.00893,-0.37051,-933.913,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",ריק במקור,לא,11/08/2025,11/02/2026,ללא,Delivery,קיים חוזה,הצד הנגדי,0.0,ללא,ריק במקור,3.41,ריק במקור,ריק במקור,ריק במקור,MIZBILIT,-0.01133,-0.00027
163,1589,Unfunded Forward,484599360.0,USD,3.306,-12691516.062,-12691.516,-0.50888,-0.01226,484599360.0,ILS,1,44665252.478,44665.252,0.01305,0.54171,2691.012,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",ריק במקור,לא,16/06/2025,11/02/2026,ללא,Delivery,קיים חוזה,הצד הנגדי,0.0,ללא,ריק במקור,3.519,ריק במקור,ריק במקור,ריק במקור,MIZBILIT,0.03264,0.00079
163,1589,Unfunded Forward,485078158.0,USD,3.306,2092233.751,2092.234,0.08389,0.00202,485078158.0,ILS,1,-7193099.635,-7193.1,-0.0021,-0.08724,-274.052,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",ריק במקור,לא,5/08/2025,12/11/2025,ללא,Delivery,קיים חוזה,הצד הנגדי,0.0,ללא,ריק במקור,3.438,ריק במקור,ריק במקור,ריק במקור,MIZBILIT,-0.00332,-8e-05
163,1589,Unfunded Forward,777112822.0,USD,3.306,1911193.007,1911.193,0.07663,0.00185,777112822.0,ILS,1,-6880294.825,-6880.295,-0.00201,-0.08345,-559.754,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",ריק במקור,לא,5/05/2025,12/11/2025,ללא,Delivery,קיים חוזה,הצד הנגדי,0.0,ללא,ריק במקור,3.6,ריק במקור,ריק במקור,ריק במקור,IDBLILITXXX,-0.00679,-0.00016
163,1589,Unfunded Forward,484519269.0,USD,3.306,-34341749.345,-34341.749,-1.37696,-0.03317,484519269.0,ILS,1,118925477.983,118925.478,0.03474,1.44235,5476.038,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",ריק במקור,לא,9/06/2025,13/05/2026,ללא,Delivery,קיים חוזה,הצד הנגדי,0.0,ללא,ריק במקור,3.463,ריק במקור,ריק במקור,ריק במקור,MIZBILIT,0.06641,0.0016
163,1589,Unfunded Forward,484518493.0,USD,3.306,33445877.623,33445.878,1.34104,0.0323,484518493.0,ILS,1,-115823074.209,-115823.074,-0.03384,-1.40472,-5333.185,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",ריק במקור,לא,9/06/2025,13/05/2026,ללא,Delivery,קיים חוזה,הצד הנגדי,0.0,ללא,ריק במקור,3.463,ריק במקור,ריק במקור,ריק במקור,MIZBILIT,-0.06468,-0.00156
