מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם הנכס האחר,מספר הנכס האחר,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,תאריך עסקה,מטבע פעילות,תאריך שערוך אחרון,שווי מטבעי,שער חליפין,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
163,2104,אבנון 2021- משיכה 1 חש,99110397,חייבים הלוואות,ישראל,ישראל,לא,14/04/2022,ILS,30/09/2025,0.925,1,0.925,ריק במקור,שווי הוגן,0.90327,1e-05
163,2104,אפריקה תעשיות הלוואה,991029071,חוב בפיגור,ישראל,ישראל,לא,29/05/2014,ILS,9/07/2023,0,1,0,ריק במקור,שווי הוגן,0,0
163,2104,חש נעמ יהלומים-2019,991075599,חוב בפיגור,ישראל,ישראל,לא,31/10/2019,USD,31/03/2024,0,3.306,0,ריק במקור,שווי הוגן,0,0
163,2104,יהלומים נעם-חש,991031111,חוב בפיגור,ישראל,ישראל,לא,2/09/2014,USD,29/02/2024,0,3.306,0,ריק במקור,שווי הוגן,0,0
163,2104,מעבר פקדונות,419256003,"הכנסות עו""ש לקבל",ישראל,ישראל,לא,0,ILS,30/09/2025,0.099,1,0.099,ריק במקור,שווי הוגן,0.09685,0
163,2104,בנק מעבר נכסים-JPY,419259197,"חייבים זכאים במט""ח",ישראל,ישראל,לא,0,JPY,30/09/2025,-0.006,2.233,0,ריק במקור,שווי הוגן,-0.00013,0
163,2105,מעבר פקדונות,419256003,"הכנסות עו""ש לקבל",ישראל,ישראל,לא,0,ILS,30/09/2025,7.181,1,7.181,ריק במקור,שווי הוגן,1.02621,0
163,2105,בנק מעבר נכסים-JPY,419259197,"חייבים זכאים במט""ח",ישראל,ישראל,לא,0,JPY,30/09/2025,-8.212,2.233,-0.183,ריק במקור,שווי הוגן,-0.02621,0
163,2155,אבנון 2021- משיכה 1 חש,99110397,חייבים הלוואות,ישראל,ישראל,לא,14/04/2022,ILS,30/09/2025,49.979,1,49.979,ריק במקור,שווי הוגן,-0.30027,0
163,2155,אמפל אמ  ב'חש1/13 דש,1127679,חוב בפיגור,ישראל,ישראל,לא,4/02/2013,ILS,30/09/2025,0,1,0,ריק במקור,שווי הוגן,0,0
